Date,Open,High,Low,Close,Volume
2020-10-15,51.43,54.004,42.614,42.658,9075.574
2020-10-16,42.947,43.888,39.153,39.616,2868.067
2020-10-17,39.363,43.122,38.494,41.22,1766.839
2020-10-18,41.226,41.226,39.44,40.753,1352.016
2020-10-19,40.997,40.997,35.943,36.016,5727.268
2020-10-20,35.903,36.39,32.039,32.21,8214.105
2020-10-21,32.102,37.142,31.887,35.105,5181.578
2020-10-22,35.336,40.065,33.487,37.74,7771.225
2020-10-23,37.954,42.611,37.068,41.622,8516.108
2020-10-24,41.602,42.656,38.677,39.483,3443.964
2020-10-25,39.18,40.875,37.234,37.782,2348.634
2020-10-26,37.664,39.169,34.695,35.858,2156.42
2020-10-27,36.15,39.218,34.263,34.984,6394.73
2020-10-28,34.874,35.591,32.0,32.4,4824.899
2020-10-29,32.501,33.203,28.19,29.223,9155.612
2020-10-30,29.196,32.04,27.784,31.099,8969.791
2020-10-31,31.041,32.843,29.544,29.544,5780.939
2020-11-01,29.595,31.101,28.487,30.526,5241.843
2020-11-02,30.847,34.454,29.155,29.696,7090.318
2020-11-03,29.469,30.044,27.45,27.961,2126.12
2020-11-04,28.135,28.409,26.056,27.674,1905.238
2020-11-05,27.779,32.297,26.049,31.0,6079.091
2020-11-06,31.042,40.949,30.91,38.654,14805.697
2020-11-07,38.575,52.0,38.575,44.674,24612.887
2020-11-08,44.401,54.881,42.799,54.04,12596.03
2020-11-09,54.163,58.98,49.521,55.175,17080.857
2020-11-10,55.314,70.884,52.863,66.789,17677.061
2020-11-11,67.476,69.179,53.253,54.579,24081.471
2020-11-12,54.59,60.0,50.444,51.87,8849.596
2020-11-13,51.87,66.999,51.098,63.369,17046.511
2020-11-14,63.692,69.012,57.851,67.111,7878.415
2020-11-15,67.195,71.44,59.211,64.33,14620.987
2020-11-16,64.159,74.454,60.874,73.011,7812.564
2020-11-17,73.18,80.103,68.545,78.999,8232.313
2020-11-18,79.347,80.124,66.937,75.298,11206.391
2020-11-19,75.419,81.394,70.358,76.538,9600.093
2020-11-20,76.334,82.486,74.5,74.942,14112.629
2020-11-21,74.856,77.155,67.807,70.652,9877.018
2020-11-22,70.4,74.954,63.0,68.874,13180.712
2020-11-23,69.0,73.999,65.871,72.482,6102.564
2020-11-24,72.482,75.418,66.183,66.973,8660.756
2020-11-25,66.974,67.551,59.078,61.614,7527.666
2020-11-26,61.516,65.257,49.584,64.258,24890.729
2020-11-27,64.386,69.197,55.833,60.663,10649.771
2020-11-28,60.91,66.37,58.639,64.003,3286.118
2020-11-29,64.131,69.835,61.921,68.849,7191.991
2020-11-30,68.955,80.0,68.955,76.107,11331.947
2020-12-01,75.9,79.0,69.845,74.151,8663.244
2020-12-02,74.151,90.881,71.775,86.805,13889.048
2020-12-03,86.952,95.0,83.042,91.498,13646.184
2020-12-04,91.694,92.892,78.89,80.636,7725.067
2020-12-05,80.635,92.877,79.413,92.877,9689.712
2020-12-06,92.442,93.0,84.701,87.777,4574.647
2020-12-07,88.173,95.0,86.78,91.037,9548.011
2020-12-08,90.881,91.161,77.796,80.155,14016.677
2020-12-09,79.96,86.19,75.0,82.611,15648.732
2020-12-10,82.611,83.039,75.747,76.35,12953.511
2020-12-11,76.654,79.21,70.575,74.704,11955.468
2020-12-12,74.413,80.352,74.333,77.794,6898.151
2020-12-13,77.717,85.0,76.526,83.863,9048.583
2020-12-14,83.482,91.851,79.628,86.385,12567.327
2020-12-15,86.462,88.867,84.39,87.138,9692.845
2020-12-16,86.981,89.818,80.387,87.332,14930.164
2020-12-17,87.656,90.039,82.971,85.05,14149.097
2020-12-18,85.116,90.52,81.997,90.52,5127.651
2020-12-19,90.626,96.347,88.113,89.046,13193.578
2020-12-20,88.953,90.018,84.0,85.614,10928.501
2020-12-21,85.614,87.783,77.603,80.633,11868.439
2020-12-22,81.028,86.29,75.682,84.411,9600.392
2020-12-23,84.2,84.363,63.117,75.788,8339.873
2020-12-24,75.685,81.102,71.175,80.707,6810.396
2020-12-25,80.768,81.834,75.495,79.687,9022.188
2020-12-26,79.707,79.912,73.8,74.829,3178.91
2020-12-27,75.001,81.804,72.53,76.62,5312.377
2020-12-28,76.958,85.826,75.897,81.718,8153.874
2020-12-29,81.834,82.822,74.852,78.2,4199.807
2020-12-30,78.3,85.956,77.183,81.081,7383.008
2020-12-31,81.13,88.73,78.343,88.52,6772.938
2021-01-01,88.52,91.0,84.93,91.0,7205.944
2021-01-02,90.854,92.15,82.647,85.803,7842.932
2021-01-03,85.863,95.18,81.5,93.897,11979.45
2021-01-04,94.018,115.785,86.151,113.938,25609.463
2021-01-05,114.683,123.951,98.436,119.731,19226.226
2021-01-06,120.207,121.0,108.274,115.654,14744.102
2021-01-07,115.654,128.888,107.468,114.985,16919.83
2021-01-08,115.582,119.268,100.436,110.678,14323.448
2021-01-09,111.134,119.539,106.054,117.995,8338.184
2021-01-10,118.111,136.543,111.433,126.991,27095.426
2021-01-11,127.353,127.353,94.0,114.335,21747.711
2021-01-12,114.296,135.921,109.325,127.77,22460.951
2021-01-13,127.303,148.0,119.873,146.881,17922.946
2021-01-14,146.693,154.847,138.498,147.145,10730.021
2021-01-15,147.542,167.944,138.878,166.045,14397.869
2021-01-16,166.875,202.983,166.706,181.161,29190.142
2021-01-17,181.202,198.857,174.406,186.467,15290.034
2021-01-18,186.674,200.393,180.504,200.251,8657.597
2021-01-19,200.13,209.989,184.69,186.309,13317.824
2021-01-20,186.141,199.298,171.5,196.734,15520.113
2021-01-21,197.515,199.285,155.2,159.772,20357.931
2021-01-22,160.321,199.5,147.385,189.929,17441.045
2021-01-23,189.556,220.144,185.864,213.471,15151.051
2021-01-24,213.469,289.969,212.637,264.614,40595.939
2021-01-25,265.03,283.0,232.0,248.366,25421.159
2021-01-26,247.368,288.0,240.666,277.202,19198.358
2021-01-27,278.329,298.875,255.592,286.816,23641.311
