Date,Open,High,Low,Close,Volume
2019-11-21,0.04088,0.042,0.03517,0.03829,1671807.2
2019-11-22,0.03817,0.03856,0.02001,0.03708,3811888.5
2019-11-23,0.03709,0.03831,0.03658,0.03794,973943.1
2019-11-24,0.03828,0.03861,0.03491,0.03508,3361010.7
2019-11-25,0.03477,0.0373,0.03299,0.03586,6274163.0
2019-11-26,0.03578,0.03705,0.03545,0.03674,653598.5
2019-11-27,0.03666,0.03974,0.03522,0.03913,1367766.7
2019-11-28,0.03911,0.03976,0.03835,0.03905,380894.8
2019-11-29,0.03902,0.04198,0.03902,0.04126,1735211.6
2019-11-30,0.04112,0.04207,0.03988,0.04038,454810.4
2019-12-01,0.04016,0.04023,0.03821,0.03964,331302.9
2019-12-02,0.03949,0.03949,0.03746,0.0381,316556.5
2019-12-03,0.03861,0.03861,0.03745,0.0378,237496.8
2019-12-04,0.03772,0.03868,0.0363,0.0371,651006.2
2019-12-05,0.03712,0.03802,0.03672,0.03766,301774.7
2019-12-06,0.0375,0.03844,0.0373,0.03829,188111.7
2019-12-07,0.03841,0.03905,0.03803,0.03874,128078.8
2019-12-08,0.03832,0.03878,0.03809,0.03871,69299.8
2019-12-09,0.03878,0.03878,0.03709,0.03724,119348.6
2019-12-10,0.03705,0.03737,0.03607,0.03645,499547.7
2019-12-11,0.03642,0.0371,0.03616,0.03658,276500.2
2019-12-12,0.03668,0.03693,0.03587,0.03648,209381.7
2019-12-13,0.03644,0.03719,0.03644,0.03696,173675.2
2019-12-14,0.0371,0.03722,0.03574,0.03619,418432.8
2019-12-15,0.03599,0.03658,0.03582,0.03646,281761.1
2019-12-16,0.03587,0.03607,0.03329,0.03403,338739.4
2019-12-17,0.03402,0.03402,0.03116,0.03164,517804.5
2019-12-18,0.0314,0.03468,0.03045,0.03468,415243.3
2019-12-19,0.03473,0.03476,0.03291,0.03291,319118.8
2019-12-20,0.03281,0.03375,0.0326,0.03375,293222.4
2019-12-21,0.03361,0.03386,0.03292,0.03306,245573.9
2019-12-22,0.03307,0.03444,0.03307,0.03439,223704.4
2019-12-23,0.03456,0.03456,0.03299,0.0331,281548.7
2019-12-24,0.03294,0.03445,0.03284,0.03379,385185.7
2019-12-25,0.03364,0.0339,0.03321,0.03342,259787.1
2019-12-26,0.03341,0.03472,0.03329,0.03393,179323.1
2019-12-27,0.03406,0.03434,0.03164,0.03291,888521.3
2019-12-28,0.03313,0.03391,0.03308,0.03353,188603.1
2019-12-29,0.03353,0.03445,0.03334,0.03416,41926.4
2019-12-30,0.03405,0.03421,0.03321,0.0333,82067.0
2019-12-31,0.03326,0.0336,0.03273,0.0328,79460.4
2020-01-01,0.03282,0.03363,0.03282,0.03335,153975.2
2020-01-02,0.03333,0.03337,0.03196,0.03258,241450.9
2020-01-03,0.03262,0.03431,0.03234,0.03409,426435.7
2020-01-04,0.03407,0.03416,0.03373,0.03406,141060.5
2020-01-05,0.03439,0.0352,0.03426,0.03451,282430.2
2020-01-06,0.0345,0.03733,0.03448,0.03733,478677.2
2020-01-07,0.03742,0.03805,0.03645,0.03702,874120.6
2020-01-08,0.03715,0.03874,0.03592,0.0363,770132.3
2020-01-09,0.03592,0.0363,0.03551,0.03616,370061.1
2020-01-10,0.03621,0.03706,0.0348,0.03699,830639.5
2020-01-11,0.03673,0.03765,0.03638,0.03672,246361.7
2020-01-12,0.03663,0.03782,0.03658,0.03782,308387.9
2020-01-13,0.0377,0.0377,0.0368,0.03682,109171.6
2020-01-14,0.037,0.0427,0.037,0.0416,3056163.4
2020-01-15,0.04154,0.043,0.03997,0.04269,2304159.0
2020-01-16,0.04287,0.0432,0.04016,0.04149,1367076.9
2020-01-17,0.04169,0.0458,0.04109,0.04491,1290519.1
2020-01-18,0.04478,0.04558,0.04314,0.04489,959114.1
2020-01-19,0.04505,0.04589,0.04128,0.04198,742339.0
2020-01-20,0.04199,0.04406,0.0419,0.04406,366426.6
2020-01-21,0.04371,0.04661,0.04343,0.04612,946089.3
2020-01-22,0.04613,0.04644,0.0451,0.04563,566967.0
2020-01-23,0.0456,0.0456,0.04199,0.0434,1032269.8
2020-01-24,0.04294,0.04523,0.04125,0.04511,1056323.2
2020-01-25,0.04484,0.04515,0.04296,0.04314,841245.1
2020-01-26,0.04292,0.04463,0.04278,0.04463,574092.5
2020-01-27,0.04471,0.04879,0.04401,0.04781,1294287.3
2020-01-28,0.04807,0.05454,0.0473,0.05294,4896292.1
2020-01-29,0.05301,0.05755,0.05263,0.0533,2993509.2
2020-01-30,0.05312,0.05715,0.0522,0.05609,2826464.3
2020-01-31,0.05602,0.05669,0.05214,0.05364,2406423.7
2020-02-01,0.05389,0.05716,0.05313,0.05604,2176633.5
2020-02-02,0.0561,0.05856,0.05495,0.05562,2905074.9
2020-02-03,0.05549,0.05766,0.05528,0.05682,796320.5
2020-02-04,0.05724,0.05775,0.05385,0.05566,1083526.9
2020-02-05,0.05578,0.06009,0.05552,0.05928,1683138.1
2020-02-06,0.05898,0.06072,0.058,0.05981,1199370.1
2020-02-07,0.06,0.06245,0.05944,0.05987,1242590.0
2020-02-08,0.05982,0.06122,0.05705,0.06024,1290212.4
2020-02-09,0.06007,0.06242,0.06007,0.06185,1980292.6
2020-02-10,0.06207,0.06207,0.05837,0.06029,2344779.3
2020-02-11,0.06029,0.0637,0.05892,0.06351,1758134.9
2020-02-12,0.06372,0.07027,0.06365,0.06845,3297050.0
2020-02-13,0.06827,0.0723,0.06532,0.06871,4937821.1
2020-02-14,0.06877,0.07119,0.06743,0.07079,1776743.1
2020-02-15,0.07094,0.07137,0.06242,0.06421,4126457.5
2020-02-16,0.06384,0.06694,0.05639,0.06156,5513705.8
2020-02-17,0.06169,0.06252,0.05584,0.05977,5381281.9
2020-02-18,0.06023,0.06381,0.05795,0.06276,3159961.6
2020-02-19,0.06256,0.06294,0.05664,0.05739,1731344.4
2020-02-20,0.05719,0.05892,0.05523,0.05811,2567519.7
2020-02-21,0.05792,0.05999,0.05757,0.05866,2674069.1
2020-02-22,0.05831,0.0591,0.05707,0.05838,709248.0
2020-02-23,0.0587,0.06208,0.05826,0.06169,1322338.7
2020-02-24,0.06152,0.06193,0.0573,0.05901,1950520.5
2020-02-25,0.05908,0.05908,0.05608,0.05614,2359608.5
2020-02-26,0.05595,0.05647,0.04646,0.04909,7572140.0
2020-02-27,0.04912,0.05209,0.04628,0.04973,4176790.7
2020-02-28,0.04989,0.05116,0.04647,0.04901,3591773.5
2020-02-29,0.04945,0.04997,0.04712,0.04712,1779512.9
2020-03-01,0.04749,0.04832,0.04503,0.04556,2836025.7
2020-03-02,0.0455,0.04976,0.0455,0.04895,1601211.7
2020-03-03,0.04916,0.04945,0.0475,0.04871,993386.5
2020-03-04,0.04874,0.05036,0.04802,0.049,2378127.0
2020-03-05,0.04905,0.05222,0.04905,0.05078,1247606.5
2020-03-06,0.05135,0.05176,0.05,0.05176,1339843.7
2020-03-07,0.05186,0.05187,0.04818,0.04896,1731602.4
2020-03-08,0.04883,0.04883,0.04269,0.04285,3170789.2
2020-03-09,0.04295,0.04383,0.03894,0.04153,3670925.6
2020-03-10,0.04141,0.043,0.04041,0.04134,3891163.5
2020-03-11,0.04133,0.04168,0.03725,0.03975,2844680.4
2020-03-12,0.03949,0.03962,0.0219,0.02332,25198887.8
2020-03-13,0.02326,0.02953,0.01743,0.02863,15241036.5
2020-03-14,0.02823,0.02884,0.02549,0.02577,1198127.1
2020-03-15,0.02554,0.02892,0.02554,0.02709,1942871.1
2020-03-16,0.02654,0.02684,0.02153,0.0237,4236834.8
2020-03-17,0.02406,0.02657,0.02406,0.02588,1134916.5
2020-03-18,0.02596,0.02651,0.02446,0.02616,3313457.5
2020-03-19,0.02625,0.03211,0.02591,0.03038,6327279.3
2020-03-20,0.03058,0.03409,0.02666,0.02939,8113101.9
2020-03-21,0.02934,0.03066,0.02796,0.02937,2222293.4
2020-03-22,0.02941,0.0304,0.02683,0.02701,2471894.8
2020-03-23,0.02683,0.02995,0.02668,0.02917,2044597.7
2020-03-24,0.02958,0.03054,0.02888,0.03027,2848899.9
2020-03-25,0.03022,0.03053,0.02897,0.02927,2448691.1
2020-03-26,0.02962,0.03091,0.02929,0.03088,1370891.2
2020-03-27,0.03099,0.03141,0.02826,0.0288,2174434.4
2020-03-28,0.02882,0.02995,0.02802,0.02989,1475207.4
2020-03-29,0.02998,0.02998,0.02815,0.02815,1786281.0
2020-03-30,0.02808,0.03038,0.02808,0.02971,2293435.7
2020-03-31,0.03024,0.03072,0.02956,0.03065,2133028.8
2020-04-01,0.03041,0.03098,0.0295,0.03098,1983458.6
2020-04-02,0.03105,0.03379,0.03089,0.03202,3253287.6
