Date,Open,High,Low,Close,Volume
2020-02-27,0.3776,0.3929,0.3654,0.3705,55806.8
2020-02-28,0.3798,0.3827,0.335,0.3526,148314.58
2020-02-29,0.3507,0.3705,0.3236,0.3236,272788.2
2020-03-01,0.3251,0.3451,0.3087,0.3193,93550.12
2020-03-02,0.3165,0.3894,0.3133,0.3727,171513.72
2020-03-03,0.3731,0.3877,0.3558,0.3698,300947.48
2020-03-04,0.3687,0.4108,0.3662,0.3922,128597.23
2020-03-05,0.3923,0.4103,0.3775,0.3775,176651.5
2020-03-06,0.3797,0.3853,0.3622,0.3735,75594.85
2020-03-07,0.3749,0.3826,0.337,0.3377,102427.18
2020-03-08,0.3377,0.3394,0.2889,0.2894,244437.36
2020-03-09,0.2901,0.2996,0.2496,0.278,305347.85
2020-03-10,0.2795,0.2984,0.2696,0.2803,272432.96
2020-03-11,0.2809,0.2882,0.25,0.2697,144930.98
2020-03-12,0.27,0.2703,0.1294,0.1384,1108949.73
2020-03-13,0.1382,0.1791,0.0971,0.1503,718643.31
2020-03-14,0.1512,0.1662,0.1445,0.1482,313586.81
2020-03-15,0.1482,0.161,0.1414,0.1472,369529.05
2020-03-16,0.145,0.1462,0.115,0.1234,109676.12
2020-03-17,0.1273,0.147,0.1245,0.1414,586233.29
2020-03-18,0.1379,0.1453,0.1287,0.1397,651662.19
2020-03-19,0.1406,0.1683,0.1403,0.158,446836.47
2020-03-20,0.1604,0.1858,0.143,0.1563,946983.52
2020-03-21,0.1559,0.1645,0.1447,0.1526,191681.8
2020-03-22,0.1528,0.1679,0.1436,0.1465,406259.87
2020-03-23,0.144,0.163,0.1419,0.1595,312231.11
2020-03-24,0.1585,0.1645,0.153,0.1596,165204.69
2020-03-25,0.1591,0.162,0.151,0.1539,67563.63
2020-03-26,0.1543,0.1596,0.151,0.1592,54696.56
2020-03-27,0.1596,0.1691,0.1525,0.1545,279520.73
2020-03-28,0.1539,0.1539,0.145,0.15,134064.69
2020-03-29,0.1496,0.152,0.1422,0.1442,76884.34
2020-03-30,0.1445,0.1569,0.1439,0.1556,85594.15
2020-03-31,0.1562,0.1578,0.1514,0.1544,402491.25
2020-04-01,0.1544,0.1559,0.149,0.1544,180738.14
2020-04-02,0.1547,0.1637,0.1539,0.158,147378.92
2020-04-03,0.1575,0.162,0.1549,0.1596,94346.44
2020-04-04,0.1593,0.175,0.1591,0.175,397624.97
2020-04-05,0.1797,0.184,0.1673,0.1718,187294.92
2020-04-06,0.1718,0.1886,0.1696,0.1882,414500.56
2020-04-07,0.1881,0.199,0.1806,0.1858,211806.53
2020-04-08,0.186,0.2057,0.184,0.2042,396113.99
2020-04-09,0.2036,0.2122,0.1944,0.2007,261510.48
2020-04-10,0.2,0.2,0.167,0.1788,841548.75
2020-04-11,0.1793,0.1858,0.174,0.1794,275011.85
2020-04-12,0.1801,0.1886,0.1748,0.178,140590.25
2020-04-13,0.1779,0.1788,0.1681,0.1762,218701.76
2020-04-14,0.1769,0.1825,0.1714,0.1783,227163.15
2020-04-15,0.178,0.1829,0.1681,0.1696,180883.35
2020-04-16,0.168,0.19,0.1644,0.1863,235035.83
2020-04-17,0.1862,0.1929,0.1834,0.1879,422867.82
2020-04-18,0.1877,0.2014,0.1877,0.1993,104812.94
2020-04-19,0.1987,0.1988,0.1857,0.1882,239210.47
2020-04-20,0.1879,0.1938,0.1737,0.1767,181335.79
2020-04-21,0.1769,0.1808,0.1747,0.178,100882.86
2020-04-22,0.1787,0.1879,0.1771,0.1872,143907.72
2020-04-23,0.1865,0.2,0.1815,0.195,121056.93
2020-04-24,0.1957,0.215,0.1936,0.2085,387632.67
2020-04-25,0.2081,0.2231,0.2027,0.2114,213961.52
2020-04-26,0.2114,0.2348,0.2111,0.2255,445266.67
2020-04-27,0.2263,0.2276,0.2064,0.2164,157506.01
2020-04-28,0.2171,0.2242,0.2091,0.2163,95120.68
2020-04-29,0.2163,0.2322,0.2149,0.2308,321830.77
2020-04-30,0.2307,0.2334,0.2009,0.2098,655827.63
2020-05-01,0.2105,0.2254,0.21,0.2141,163228.9
2020-05-02,0.2138,0.222,0.2132,0.2194,214008.36
2020-05-03,0.2194,0.2218,0.2021,0.2063,386644.07
2020-05-04,0.2065,0.2114,0.1899,0.2058,352059.57
2020-05-05,0.2059,0.2119,0.2027,0.2082,328044.25
2020-05-06,0.2085,0.2105,0.1955,0.1976,225325.65
2020-05-07,0.1968,0.205,0.1943,0.2036,280715.62
2020-05-08,0.2036,0.2238,0.202,0.2191,350221.0
2020-05-09,0.2178,0.2247,0.2115,0.2135,213253.37
2020-05-10,0.2135,0.2135,0.179,0.1919,671512.98
2020-05-11,0.1917,0.1996,0.1759,0.1871,344227.73
2020-05-12,0.1877,0.1993,0.187,0.193,191039.95
2020-05-13,0.1942,0.1975,0.1896,0.1955,131475.11
2020-05-14,0.1968,0.2047,0.1933,0.1968,299311.06
2020-05-15,0.1971,0.2015,0.1914,0.1915,235137.69
2020-05-16,0.1935,0.2002,0.1935,0.1975,87442.58
2020-05-17,0.1986,0.204,0.1969,0.1974,150164.84
2020-05-18,0.1984,0.2038,0.1975,0.2014,54515.6
2020-05-19,0.2015,0.2015,0.196,0.2002,56084.67
2020-05-20,0.2,0.2138,0.1983,0.2092,211482.21
2020-05-21,0.2087,0.2095,0.1835,0.1905,306662.72
2020-05-22,0.1901,0.2085,0.1888,0.205,298257.47
2020-05-23,0.205,0.212,0.1991,0.202,163450.49
2020-05-24,0.2008,0.2126,0.197,0.1975,235984.66
2020-05-25,0.1977,0.2124,0.1941,0.2119,223245.87
2020-05-26,0.2115,0.222,0.2062,0.2179,442442.22
2020-05-27,0.2182,0.2256,0.2151,0.2205,224551.0
2020-05-28,0.2186,0.2262,0.214,0.2261,389106.83
2020-05-29,0.2275,0.2349,0.223,0.2281,177927.16
2020-05-30,0.2272,0.2435,0.225,0.2435,202019.74
2020-05-31,0.2439,0.2594,0.2279,0.2336,657612.79
2020-06-01,0.2324,0.2573,0.2323,0.2499,579669.87
2020-06-02,0.251,0.2581,0.2348,0.2458,160345.19
2020-06-03,0.2445,0.2447,0.2372,0.2437,100194.19
2020-06-04,0.2421,0.249,0.2396,0.242,177395.11
2020-06-05,0.2404,0.2423,0.2324,0.2324,130854.47
2020-06-06,0.2306,0.2389,0.2295,0.2376,116855.99
2020-06-07,0.2375,0.2375,0.2245,0.2324,333818.52
2020-06-08,0.2315,0.235,0.2299,0.2339,902982.54
2020-06-09,0.2345,0.2434,0.2307,0.2421,310978.5
2020-06-10,0.2427,0.2492,0.2403,0.2468,184583.6
2020-06-11,0.2471,0.2506,0.2254,0.2307,876119.99
2020-06-12,0.23,0.2388,0.2258,0.2314,537049.89
2020-06-13,0.2321,0.2356,0.2291,0.2336,67402.96
2020-06-14,0.2339,0.2457,0.2293,0.2335,318848.19
2020-06-15,0.2328,0.2328,0.2043,0.2273,1041901.39
2020-06-16,0.2277,0.241,0.2259,0.2354,932422.45
2020-06-17,0.235,0.2465,0.2305,0.2446,447111.02
2020-06-18,0.2449,0.251,0.2383,0.2402,957060.41
2020-06-19,0.2401,0.2401,0.231,0.2314,525540.36
2020-06-20,0.2309,0.2342,0.2262,0.2303,104108.91
2020-06-21,0.2308,0.24,0.2308,0.2315,96057.97
2020-06-22,0.2325,0.2409,0.2325,0.2407,102981.66
2020-06-23,0.2416,0.2508,0.236,0.2495,147186.41
2020-06-24,0.2479,0.2563,0.2312,0.2385,858702.42
2020-06-25,0.2379,0.2392,0.2248,0.2347,289368.48
2020-06-26,0.2342,0.2342,0.2206,0.2219,301013.22
2020-06-27,0.2218,0.2218,0.1958,0.2048,480411.77
2020-06-28,0.2047,0.2116,0.1993,0.2077,228300.52
2020-06-29,0.2078,0.2151,0.2067,0.214,163675.47
2020-06-30,0.2142,0.2142,0.2078,0.2086,63824.13
