Date,Open,High,Low,Close,Volume
2022-03-17,1.0001,15.0,1.0001,8.5173,8539042.33
2022-03-18,8.5288,18.0366,8.52,13.0883,31448897.18
2022-03-19,13.0873,14.7486,11.435,11.7309,9724432.9
2022-03-20,11.7251,11.9591,9.5101,9.6351,7813386.59
2022-03-21,9.6385,11.0145,9.5783,10.5199,8981311.22
2022-03-22,10.5263,12.5925,10.2194,12.2275,8688488.54
2022-03-23,12.215,13.515,11.5154,13.3226,7551791.65
2022-03-24,13.3209,14.474,12.7741,12.907,6559926.01
2022-03-25,12.9112,13.7,12.2288,12.3888,4088418.02
2022-03-26,12.3883,14.2585,12.3661,13.835,3894579.85
2022-03-27,13.835,14.3633,13.3002,14.2743,2887515.35
2022-03-28,14.2756,15.5614,13.89,14.0185,4892213.37
2022-03-29,14.0296,14.5818,13.3335,13.599,3244078.47
2022-03-30,13.6003,14.5852,13.046,14.2108,3585516.99
2022-03-31,14.2107,14.39,12.5029,12.7,2383540.52
2022-04-01,12.7085,13.6,12.2321,12.8382,2024247.57
2022-04-02,12.8205,13.93,12.3658,12.4235,2220589.36
2022-04-03,12.4275,12.9156,11.8752,12.3868,1734878.8
2022-04-04,12.396,12.4382,11.15,11.94,1475325.66
2022-04-05,11.95,12.7983,11.5126,11.6237,1614166.76
2022-04-06,11.6261,12.0395,10.52,10.65,1663007.95
2022-04-07,10.6501,11.2954,10.6285,11.18,1168310.59
2022-04-08,11.1701,11.6122,10.6705,10.7889,1101535.91
2022-04-09,10.7847,11.0477,10.6002,10.9795,684958.36
2022-04-10,10.9797,12.4,10.8337,12.0764,1670722.85
2022-04-11,12.0764,12.2245,10.6683,10.9428,2129964.78
2022-04-12,10.9466,12.1245,10.7,11.586,1728973.82
2022-04-13,11.5944,13.4673,11.4622,13.257,2707899.2
2022-04-14,13.25,13.554,11.9334,12.2649,2093057.88
2022-04-15,12.2689,12.6133,11.9989,12.2383,1362232.39
2022-04-16,12.2386,12.29,11.3005,11.6653,999156.5
2022-04-17,11.665,12.1,11.4625,11.6969,854901.87
2022-04-18,11.6954,11.9156,10.9099,11.8707,1169254.5
2022-04-19,11.8761,13.5309,11.6707,13.3777,2492494.67
2022-04-20,13.3749,17.5102,12.9718,16.7217,9188739.74
2022-04-21,16.7209,16.7892,14.0659,14.2927,4567247.86
2022-04-22,14.2912,15.4646,13.7,15.3621,3300889.54
2022-04-23,15.3679,18.44,15.1719,16.6918,7756713.24
2022-04-24,16.6866,17.8836,15.9124,16.8173,4504259.26
2022-04-25,16.8203,19.6151,16.1892,19.3428,6861705.22
2022-04-26,19.3405,19.57,17.4147,18.0784,5397644.12
2022-04-27,18.0939,19.974,17.8452,19.42,5275738.98
2022-04-28,19.4197,27.5999,19.1075,23.7044,9839120.06
2022-04-29,23.7096,24.453,18.4,19.137,16011686.22
2022-04-30,19.1353,25.6426,19.1262,19.9572,14747077.29
2022-05-01,19.985,20.382,15.54,15.8727,12572547.06
2022-05-02,15.8707,17.35,14.2083,15.0471,7937260.46
2022-05-03,15.0548,15.7917,13.8581,14.1403,6463284.29
2022-05-04,14.15,17.7,13.9,15.5643,13933663.6
2022-05-05,15.56,16.75,12.8845,13.6899,8741136.63
2022-05-06,13.6905,13.9,12.6802,13.2654,6186685.1
2022-05-07,13.2572,13.3225,12.1193,12.344,4492609.46
2022-05-08,12.349,12.5063,11.0712,11.23,3844142.33
2022-05-09,11.2244,11.636,7.9001,8.0159,7995555.59
2022-05-10,8.0028,10.1998,7.7938,9.03,8340998.81
2022-05-11,9.0248,9.444,5.1238,5.7019,10884189.26
2022-05-12,5.7115,9.0,4.9669,7.7949,15632739.22
2022-05-13,7.7988,9.7687,7.6497,8.5264,13410850.47
2022-05-14,8.5343,9.14,7.201,8.65,7542019.39
2022-05-15,8.6525,9.194,8.0521,9.1232,6251382.65
2022-05-16,9.116,9.1165,7.8152,8.0634,4963954.43
2022-05-17,8.0637,9.2624,8.052,8.87,7263311.91
2022-05-18,8.8736,9.0756,7.6068,7.9703,5661959.7
2022-05-19,7.971,8.277,7.4178,8.0522,5207112.69
2022-05-20,8.0597,8.3636,7.5079,7.7499,4614860.32
2022-05-21,7.7488,8.2288,7.53,8.0151,3007353.14
2022-05-22,8.0162,8.218,7.748,8.006,3456965.83
2022-05-23,8.015,8.4908,7.5858,7.7457,5289628.26
2022-05-24,7.7484,7.885,7.0016,7.5006,3197912.96
2022-05-25,7.5,7.72,7.2405,7.335,2081775.73
2022-05-26,7.3343,7.4399,6.2083,6.3683,3518700.91
2022-05-27,6.3683,6.4823,5.79,6.0777,3739805.47
2022-05-28,6.0792,6.3957,6.035,6.2284,1927367.49
2022-05-29,6.2241,6.3581,5.9555,6.2353,1725172.21
2022-05-30,6.2309,7.47,6.15,7.2197,3993445.85
2022-05-31,7.22,7.3345,6.5418,6.7737,2707871.31
2022-06-01,6.7727,7.0225,5.9275,6.1001,2840042.32
2022-06-02,6.1028,6.4851,5.9695,6.3958,1597911.44
2022-06-03,6.3914,6.4896,5.99,6.1194,1326343.96
2022-06-04,6.1264,6.2236,6.0031,6.1893,790399.55
2022-06-05,6.1953,6.2576,6.0451,6.0911,982680.73
2022-06-06,6.0909,6.437,6.0777,6.3844,1708653.97
2022-06-07,6.3857,6.3886,5.8391,6.0272,1923390.18
2022-06-08,6.032,6.1199,5.6547,5.705,2070115.64
2022-06-09,5.7103,5.9189,5.6521,5.7163,1186748.16
2022-06-10,5.7162,5.736,5.5102,5.6101,442402.81
