Date,Open,High,Low,Close,Volume
2020-02-11,4.691,21.0,4.691,5.137,4954.497
2020-02-12,5.136,5.339,5.06,5.146,12023.568
2020-02-13,5.138,5.268,4.834,4.882,15968.03
2020-02-14,4.89,5.12,4.89,5.108,3788.437
2020-02-15,5.135,5.141,4.403,4.586,9426.812
2020-02-16,4.574,4.739,4.008,4.399,15765.149
2020-02-17,4.384,4.416,3.904,4.256,31617.994
2020-02-18,4.282,4.499,3.971,4.441,15746.561
2020-02-19,4.401,4.688,4.119,4.153,6180.413
2020-02-20,4.157,4.545,4.12,4.454,14737.823
2020-02-21,4.447,4.974,4.427,4.936,35200.325
2020-02-22,4.966,5.1,4.654,5.026,37424.092
2020-02-23,5.037,5.063,4.76,4.841,15171.869
2020-02-24,4.812,4.942,4.2,4.401,20092.561
2020-02-25,4.401,4.401,3.98,4.05,25421.345
2020-02-26,4.043,4.066,3.451,3.682,34748.51
2020-02-27,3.563,3.86,3.349,3.651,17657.915
2020-02-28,3.662,3.742,3.434,3.552,23699.606
2020-02-29,3.551,3.69,3.44,3.44,8877.92
2020-03-01,3.472,3.553,3.256,3.364,12692.453
2020-03-02,3.368,3.76,3.36,3.694,10526.263
2020-03-03,3.678,3.686,3.488,3.623,10746.421
2020-03-04,3.628,3.88,3.628,3.737,9132.945
2020-03-05,3.755,3.927,3.741,3.741,10868.68
2020-03-06,3.743,3.87,3.726,3.856,10274.649
2020-03-07,3.838,3.838,3.585,3.614,5351.162
2020-03-08,3.546,3.565,3.068,3.148,18125.72
2020-03-09,3.092,3.151,2.825,2.995,26432.731
2020-03-10,3.032,3.197,2.887,3.065,16654.822
2020-03-11,3.052,3.099,2.708,3.004,16748.124
2020-03-12,3.001,3.023,1.473,1.566,75314.531
2020-03-13,1.668,1.942,1.074,1.801,36373.923
2020-03-14,1.781,1.975,1.69,1.851,22996.468
2020-03-15,1.85,2.071,1.834,1.956,18680.969
2020-03-16,1.878,1.902,1.505,1.667,6172.932
2020-03-17,1.696,1.859,1.696,1.775,1948.334
2020-03-18,1.772,1.84,1.664,1.76,15686.104
2020-03-19,1.827,2.142,1.776,2.08,10844.71
2020-03-20,2.084,2.479,1.809,2.155,34782.823
2020-03-21,2.15,2.243,1.998,2.177,7135.743
2020-03-22,2.149,2.218,1.914,1.928,4756.12
2020-03-23,1.92,2.141,1.902,2.121,7039.334
2020-03-24,2.124,2.232,2.089,2.145,4582.432
2020-03-25,2.142,2.186,2.055,2.07,2695.636
2020-03-26,2.104,2.173,2.065,2.173,5739.867
2020-03-27,2.187,2.2,1.962,2.006,4534.187
2020-03-28,1.954,1.982,1.897,1.978,5179.447
2020-03-29,1.965,1.984,1.84,1.865,5126.656
2020-03-30,1.902,2.028,1.898,1.964,3111.373
2020-03-31,1.974,1.984,1.94,1.955,2685.372
2020-04-01,1.953,1.991,1.896,1.991,5436.131
2020-04-02,1.98,2.11,1.956,1.982,9526.333
2020-04-03,1.99,2.062,1.957,1.985,2688.015
2020-04-04,1.986,2.059,1.978,2.02,2565.264
2020-04-05,2.046,2.091,2.026,2.06,2431.024
2020-04-06,2.083,2.387,2.083,2.387,12967.152
2020-04-07,2.421,2.497,2.31,2.337,15776.01
2020-04-08,2.323,2.485,2.295,2.485,8848.658
2020-04-09,2.488,2.621,2.378,2.603,15498.337
2020-04-10,2.585,2.585,2.201,2.3,12977.969
2020-04-11,2.314,2.376,2.249,2.292,11644.235
2020-04-12,2.312,2.4,2.26,2.3,4664.424
2020-04-13,2.3,2.3,2.16,2.273,12269.809
2020-04-14,2.274,2.445,2.219,2.354,11309.509
2020-04-15,2.339,2.43,2.269,2.289,3740.227
2020-04-16,2.262,2.451,2.199,2.408,11080.561
2020-04-17,2.431,2.431,2.361,2.376,2636.856
2020-04-18,2.384,2.522,2.384,2.522,5493.96
2020-04-19,2.5,2.543,2.382,2.382,7696.56
2020-04-20,2.377,2.444,2.275,2.277,20806.155
2020-04-21,2.3,2.323,2.26,2.275,3581.828
2020-04-22,2.271,2.413,2.264,2.384,1500.313
2020-04-23,2.392,2.502,2.335,2.417,10969.649
2020-04-24,2.442,2.802,2.429,2.734,21694.381
2020-04-25,2.705,2.957,2.678,2.873,30484.093
2020-04-26,2.866,2.896,2.765,2.786,9760.878
2020-04-27,2.815,2.824,2.664,2.773,5664.317
2020-04-28,2.764,2.848,2.708,2.799,14366.684
2020-04-29,2.814,2.987,2.798,2.924,14654.509
2020-04-30,2.928,3.074,2.712,2.732,21793.199
2020-05-01,2.738,2.934,2.738,2.833,6261.193
2020-05-02,2.827,2.89,2.809,2.87,2007.46
2020-05-03,2.886,2.908,2.748,2.781,5864.293
2020-05-04,2.798,2.802,2.58,2.767,13073.847
2020-05-05,2.767,2.783,2.661,2.708,11201.757
2020-05-06,2.699,2.76,2.625,2.625,10202.802
2020-05-07,2.612,2.79,2.604,2.733,9248.254
2020-05-08,2.74,2.858,2.682,2.816,10617.686
2020-05-09,2.803,2.858,2.713,2.756,20564.017
2020-05-10,2.752,2.752,2.339,2.511,34358.704
2020-05-11,2.523,2.555,2.28,2.411,15150.972
2020-05-12,2.418,2.52,2.398,2.489,8165.717
2020-05-13,2.491,2.574,2.454,2.542,6594.502
2020-05-14,2.546,2.562,2.471,2.53,22476.847
2020-05-15,2.53,2.568,2.425,2.467,10749.933
2020-05-16,2.453,2.567,2.447,2.563,6677.32
2020-05-17,2.556,2.623,2.544,2.544,9721.03
2020-05-18,2.553,2.661,2.551,2.599,5095.609
2020-05-19,2.584,2.619,2.522,2.61,4868.18
2020-05-20,2.624,2.706,2.55,2.705,17103.89
2020-05-21,2.706,2.73,2.447,2.517,14965.401
2020-05-22,2.497,2.677,2.486,2.647,5510.672
2020-05-23,2.652,2.67,2.577,2.607,2796.26
2020-05-24,2.59,2.65,2.5,2.5,5955.537
2020-05-25,2.478,2.634,2.478,2.612,9616.807
