Date,Open,High,Low,Close,Volume
2020-09-22,0.85,9.0,0.85,5.3142,949236.7
2020-09-23,5.3252,5.342,3.424,3.516,309173.89
2020-09-24,3.5243,4.8751,3.41,4.6249,142405.6
2020-09-25,4.6309,5.0285,4.2083,4.7044,101157.77
2020-09-26,4.7212,4.82,4.3501,4.522,50336.29
2020-09-27,4.5303,4.7015,4.055,4.657,89404.6
2020-09-28,4.6723,4.6956,4.1611,4.2028,54450.46
2020-09-29,4.1981,4.2829,3.9599,4.1424,53613.53
2020-09-30,4.1041,4.4015,3.9908,4.3297,34819.17
2020-10-01,4.3282,4.5208,4.038,4.1458,122316.02
2020-10-02,4.1436,4.2083,3.621,3.9167,183713.76
2020-10-03,3.9233,4.19,3.8699,4.0157,115186.38
2020-10-04,4.0066,4.0815,3.84,3.9637,106066.88
2020-10-05,3.9734,4.0493,3.8729,3.9764,73625.98
2020-10-06,3.9805,3.9805,3.5043,3.5194,40216.53
2020-10-07,3.5324,3.5443,3.205,3.4375,105553.43
2020-10-08,3.4435,3.9534,3.33,3.9231,103621.42
2020-10-09,3.9007,4.3345,3.8185,4.256,56736.57
2020-10-10,4.2446,4.2693,4.0097,4.0327,41452.8
2020-10-11,4.0321,4.1504,3.9581,4.1072,48803.19
2020-10-12,4.0791,4.703,4.052,4.413,77643.63
2020-10-13,4.4066,4.5568,4.3393,4.4954,33020.55
2020-10-14,4.484,4.4842,4.01,4.1479,67513.57
2020-10-15,4.1494,4.2266,3.998,4.1362,54627.79
2020-10-16,4.123,4.1546,3.8791,4.0316,29710.62
2020-10-17,4.0378,4.2105,3.9709,4.1892,92821.76
2020-10-18,4.1864,4.247,4.08,4.1237,23012.83
2020-10-19,4.1355,4.1662,3.9965,4.0605,36635.34
2020-10-20,4.0619,4.0878,3.6775,3.7968,42063.15
2020-10-21,3.8145,4.1073,3.8145,3.9722,50093.35
2020-10-22,3.9769,4.5112,3.968,4.3405,58450.66
2020-10-23,4.3425,4.4891,4.1513,4.2592,24302.05
2020-10-24,4.244,4.3647,4.1574,4.1875,16357.39
2020-10-25,4.1843,4.2545,4.1092,4.1499,28769.39
2020-10-26,4.1352,4.4737,4.05,4.1637,27532.13
2020-10-27,4.1509,4.3368,4.0434,4.1252,17841.98
2020-10-28,4.1244,4.1774,3.9357,4.0574,36504.12
2020-10-29,4.0605,4.1044,3.721,3.7842,62574.32
2020-10-30,3.7597,3.8243,3.5798,3.7358,114835.41
2020-10-31,3.7149,3.7596,3.5893,3.6406,22101.35
2020-11-01,3.641,3.7103,3.5648,3.6903,50239.31
2020-11-02,3.6953,3.8762,3.5991,3.6158,45361.4
2020-11-03,3.6227,3.6521,3.2627,3.2997,80433.11
2020-11-04,3.3366,3.3524,3.0079,3.177,32967.14
2020-11-05,3.1752,3.3778,3.0291,3.3586,82426.58
2020-11-06,3.3481,3.6649,3.3343,3.5986,104570.9
2020-11-07,3.602,3.9128,3.3809,3.4168,128816.24
2020-11-08,3.4276,3.6611,3.3741,3.4752,16695.11
2020-11-09,3.4586,3.5298,3.2626,3.4066,13368.51
2020-11-10,3.4252,3.6282,3.3741,3.579,56170.19
2020-11-11,3.579,3.8139,3.4627,3.4839,22641.14
2020-11-12,3.4913,3.5552,3.3308,3.4178,18474.25
2020-11-13,3.4291,3.7075,3.388,3.6716,42132.39
2020-11-14,3.6953,3.6957,3.4079,3.4997,31137.78
2020-11-15,3.5001,3.6341,3.4182,3.539,9916.49
2020-11-16,3.4893,3.8186,3.461,3.7096,51793.63
2020-11-17,3.7182,3.9168,3.7075,3.8562,27466.08
2020-11-18,3.8485,3.8714,3.57,3.7526,43684.37
2020-11-19,3.7679,3.8203,3.5658,3.6427,19317.66
2020-11-20,3.6475,4.0052,3.631,3.7171,42601.45
2020-11-21,3.7384,4.1,3.6852,4.031,36002.28
2020-11-22,4.031,4.0763,3.7279,3.8905,32909.9
2020-11-23,3.9233,4.2524,3.856,4.0695,34699.08
2020-11-24,4.0796,4.316,3.8688,4.2616,60819.62
2020-11-25,4.2912,4.3886,3.923,4.0407,40006.03
2020-11-26,4.0336,4.0879,3.1769,3.5111,117797.43
2020-11-27,3.5696,3.75,3.4466,3.5706,13688.71
2020-11-28,3.5759,3.7,3.48,3.6374,26342.84
2020-11-29,3.644,3.7653,3.5434,3.7173,15243.79
2020-11-30,3.7186,3.8311,3.65,3.7045,48948.1
2020-12-01,3.709,3.8069,3.4157,3.5631,32925.35
2020-12-02,3.5631,3.8397,3.5254,3.7607,20223.52
2020-12-03,3.7489,3.8974,3.7205,3.7982,25019.87
2020-12-04,3.8243,3.8502,3.51,3.5646,36200.67
2020-12-05,3.5461,3.7085,3.5137,3.6415,14448.33
2020-12-06,3.6463,3.6871,3.5143,3.5938,19428.56
2020-12-07,3.612,3.612,3.3265,3.393,21276.69
2020-12-08,3.38,3.3848,3.0881,3.1154,36341.71
2020-12-09,3.1112,3.4493,2.8,3.2671,77537.23
2020-12-10,3.2831,3.3556,3.0607,3.1382,108629.16
2020-12-11,3.1575,3.3135,3.01,3.2277,137715.55
2020-12-12,3.2429,3.4593,3.2429,3.336,94613.07
2020-12-13,3.3467,3.4182,3.2829,3.3355,73209.35
2020-12-14,3.3305,3.3425,3.1327,3.1388,98853.24
2020-12-15,3.1477,3.3854,3.0573,3.2903,37951.38
2020-12-16,3.3045,3.3791,3.1492,3.3494,21964.87
2020-12-17,3.3606,3.3732,3.1755,3.2088,105163.54
2020-12-18,3.2104,3.4644,3.1415,3.4033,31783.7
2020-12-19,3.4128,3.6103,3.3926,3.468,59982.76
2020-12-20,3.4562,3.4979,3.286,3.2973,45055.72
2020-12-21,3.3021,3.3538,3.0046,3.0906,50181.22
2020-12-22,3.0964,3.1315,2.9193,3.0818,82726.45
2020-12-23,3.0726,3.6874,2.7436,2.9429,194100.5
2020-12-24,2.9457,3.1061,2.76,3.1045,130711.16
2020-12-25,3.1166,3.1244,2.842,2.95,69038.74
2020-12-26,2.9587,2.99,2.8501,2.9082,79210.31
2020-12-27,2.9184,3.0625,2.8391,2.9056,98450.48
2020-12-28,2.9107,3.0434,2.8757,2.9532,121692.41
2020-12-29,2.959,3.0079,2.8314,2.9158,283881.1
2020-12-30,2.9226,2.9377,2.8325,2.9112,103670.79
2020-12-31,2.9092,3.2663,2.79,3.1853,66915.93
2021-01-01,3.1648,3.8638,3.0004,3.6664,237787.41
2021-01-02,3.6682,3.9481,3.2601,3.4941,139395.74
2021-01-03,3.4995,3.8367,3.3993,3.4793,97106.42
2021-01-04,3.4833,3.8565,3.2261,3.6057,107533.82
2021-01-05,3.6123,4.36,3.4827,4.2605,137559.13
2021-01-06,4.2667,4.99,4.1477,4.5897,145753.74
2021-01-07,4.593,4.8259,4.2,4.4773,98067.17
2021-01-08,4.4944,5.8975,4.0099,5.7,160189.21
2021-01-09,5.7436,7.5,5.603,7.2005,259708.74
2021-01-10,7.2322,7.5178,6.15,6.5536,140094.37
2021-01-11,6.5433,7.0,5.71,6.4736,141894.17
2021-01-12,6.4621,8.22,6.3616,7.7376,222493.15
2021-01-13,7.7238,8.5264,7.144,8.4914,142027.0
2021-01-14,8.4918,9.5904,8.209,9.2957,207883.53
2021-01-15,9.3342,9.9445,8.562,9.3638,194534.94
2021-01-16,9.386,13.5,9.1566,12.8659,326138.22
2021-01-17,12.8012,14.6272,12.35,13.1663,307446.15
2021-01-18,13.1758,13.876,12.6,12.6874,93129.43
2021-01-19,12.6874,13.4,11.4379,11.7597,174448.15
2021-01-20,11.7801,13.0644,10.9138,12.3678,175043.44
2021-01-21,12.3678,13.0,11.0578,11.2977,152484.67
2021-01-22,11.2968,13.4102,10.6691,12.7197,221414.09
2021-01-23,12.7442,13.4781,12.531,12.8665,121498.65
2021-01-24,12.8756,13.1938,12.2005,12.488,67416.46
2021-01-25,12.5097,12.9613,12.0695,12.1766,49869.37
2021-01-26,12.1549,12.7356,11.3979,12.1822,83112.04
2021-01-27,12.1637,12.1637,10.784,11.1787,68852.93
2021-01-28,11.1787,12.7999,10.8248,11.9879,97434.22
2021-01-29,11.9879,12.8,11.3169,11.6401,183811.16
2021-01-30,11.6323,12.6655,11.3,12.0644,223362.6
2021-01-31,12.0131,15.3357,11.8519,13.4639,311337.22
2021-02-01,13.4579,13.6305,12.5488,13.184,118975.46
2021-02-02,13.2463,13.6791,12.7811,13.5334,49949.13
2021-02-03,13.5334,14.9552,13.221,14.8407,129048.13
2021-02-04,14.8727,15.9011,13.8583,15.2941,338401.93
