Date,Open,High,Low,Close,Volume
2020-11-04,0.1,0.35,0.1,0.1457,3862430.9
2020-11-05,0.14615,0.15034,0.12639,0.13457,1147834.4
2020-11-06,0.13398,0.1488,0.12319,0.14372,923372.3
2020-11-07,0.14476,0.16875,0.13433,0.1416,804759.5
2020-11-08,0.14071,0.24093,0.13948,0.1985,1876808.9
2020-11-09,0.19918,0.32432,0.19918,0.28,1772136.4
2020-11-10,0.27731,0.37052,0.2466,0.26828,847479.6
2020-11-11,0.26815,0.43593,0.2643,0.35219,1455201.1
2020-11-12,0.35219,0.38847,0.30444,0.31484,628965.2
2020-11-13,0.31728,0.42998,0.31728,0.39217,500224.1
2020-11-14,0.39525,0.60704,0.37152,0.56359,1331889.1
2020-11-15,0.57036,0.685,0.50643,0.5933,1253106.4
2020-11-16,0.58962,0.67349,0.53848,0.55067,555649.6
2020-11-17,0.56196,0.60339,0.45,0.4998,463076.0
2020-11-18,0.50432,0.57809,0.425,0.52277,662102.3
2020-11-19,0.51746,0.55955,0.43598,0.43961,405924.0
2020-11-20,0.44341,0.54569,0.43094,0.4974,342822.1
2020-11-21,0.49776,0.536,0.4565,0.46869,162309.6
2020-11-22,0.46869,0.47423,0.40149,0.42741,311140.8
2020-11-23,0.43204,0.549,0.41447,0.51197,347051.2
2020-11-24,0.50939,0.52042,0.4355,0.47937,348818.1
2020-11-25,0.48144,0.48837,0.39423,0.41837,189916.6
2020-11-26,0.41436,0.41903,0.3,0.3691,215475.9
2020-11-27,0.36851,0.38344,0.33443,0.378,131188.7
2020-11-28,0.37545,0.4447,0.37065,0.42602,162905.8
2020-11-29,0.42495,0.494,0.41,0.47537,184469.1
2020-11-30,0.47796,0.48962,0.43152,0.45581,175810.1
2020-12-01,0.4576,0.4635,0.40225,0.41043,183292.9
2020-12-02,0.4094,0.51656,0.40297,0.49705,266275.3
2020-12-03,0.49705,0.53586,0.4837,0.511,171663.9
2020-12-04,0.51041,0.51041,0.42008,0.42934,228182.8
2020-12-05,0.43361,0.48358,0.42201,0.47621,149181.9
2020-12-06,0.4784,0.48566,0.44141,0.48091,136562.6
2020-12-07,0.47936,0.57841,0.46831,0.56117,404080.6
2020-12-08,0.56539,0.6433,0.5241,0.56896,652833.7
2020-12-09,0.5722,0.68,0.55501,0.62789,342300.9
2020-12-10,0.62895,0.63748,0.55105,0.56472,139640.4
