Date,Open,High,Low,Close,Volume
2019-11-28,200.16,1000.0,200.16,217.12,142.03251
2019-11-29,217.64,226.4,217.43,223.32,163.11216
2019-11-30,224.01,224.7,215.18,217.63,245.40076
2019-12-01,217.33,218.09,209.71,214.64,393.64616
2019-12-02,215.1,216.23,210.18,213.9,241.48246
2019-12-03,214.14,215.98,211.61,211.79,174.72089
2019-12-04,211.53,219.52,202.45,207.43,391.45514
2019-12-05,207.0,214.31,205.24,211.73,148.49262
2019-12-06,211.73,213.76,209.52,212.98,57.58503
2019-12-07,213.35,215.76,210.21,211.3,149.02311
2019-12-08,210.9,215.17,208.83,212.87,42.68639
2019-12-09,213.27,214.45,205.53,208.54,48.45919
2019-12-10,208.15,208.88,204.04,206.96,55.85826
2019-12-11,207.3,207.75,203.99,206.57,33.41203
2019-12-12,206.96,207.36,203.77,206.1,32.26359
2019-12-13,206.57,212.28,206.12,211.12,86.77801
2019-12-14,211.15,212.71,204.83,205.73,83.40699
2019-12-15,205.73,209.33,204.98,206.97,77.47985
2019-12-16,206.57,207.36,193.87,196.15,276.94648
2019-12-17,195.97,196.38,172.05,176.0,492.23085
2019-12-18,175.6,191.7,169.69,189.14,536.17544
2019-12-19,190.2,190.31,183.85,185.9,145.10376
2019-12-20,186.09,190.48,184.01,186.93,60.63167
2019-12-21,186.93,187.74,185.52,185.52,50.59651
2019-12-22,186.11,197.17,186.11,196.34,111.87904
2019-12-23,196.82,197.97,188.45,189.58,219.17772
2019-12-24,190.0,191.31,185.39,188.0,93.65208
2019-12-25,187.22,187.52,182.77,184.89,89.13689
2019-12-26,184.81,194.09,184.47,187.01,85.87709
2019-12-27,188.54,202.62,187.46,202.62,405.04962
2019-12-28,203.43,208.96,203.43,204.97,138.19893
2019-12-29,205.5,215.4,204.05,212.23,182.8243
2019-12-30,211.17,214.04,205.24,207.87,193.00922
2019-12-31,206.75,213.16,201.02,203.63,182.63432
2020-01-01,203.42,207.95,202.63,203.65,154.58382
2020-01-02,203.44,204.78,192.41,195.44,333.69087
2020-01-03,194.97,225.24,192.22,221.76,441.76669
