Date,Open,High,Low,Close,Volume
2020-08-18,2.08,4.888,2.08,3.1133,68617.43
2020-08-19,3.0939,3.2094,2.65,2.9275,206317.43
2020-08-20,2.9652,3.1499,2.6734,2.9152,70118.72
2020-08-21,2.9132,3.0997,2.7,2.87,64030.89
2020-08-22,2.8558,4.5348,2.7383,4.4714,366563.32
2020-08-23,4.4673,4.585,3.702,3.9785,280156.47
2020-08-24,3.9915,4.7999,3.7904,4.5837,252473.81
2020-08-25,4.587,5.7427,4.4899,5.5408,368270.9
2020-08-26,5.5408,6.6632,5.1115,6.0599,444676.36
2020-08-27,6.0866,6.7899,5.23,5.6515,458130.79
2020-08-28,5.6515,6.6,5.5063,6.1743,387405.72
2020-08-29,6.1741,6.5645,6.0108,6.1428,213035.15
2020-08-30,6.1632,6.2142,5.7063,5.8887,197787.73
2020-08-31,5.9044,6.4648,5.765,6.2786,145130.21
2020-09-01,6.2653,6.8625,6.1332,6.2387,198575.32
2020-09-02,6.2385,6.4316,5.5715,6.156,199051.93
2020-09-03,6.1264,6.3385,4.9,5.6796,307471.39
2020-09-04,5.6948,5.9893,4.08,5.116,367961.29
2020-09-05,5.0889,5.2927,3.5386,4.093,355452.73
2020-09-06,4.1284,5.3888,3.7493,4.8043,355832.04
2020-09-07,4.77,4.8139,4.009,4.587,288254.83
2020-09-08,4.6073,4.6202,4.1067,4.2765,209956.22
2020-09-09,4.232,4.7905,4.12,4.7058,319366.16
2020-09-10,4.7089,4.8942,4.4427,4.5821,209419.28
2020-09-11,4.5887,4.7547,4.3076,4.6472,158611.24
2020-09-12,4.65,5.2981,4.497,5.1548,180153.08
2020-09-13,5.114,5.4686,4.7801,5.3008,246814.16
2020-09-14,5.289,5.5708,5.1067,5.3453,206996.07
2020-09-15,5.363,5.4504,5.02,5.054,153449.91
2020-09-16,5.0269,5.2752,4.8888,5.0807,303166.97
2020-09-17,5.0538,5.4273,5.0508,5.3227,164017.14
2020-09-18,5.3269,5.4544,5.0983,5.2421,105717.02
2020-09-19,5.2462,5.2462,4.785,4.9243,90069.04
2020-09-20,4.8925,4.9584,4.3674,4.6663,242236.96
2020-09-21,4.6505,4.685,3.911,4.0567,233666.69
2020-09-22,4.0761,4.1978,3.9021,4.1616,209592.42
2020-09-23,4.1641,4.3163,3.9473,4.0102,253258.24
2020-09-24,4.0098,4.4719,3.956,4.3875,229281.17
2020-09-25,4.3896,4.528,4.2471,4.4142,89601.33
2020-09-26,4.4217,4.4877,4.2265,4.327,208464.61
2020-09-27,4.3163,4.3641,4.107,4.3008,113509.71
