Date,Open,High,Low,Close,Volume
2020-09-03,19.66,35.0,16.86,17.803,110519.248
2020-09-04,17.803,20.31,16.888,17.621,50114.275
2020-09-05,17.621,17.707,10.448,12.389,37780.119
2020-09-06,12.34,14.5,11.877,13.365,43170.964
2020-09-07,13.365,13.734,11.82,13.21,52935.798
2020-09-08,13.221,15.492,13.21,13.99,72832.115
2020-09-09,13.988,15.355,13.815,15.104,34711.656
2020-09-10,15.027,15.681,13.785,13.941,29082.604
2020-09-11,13.943,14.664,13.571,14.295,13085.924
2020-09-12,14.295,14.413,13.593,13.894,10526.726
2020-09-13,13.895,13.988,13.0,13.308,12432.664
2020-09-14,13.308,14.326,12.7,13.942,23461.016
2020-09-15,13.973,14.923,12.869,13.051,32775.558
2020-09-16,12.995,13.005,11.863,12.582,22662.422
2020-09-17,12.647,12.847,11.655,12.023,19413.883
2020-09-18,12.023,12.332,10.875,11.213,21254.862
2020-09-19,11.213,12.218,11.213,11.936,17342.302
2020-09-20,11.895,12.074,10.107,10.724,27445.173
2020-09-21,10.71,10.921,8.387,8.815,28406.938
2020-09-22,8.815,9.065,8.407,8.721,21134.729
2020-09-23,8.721,9.5,8.32,8.809,34473.908
2020-09-24,8.781,9.24,8.726,9.24,25199.211
2020-09-25,9.24,10.112,9.146,9.977,11655.097
2020-09-26,9.977,10.602,9.962,10.411,7872.07
2020-09-27,10.41,10.46,9.664,10.003,7769.204
2020-09-28,10.082,10.602,9.857,9.97,9054.016
2020-09-29,9.97,10.367,9.963,10.281,8962.115
2020-09-30,10.279,10.613,10.096,10.336,9694.783
2020-10-01,10.336,10.971,9.986,10.253,13247.005
2020-10-02,10.18,10.296,8.979,9.426,7118.614
2020-10-03,9.407,9.552,9.044,9.11,3469.352
2020-10-04,9.022,9.281,8.881,9.044,9438.851
2020-10-05,9.044,9.134,8.082,8.453,16545.341
2020-10-06,8.453,8.458,6.843,6.934,10963.468
2020-10-07,6.91,7.844,6.453,7.775,23516.859
2020-10-08,7.775,7.775,6.987,7.494,35809.541
2020-10-09,7.494,8.188,7.322,7.932,41201.764
2020-10-10,7.932,8.082,7.719,7.77,16158.205
2020-10-11,7.77,8.191,7.58,8.165,17555.382
2020-10-12,8.19,8.201,7.842,8.015,19652.033
2020-10-13,8.013,8.176,7.863,7.943,13309.556
2020-10-14,7.943,8.199,7.769,7.994,15937.475
2020-10-15,7.994,7.999,7.713,7.892,12209.562
2020-10-16,7.892,7.892,7.205,7.388,14633.742
2020-10-17,7.385,7.712,7.371,7.636,6980.823
2020-10-18,7.646,7.728,7.504,7.613,5295.496
2020-10-19,7.587,7.587,7.215,7.32,12101.284
2020-10-20,7.307,7.718,6.497,7.076,33494.723
2020-10-21,7.076,7.504,7.056,7.469,18324.787
2020-10-22,7.467,7.872,7.365,7.712,17563.679
2020-10-23,7.721,8.908,7.703,8.869,50639.279
2020-10-24,8.869,10.235,8.553,8.812,93584.6
2020-10-25,8.812,9.733,8.277,9.255,55123.143
2020-10-26,9.254,9.52,8.432,8.637,33880.276
2020-10-27,8.64,8.774,8.324,8.582,32192.607
2020-10-28,8.582,8.669,7.549,7.86,29510.971
2020-10-29,7.86,8.025,7.109,7.391,25852.281
2020-10-30,7.369,7.781,7.213,7.627,29866.506
2020-10-31,7.627,7.657,7.2,7.341,14027.989
2020-11-01,7.319,7.888,7.282,7.678,20357.211
2020-11-02,7.678,7.766,7.251,7.312,17671.974
2020-11-03,7.308,7.424,7.1,7.26,16746.486
2020-11-04,7.26,7.288,7.0,7.172,15775.499
2020-11-05,7.172,7.523,6.998,7.394,17562.512
2020-11-06,7.39,8.462,7.387,8.371,30870.71
2020-11-07,8.376,8.583,7.592,7.846,41784.028
2020-11-08,7.846,8.415,7.74,8.33,21187.578
2020-11-09,8.354,8.417,7.937,8.121,15920.418
2020-11-10,8.121,8.686,8.083,8.591,17768.773
2020-11-11,8.591,8.817,7.8,7.8,20075.732
2020-11-12,7.797,7.887,7.353,7.499,15093.547
2020-11-13,7.502,7.867,7.475,7.782,10002.586
2020-11-14,7.782,7.782,7.309,7.484,10803.103
2020-11-15,7.501,7.727,7.41,7.57,9597.546
2020-11-16,7.565,7.975,7.515,7.709,13644.842
2020-11-17,7.7,7.988,7.648,7.875,12757.233
2020-11-18,7.878,7.939,7.063,7.505,26999.898
2020-11-19,7.496,7.664,7.247,7.601,13846.075
2020-11-20,7.603,8.006,7.51,7.611,19351.843
2020-11-21,7.617,8.51,7.608,8.226,39672.277
2020-11-22,8.242,8.356,7.628,8.02,26878.49
2020-11-23,8.041,9.281,7.952,9.078,44368.7
2020-11-24,9.078,9.355,8.5,9.044,41748.444
2020-11-25,9.044,10.354,8.752,9.683,55092.197
2020-11-26,9.682,10.041,8.272,9.135,80902.353
2020-11-27,9.137,9.184,8.612,8.854,19210.195
2020-11-28,8.854,9.026,8.556,8.795,13574.011
2020-11-29,8.793,9.132,8.681,8.921,10806.487
2020-11-30,8.934,9.343,8.732,9.182,23058.223
2020-12-01,9.182,9.606,8.764,9.284,35451.439
2020-12-02,9.28,12.0,9.195,11.647,55872.903
2020-12-03,11.661,13.464,11.631,13.118,74921.396
2020-12-04,13.051,14.097,11.272,12.116,65164.305
2020-12-05,12.06,14.665,11.858,13.962,59868.185
2020-12-06,13.925,13.968,12.9,13.727,41731.739
2020-12-07,13.752,13.899,12.583,13.135,25563.512
2020-12-08,13.131,13.151,12.238,12.524,44324.828
2020-12-09,12.484,14.584,12.411,13.965,131525.218
2020-12-10,13.965,14.531,13.352,13.742,67973.76
2020-12-11,13.738,15.306,13.121,14.767,123122.567
2020-12-12,14.764,17.093,14.755,16.724,134825.764
2020-12-13,16.714,17.273,15.968,16.915,103366.933
2020-12-14,16.887,20.099,16.517,19.227,190118.452
2020-12-15,19.169,24.508,18.724,24.272,266819.508
2020-12-16,24.211,25.437,20.627,21.654,331919.829
2020-12-17,21.654,23.765,17.808,23.353,253919.592
2020-12-18,23.365,27.804,22.807,25.399,291196.06
