Date,Open,High,Low,Close,Volume
2019-11-07,3.6,3.6,1.3005,3.4626,10108.81
2019-11-08,3.4633,3.5476,3.3281,3.4044,22837.78
2019-11-09,3.4025,3.4964,3.4025,3.487,18463.04
2019-11-10,3.4828,3.7932,3.4424,3.5797,21384.94
2019-11-11,3.5815,3.5925,3.4027,3.4295,16853.08
2019-11-12,3.4306,3.5091,3.3876,3.4768,20955.04
2019-11-13,3.4772,3.4809,3.4149,3.4633,27771.67
2019-11-14,3.4633,3.4713,3.311,3.3901,12003.5
2019-11-15,3.3934,3.484,3.2799,3.325,23184.19
2019-11-16,3.331,3.391,3.317,3.3703,5632.61
2019-11-17,3.3668,3.4319,3.3188,3.3887,9518.16
2019-11-18,3.3958,3.396,3.0139,3.1776,27978.63
2019-11-19,3.1689,3.1886,3.0221,3.1144,26970.73
2019-11-20,3.1042,3.1399,3.0432,3.0716,23941.97
2019-11-21,3.0761,3.1074,2.7309,2.8176,67204.9
2019-11-22,2.8158,2.84,2.4407,2.6246,87878.56
2019-11-23,2.6132,2.7058,2.5663,2.6826,22671.16
2019-11-24,2.6829,2.6864,2.361,2.4141,22609.6
2019-11-25,2.4209,2.6151,2.3423,2.531,30789.27
2019-11-26,2.5156,2.6336,2.5156,2.6131,9771.0
2019-11-27,2.6007,2.7371,2.4891,2.6737,10446.98
2019-11-28,2.6918,2.6935,2.5938,2.6206,8930.85
2019-11-29,2.6216,2.8254,2.6216,2.792,12815.08
2019-11-30,2.7899,2.8221,2.7188,2.7553,3998.14
2019-12-01,2.7322,2.8528,2.6654,2.7744,36373.3
2019-12-02,2.783,2.7889,2.6445,2.6777,6911.69
2019-12-03,2.6726,2.7333,2.6515,2.6962,6934.55
2019-12-04,2.6916,2.7555,2.5763,2.6385,32326.78
2019-12-05,2.6223,2.7037,2.6222,2.6874,5524.53
2019-12-06,2.68,2.7314,2.6599,2.7284,5693.55
2019-12-07,2.7248,2.756,2.7115,2.7222,4383.36
