Date,Open,High,Low,Close,Volume
2019-10-21,4.5,4.6827,4.4399,4.6091,5416.04
2019-10-22,4.612,4.6432,4.4297,4.4542,3416.19
2019-10-23,4.4686,4.4829,4.0475,4.2326,12334.03
2019-10-24,4.2495,4.3598,4.0182,4.2682,13769.02
2019-10-25,4.2666,4.9856,4.2388,4.7558,12230.78
2019-10-26,4.7576,5.1029,4.4801,4.5816,14575.14
2019-10-27,4.5896,4.9138,4.526,4.7906,8935.9
2019-10-28,4.7989,5.0098,4.7356,4.7558,3756.08
2019-10-29,4.7702,5.1508,4.7621,4.9305,24920.74
2019-10-30,4.9329,4.9712,4.7271,4.7925,4867.06
2019-10-31,4.8132,4.9593,4.684,4.8132,7519.29
2019-11-01,4.799,4.9425,4.7989,4.8743,4005.66
2019-11-02,4.8851,5.0406,4.8386,4.9392,6782.71
2019-11-03,4.9693,4.9979,4.8397,4.8896,2457.29
2019-11-04,4.85,5.0359,4.85,4.9479,8643.16
2019-11-05,4.9541,5.0606,4.8509,5.0109,4297.99
2019-11-06,5.0205,5.1913,4.9992,5.0735,6853.42
2019-11-07,5.0871,5.352,5.0394,5.2355,24338.23
2019-11-08,5.2093,5.2763,4.7742,4.972,16738.97
2019-11-09,4.9493,5.0471,4.9198,4.9498,6810.27
2019-11-10,4.9433,6.777,4.9172,5.0538,14844.19
2019-11-11,5.0447,5.0681,4.8184,4.8726,12917.74
2019-11-12,4.8769,4.9257,4.7905,4.9001,6476.87
2019-11-13,4.9037,4.9101,4.8287,4.8449,2828.46
2019-11-14,4.8324,4.8439,4.667,4.7562,2076.03
2019-11-15,4.7129,4.7991,4.4438,4.5561,2654.31
2019-11-16,4.5662,4.6199,4.5569,4.6099,232.58
2019-11-17,4.6418,4.6655,4.5871,4.6454,901.27
2019-11-18,4.6045,4.6147,4.1816,4.359,9855.67
2019-11-19,4.3362,4.5143,4.2475,4.3666,6934.34
2019-11-20,4.35,4.4233,4.3001,4.3276,2723.51
2019-11-21,4.3487,4.3826,4.034,4.139,8302.17
2019-11-22,4.1715,4.1904,3.5588,3.8654,11953.88
2019-11-23,3.872,4.0721,3.7988,3.9892,4273.03
2019-11-24,3.961,3.965,3.6866,3.6866,3379.88
2019-11-25,3.6925,3.9229,3.5434,3.7796,9520.28
2019-11-26,3.7646,3.8991,3.7646,3.8631,2590.61
2019-11-27,3.85,4.0477,3.6848,3.9658,3944.78
2019-11-28,3.9197,4.011,3.8782,3.9503,2297.42
2019-11-29,3.9354,4.1172,3.9354,4.0832,1447.34
2019-11-30,4.0669,4.0669,3.8894,3.9469,936.86
2019-12-01,3.9081,4.0091,3.8299,3.932,3746.09
2019-12-02,3.9318,3.9318,3.7902,3.8591,1482.05
2019-12-03,3.8656,3.9144,3.8287,3.8287,1871.66
2019-12-04,3.8305,3.8549,3.7152,3.747,3434.74
2019-12-05,3.751,3.8046,3.7412,3.8046,470.58
2019-12-06,3.7829,3.8629,3.7727,3.8629,138.75
2019-12-07,3.8927,3.9405,3.863,3.8808,594.52
2019-12-08,3.8502,3.9062,3.8418,3.9029,230.46
2019-12-09,3.9107,3.9107,3.7734,3.7797,173.36
2019-12-10,3.7712,3.7795,3.7362,3.7544,534.52
2019-12-11,3.7758,3.7901,3.7679,3.7679,147.47
2019-12-12,3.7874,3.8309,3.7286,3.8309,814.85
2019-12-13,3.8064,3.8686,3.8064,3.8686,117.82
2019-12-14,3.8548,3.8548,3.753,3.786,433.43
2019-12-15,3.7752,3.831,3.7584,3.8083,635.97
2019-12-16,3.7828,3.8258,3.6234,3.6714,2560.42
2019-12-17,3.6668,3.6858,3.4191,3.4627,2521.26
2019-12-18,3.4536,3.809,3.3618,3.7591,5910.49
2019-12-19,3.7848,3.7848,3.6594,3.7231,1372.75
2019-12-20,3.6939,4.1791,3.6805,4.0613,1762.29
2019-12-21,4.0398,4.1711,3.9999,4.113,6399.81
2019-12-22,4.1122,4.2237,4.1122,4.1956,1634.84
2019-12-23,4.2124,4.2214,3.9549,3.9863,3878.55
2019-12-24,3.9899,3.9958,3.8776,3.9356,2819.44
2019-12-25,3.897,4.057,3.897,4.032,2962.08
2019-12-26,4.0356,4.6767,4.0356,4.4933,12911.37
2019-12-27,4.444,4.6666,4.3581,4.4968,6768.92
2019-12-28,4.528,4.5431,4.3764,4.4412,2018.17
2019-12-29,4.4204,4.8102,4.4101,4.6701,3895.86
2019-12-30,4.553,4.8296,4.5239,4.6085,7352.36
2019-12-31,4.5915,4.745,4.4293,4.4854,5757.07
2020-01-01,4.4701,4.5479,4.4701,4.53,895.55
2020-01-02,4.4396,4.4396,4.1955,4.2274,2602.15
2020-01-03,4.201,4.622,4.1816,4.5576,3306.53
2020-01-04,4.5734,4.7405,4.5198,4.7405,3634.6
2020-01-05,4.8282,4.9933,4.7588,4.8316,2956.22
2020-01-06,4.8971,5.1,4.868,5.026,3069.66
2020-01-07,5.0626,5.0626,4.7262,4.8291,5071.66
2020-01-08,4.8683,5.0327,4.7083,4.9547,3682.06
2020-01-09,4.9272,5.1991,4.8797,5.1689,3978.93
2020-01-10,5.1947,5.387,4.9192,5.3488,10388.14
2020-01-11,5.3481,5.8034,5.3336,5.5745,11427.49
2020-01-12,5.5534,5.6174,5.3605,5.5623,3603.92
2020-01-13,5.5315,5.5315,5.3132,5.4821,2618.59
2020-01-14,5.4923,7.0,5.4923,6.8094,65939.12
2020-01-15,6.7622,8.0714,6.6473,7.9943,82978.65
2020-01-16,8.0353,8.609,7.3117,8.4068,26197.32
2020-01-17,8.3879,11.9857,8.1409,9.4706,87128.74
2020-01-18,9.5299,9.7355,8.0256,8.2923,47196.95
2020-01-19,8.2723,9.4306,7.7809,8.5325,45736.97
2020-01-20,8.5739,9.0704,8.0759,8.6193,13159.55
2020-01-21,8.6685,9.0376,8.5041,8.9202,4379.74
2020-01-22,9.0354,9.4846,8.9974,9.28,2605.67
2020-01-23,9.28,9.3008,8.1897,8.4387,5868.85
2020-01-24,8.4183,8.8135,7.8265,8.6101,10492.18
2020-01-25,8.5816,8.6224,8.1088,8.3775,5880.76
2020-01-26,8.3571,9.3435,8.2346,9.153,5342.24
2020-01-27,9.1734,11.1084,9.1734,10.3898,23968.62
2020-01-28,10.4406,11.6808,10.3519,11.395,18762.59
2020-01-29,11.4248,12.8558,11.3923,12.1914,17634.85
2020-01-30,12.2685,12.6296,11.6808,12.0992,8912.27
2020-01-31,12.0991,12.1207,10.7416,11.3151,16246.57
2020-02-01,11.318,11.7657,11.0901,11.52,11668.49
2020-02-02,11.4651,11.699,11.15,11.3677,4297.37
2020-02-03,11.3588,12.1914,11.3588,11.8173,3450.01
