Date,Open,High,Low,Close,Volume
2020-10-15,10.0,200.0,10.0,62.4658,24751.89
2020-10-16,62.707,76.0,38.9589,44.508,32990.08
2020-10-17,44.508,50.5881,40.48,42.6855,7780.29
2020-10-18,41.8533,42.0536,31.9111,32.8438,7009.9
2020-10-19,32.6111,35.0,29.951,33.8175,10782.43
2020-10-20,33.65,33.9992,30.2989,31.1733,8212.01
2020-10-21,31.1733,31.7104,26.6293,26.6396,9383.07
2020-10-22,26.501,26.8079,22.6707,23.8601,7859.88
2020-10-23,23.3264,25.7234,20.6234,23.9092,7265.89
2020-10-24,23.8523,26.76,22.2602,25.8486,7040.21
2020-10-25,25.7359,39.8135,25.5,38.6766,18103.46
2020-10-26,38.6185,40.7678,32.0322,33.9799,8806.33
2020-10-27,33.0,37.6416,32.8664,35.3306,6311.06
2020-10-28,35.1494,36.1922,32.8353,33.612,2307.07
2020-10-29,33.5116,34.1999,31.7525,32.6161,6136.58
2020-10-30,32.3626,32.4744,28.5908,29.244,7592.55
2020-10-31,29.19,32.265,28.2651,31.4098,6505.05
2020-11-01,31.7168,31.7168,30.6435,31.5527,3086.98
2020-11-02,31.6331,31.8888,29.4068,29.8934,4694.96
2020-11-03,29.5821,29.6502,27.9345,28.8839,8210.02
2020-11-04,28.7565,29.5009,28.2313,28.8993,1936.41
2020-11-05,28.972,30.2352,28.454,29.4188,4651.59
2020-11-06,29.3446,33.2781,29.2029,31.7195,9174.9
2020-11-07,31.7938,33.3523,29.3798,29.9999,7034.8
2020-11-08,29.9285,31.1428,29.6428,30.7857,3697.05
2020-11-09,30.7142,32.3571,30.375,31.2142,6605.73
2020-11-10,31.1428,31.2904,30.3571,30.385,4812.89
2020-11-11,30.385,30.9998,29.6486,30.0788,2432.13
2020-11-12,29.9336,30.4116,28.7328,29.5048,2249.01
2020-11-13,29.5565,30.0009,29.1002,29.1646,1432.38
2020-11-14,29.2458,29.4543,28.5182,29.3325,6685.98
2020-11-15,29.2269,29.2269,27.479,27.754,29840.44
2020-11-16,27.7304,27.9846,27.2077,27.5261,24574.45
2020-11-17,27.45,30.0,27.364,29.1866,25872.29
2020-11-18,29.286,29.8,27.647,28.8983,21778.47
2020-11-19,28.826,29.3097,28.3295,28.8046,8775.47
2020-11-20,28.8855,29.9805,28.7326,29.0602,18589.44
2020-11-21,29.0602,32.3776,28.8773,29.9786,19126.04
2020-11-22,29.9636,30.2395,28.6486,28.9125,8981.98
2020-11-23,29.0068,29.5263,28.7816,29.08,10920.39
2020-11-24,29.144,31.0067,29.1229,29.9103,20550.0
2020-11-25,29.8141,35.3426,29.5993,30.9697,58165.09
2020-11-26,30.8633,31.9951,28.8529,29.8965,29529.23
2020-11-27,29.913,30.4566,29.2759,29.7933,9585.18
2020-11-28,29.8291,30.3686,29.6968,30.0603,8251.07
2020-11-29,29.9128,30.1836,29.7727,29.9551,3944.51
2020-11-30,30.0847,30.8888,30.0822,30.5507,10413.31
2020-12-01,30.4621,31.8421,29.8671,30.3515,17106.93
2020-12-02,30.356,31.3048,30.2631,30.6715,6911.4
2020-12-03,30.6327,30.9029,30.2318,30.5013,4464.19
