Date,Open,High,Low,Close,Volume
2021-07-30,18.28,36.0,18.28,23.91,1227016.65
2021-07-31,23.91,27.98,22.84,24.38,1356393.29
2021-08-01,24.38,24.42,21.16,21.16,466571.43
2021-08-02,21.21,22.7,20.76,22.16,267782.59
2021-08-03,22.14,22.41,20.5,20.83,150718.35
2021-08-04,20.84,22.45,20.28,22.31,263393.15
2021-08-05,22.31,23.48,20.91,22.29,142011.36
2021-08-06,22.27,22.67,21.53,22.42,82465.14
2021-08-07,22.47,23.4,21.93,22.67,98985.94
2021-08-08,22.64,23.48,21.23,21.49,87199.51
2021-08-09,21.46,22.36,20.58,22.21,155681.21
2021-08-10,22.19,24.14,21.68,23.09,220054.92
2021-08-11,23.07,26.69,22.97,23.91,231792.47
2021-08-12,23.81,24.01,21.92,22.56,121826.85
2021-08-13,22.6,23.99,22.41,23.69,42522.15
2021-08-14,23.66,23.91,22.56,23.29,53385.71
2021-08-15,23.39,23.41,22.13,23.08,38134.24
2021-08-16,23.02,23.75,22.52,22.76,61221.52
2021-08-17,22.82,25.11,21.87,22.24,108809.89
2021-08-18,22.23,23.94,21.12,22.39,78374.09
2021-08-19,22.36,22.96,21.28,22.84,68215.44
2021-08-20,22.88,23.59,22.27,23.43,70394.89
2021-08-21,23.44,25.38,23.05,23.18,106461.54
2021-08-22,23.18,23.37,22.58,23.04,43482.73
2021-08-23,23.08,24.52,22.81,23.93,76732.86
2021-08-24,23.95,23.99,21.6,21.81,184681.36
2021-08-25,21.82,22.98,20.87,22.37,237359.42
2021-08-26,22.35,22.94,20.97,21.28,115675.85
2021-08-27,21.37,22.01,20.99,21.86,82673.82
2021-08-28,21.87,22.18,21.6,21.67,53579.48
2021-08-29,21.67,28.87,21.56,27.63,864625.62
2021-08-30,27.6,29.14,24.3,25.2,438514.74
2021-08-31,25.22,27.7,24.0,25.1,205626.99
2021-09-01,25.12,25.85,24.27,25.68,112647.02
2021-09-02,25.63,25.77,24.97,25.2,65360.5
2021-09-03,25.15,25.93,24.81,25.43,85694.96
2021-09-04,25.47,27.33,25.05,25.76,105079.7
2021-09-05,25.65,27.31,25.3,26.75,108520.21
2021-09-06,26.77,26.8,25.24,25.9,54147.45
2021-09-07,25.9,26.15,20.52,21.38,136032.97
2021-09-08,21.45,22.98,18.44,20.98,130245.18
2021-09-09,21.04,22.15,20.55,21.44,106596.56
2021-09-10,21.45,22.06,19.6,20.07,69451.78
2021-09-11,20.16,20.72,19.75,20.39,36446.83
2021-09-12,20.36,20.99,19.8,20.76,55935.39
2021-09-13,20.75,20.76,18.72,19.62,78835.37
2021-09-14,19.62,25.68,19.53,22.73,833729.58
2021-09-15,22.73,23.36,21.38,22.05,151111.62
2021-09-16,22.02,22.08,20.98,21.2,83476.39
2021-09-17,21.18,21.34,20.42,20.57,59509.11
2021-09-18,20.58,21.53,20.46,20.7,48354.39
2021-09-19,20.71,21.11,19.91,20.15,78796.24
2021-09-20,20.17,20.2,17.1,17.55,90533.93
2021-09-21,17.49,17.74,15.52,15.7,43153.79
2021-09-22,15.74,20.55,15.34,17.58,342284.03
2021-09-23,17.6,18.48,17.3,18.37,124658.45
2021-09-24,18.37,18.49,15.82,16.77,95365.55
2021-09-25,16.81,17.07,16.04,16.59,92920.6
2021-09-26,16.61,16.74,15.13,15.68,96471.0
2021-09-27,15.66,16.2,15.59,15.59,42531.46
2021-09-28,15.62,15.65,14.98,15.17,86791.62
2021-09-29,15.21,15.76,14.83,15.08,70376.43
2021-09-30,15.06,15.83,14.99,15.83,54008.02
2021-10-01,15.8,18.06,15.59,17.62,102605.15
2021-10-02,17.64,19.03,17.64,18.58,132498.42
2021-10-03,18.55,19.05,17.95,19.05,36857.57
