Date,Open,High,Low,Close,Volume
2021-06-18,33.45,33.45,28.0,29.74,29426.1
2021-06-19,29.74,30.46,28.99,29.44,13626.3
2021-06-20,29.4,30.17,27.71,29.97,17620.2
2021-06-21,29.98,30.09,24.85,25.12,20845.5
2021-06-22,24.95,26.22,22.46,24.81,7087.2
2021-06-23,24.56,29.4,24.3,26.34,7518.3
2021-06-24,26.45,26.98,25.13,26.31,6773.3
2021-06-25,26.33,26.86,23.2,23.33,11290.2
2021-06-26,23.24,23.89,21.97,22.72,10733.3
2021-06-27,22.68,24.62,22.56,24.59,11771.3
2021-06-28,24.69,26.32,24.41,25.5,11981.7
2021-06-29,25.57,27.72,25.5,26.83,15039.2
2021-06-30,26.96,27.54,25.69,27.46,13015.6
2021-07-01,27.46,27.54,25.7,26.31,11203.8
2021-07-02,26.18,27.31,25.35,27.31,14333.1
2021-07-03,27.39,28.26,26.76,28.0,10953.5
2021-07-04,27.99,28.19,26.69,27.49,79528.0
2021-07-05,27.47,27.52,25.22,25.35,56324.6
2021-07-06,25.35,28.92,25.31,28.92,54132.0
2021-07-07,28.74,30.51,28.39,29.99,54738.8
2021-07-08,30.04,30.12,28.25,28.8,44986.5
2021-07-09,28.8,30.47,28.03,30.3,15294.9
2021-07-10,30.36,30.72,27.5,30.19,23229.0
2021-07-11,30.2,31.54,29.79,30.93,16862.4
2021-07-12,30.95,32.15,30.15,30.55,30625.9
2021-07-13,30.4,30.97,29.14,29.73,20225.9
2021-07-14,29.59,29.76,28.01,28.39,30180.2
2021-07-15,28.47,28.85,25.63,25.88,56526.5
2021-07-16,25.97,27.15,23.33,25.5,117630.3
2021-07-17,25.49,27.17,25.05,26.38,62028.6
2021-07-18,26.45,27.21,25.77,26.15,21232.9
2021-07-19,26.03,26.25,24.41,25.06,26395.5
2021-07-20,24.89,26.8,23.59,25.76,97378.8
2021-07-21,25.81,28.93,25.38,28.14,111204.6
2021-07-22,28.13,29.14,27.51,28.74,52076.4
2021-07-23,28.86,29.6,28.11,29.58,38331.4
2021-07-24,29.59,30.48,29.32,30.08,23512.8
2021-07-25,30.26,30.56,28.97,30.53,25477.2
2021-07-26,30.4,33.78,29.61,29.8,75235.7
2021-07-27,29.83,31.26,28.65,31.08,58031.1
2021-07-28,31.09,32.34,30.71,31.8,42200.9
2021-07-29,31.98,32.88,31.34,32.52,22224.3
2021-07-30,32.6,35.11,32.34,34.97,52251.8
2021-07-31,35.09,35.65,33.9,35.16,28557.9
2021-08-01,35.5,36.33,34.25,34.88,25398.3
2021-08-02,34.87,38.19,34.35,38.15,40958.8
2021-08-03,38.19,45.98,35.41,35.96,94520.5
2021-08-04,35.98,38.35,34.41,37.75,37835.7
2021-08-05,37.78,40.07,35.65,39.93,27744.9
2021-08-06,39.95,41.88,39.29,41.26,33724.0
2021-08-07,41.16,45.0,40.9,44.91,38012.1
2021-08-08,44.78,45.99,42.59,43.6,41745.4
2021-08-09,43.63,49.69,41.91,48.8,103404.3
2021-08-10,48.85,50.37,47.49,48.9,51421.7
2021-08-11,48.95,52.89,48.85,50.49,72803.8
2021-08-12,50.48,52.04,47.49,49.17,46656.2
2021-08-13,49.19,54.23,48.07,50.61,345624.9
2021-08-14,50.61,50.91,46.81,50.2,237738.7
2021-08-15,50.22,52.05,47.45,51.48,65776.6
2021-08-16,51.5,53.47,44.82,47.0,333127.1
2021-08-17,47.01,49.0,42.68,44.67,270690.0
2021-08-18,44.67,48.2,43.56,46.62,152730.7
2021-08-19,46.6,49.82,44.69,49.8,93414.8
2021-08-20,49.82,53.76,47.8,50.38,411541.5
2021-08-21,50.38,52.19,49.26,51.27,189773.2
2021-08-22,51.26,51.98,48.4,50.25,88998.0
2021-08-23,50.21,52.1,50.21,50.66,104849.6
2021-08-24,50.62,51.13,45.58,47.41,109459.0
2021-08-25,47.57,49.97,46.37,49.55,86549.3
2021-08-26,49.59,50.46,44.81,45.87,106832.8
2021-08-27,45.83,49.71,45.07,49.54,70269.39
2021-08-28,49.56,54.0,48.07,51.22,519293.89
2021-08-29,51.22,51.63,46.88,47.37,291030.49
2021-08-30,47.37,49.05,45.58,46.26,130341.5
2021-08-31,46.24,52.36,45.13,48.58,270927.87
2021-09-01,48.43,66.64,47.14,65.15,1213066.17
2021-09-02,65.18,70.95,59.2,60.16,1829444.71
2021-09-03,60.17,67.6,58.04,63.7,1607860.49
2021-09-04,63.7,65.52,60.67,60.9,878902.33
2021-09-05,60.9,65.13,58.98,63.55,734184.91
2021-09-06,63.52,77.54,62.24,73.4,2634422.36
2021-09-07,73.39,83.5,61.62,71.02,3686168.19
2021-09-08,71.09,78.99,61.8,76.22,2270226.94
2021-09-09,76.21,85.0,73.27,79.6,2703542.41
2021-09-10,79.56,83.66,69.7,72.83,914783.37
2021-09-11,72.74,77.19,71.81,72.59,583970.0
2021-09-12,72.54,78.13,70.84,73.55,587470.69
2021-09-13,73.53,74.19,64.58,68.4,598496.76
2021-09-14,68.38,69.25,65.52,67.7,297567.92
2021-09-15,67.69,72.92,66.7,71.14,416101.66
2021-09-16,71.15,71.6,65.98,67.44,193463.55
2021-09-17,67.38,68.21,58.57,61.63,307439.93
2021-09-18,61.58,70.0,61.32,63.72,316217.87
2021-09-19,63.72,64.07,59.9,60.72,166961.47
2021-09-20,60.74,60.89,50.99,52.91,598741.29
2021-09-21,52.92,58.53,48.04,51.35,627891.11
2021-09-22,51.39,58.24,50.66,55.76,415495.95
2021-09-23,55.76,60.97,53.51,57.66,660351.85
2021-09-24,57.62,57.82,49.0,52.92,408828.4
2021-09-25,52.89,56.2,50.58,54.85,299912.82
2021-09-26,54.9,59.6,49.8,55.87,827308.88
2021-09-27,55.84,57.9,51.62,51.63,283494.51
2021-09-28,51.61,53.1,47.88,48.14,334181.67
2021-09-29,48.13,52.28,47.96,49.95,243822.34
2021-09-30,49.92,52.87,49.72,51.7,213288.76
2021-10-01,51.75,56.42,51.03,55.26,333476.65
2021-10-02,55.25,58.13,53.41,56.12,338640.27
2021-10-03,56.19,58.81,55.2,56.77,261359.51
2021-10-04,56.73,57.1,52.75,55.97,310452.67
2021-10-05,56.0,59.41,54.72,58.85,303853.83
2021-10-06,58.92,62.0,54.0,56.8,607649.94
2021-10-07,56.75,57.71,54.69,55.75,291166.61
2021-10-08,55.75,57.5,54.7,55.05,236623.91
2021-10-09,55.15,56.71,54.57,55.96,99241.16
2021-10-10,56.0,56.29,52.96,53.42,262520.41
2021-10-11,53.41,55.54,52.9,54.54,166903.07
2021-10-12,54.52,54.52,51.38,52.82,204103.34
2021-10-13,52.76,54.18,51.6,54.13,244201.39
2021-10-14,54.13,57.21,53.57,55.46,303250.94
2021-10-15,55.49,58.17,54.71,56.95,265457.73
2021-10-16,57.09,58.02,55.99,56.31,196331.31
2021-10-17,56.35,57.36,54.66,56.37,122451.89
2021-10-18,56.43,57.4,53.72,55.49,193799.27
2021-10-19,55.47,57.16,55.24,57.06,125583.53
2021-10-20,57.11,62.37,56.44,61.35,449924.91
2021-10-21,61.4,68.0,59.98,61.61,1106870.65
2021-10-22,61.6,66.38,61.59,62.82,621526.4
2021-10-23,62.87,63.89,60.8,63.44,172272.91
2021-10-24,63.39,63.63,59.95,61.82,133547.77
2021-10-25,61.85,66.0,61.62,65.71,182632.33
2021-10-26,65.72,69.83,62.3,62.75,408288.18
2021-10-27,62.77,64.35,56.74,57.97,453743.98
2021-10-28,57.97,61.78,57.16,60.18,256611.15
2021-10-29,60.27,61.89,59.94,61.38,181076.66
2021-10-30,61.39,62.01,58.79,59.6,150984.09
2021-10-31,59.58,60.28,57.58,59.42,138029.99
2021-11-01,59.44,60.08,57.35,59.14,158781.94
2021-11-02,59.12,61.31,58.51,61.24,222645.83
2021-11-03,61.2,62.92,59.74,62.47,320075.53
2021-11-04,62.51,62.7,58.42,59.69,202017.02
2021-11-05,59.68,60.49,58.14,58.9,198926.06
2021-11-06,58.92,61.58,57.8,61.53,309717.73
2021-11-07,61.53,64.5,61.04,64.02,465338.51
2021-11-08,64.03,65.63,62.17,65.29,286090.22
2021-11-09,65.31,65.71,61.83,62.35,171857.93
2021-11-10,62.36,64.61,57.45,58.98,276211.22
2021-11-11,58.91,60.55,58.4,59.22,120278.26
2021-11-12,59.18,60.15,56.13,58.02,180894.85
2021-11-13,58.04,58.34,54.43,55.73,221054.54
2021-11-14,55.7,56.53,54.77,55.98,110752.59
2021-11-15,56.02,57.49,54.87,54.94,148514.06
2021-11-16,54.88,54.88,48.26,50.33,313351.01
2021-11-17,50.34,51.72,49.12,51.6,125913.45
2021-11-18,51.62,52.4,46.71,50.42,172425.39
2021-11-19,50.3,52.82,49.3,52.5,107420.37
2021-11-20,52.52,53.48,50.85,53.43,52449.23
2021-11-21,53.43,53.47,51.56,51.85,49775.93
2021-11-22,51.85,52.01,47.6,49.4,115723.27
2021-11-23,49.36,51.3,48.76,50.53,68039.06
2021-11-24,50.58,50.85,48.08,50.1,65736.36
2021-11-25,50.15,53.52,49.9,53.02,113315.58
2021-11-26,53.05,53.11,46.55,47.64,146250.37
2021-11-27,47.64,49.16,47.43,48.11,72868.13
2021-11-28,48.01,50.93,46.07,50.91,58045.72
2021-11-29,50.92,52.04,50.23,51.79,41507.49
2021-11-30,51.71,52.56,49.93,50.6,96828.35
2021-12-01,50.7,51.7,49.46,50.77,101044.12
2021-12-02,50.82,50.82,48.22,49.41,149277.69
2021-12-03,49.41,49.91,45.36,47.13,85010.13
2021-12-04,47.12,47.27,38.32,44.01,234485.95
2021-12-05,44.08,44.75,41.97,43.9,90938.98
