Date,Open,High,Low,Close,Volume
2021-06-18,13.088,49.0,11.132,12.725,83632.2
2021-06-19,12.809,13.0,12.552,12.571,12237.3
2021-06-20,12.552,13.884,12.155,12.583,20965.5
2021-06-21,12.627,18.99,9.544,10.526,70433.5
2021-06-22,10.609,11.701,8.818,10.083,82205.5
2021-06-23,10.079,13.26,9.626,12.04,73091.0
2021-06-24,12.053,12.569,11.306,12.411,35584.5
2021-06-25,12.41,12.883,10.915,11.5,27708.3
2021-06-26,11.429,11.616,10.426,11.101,20270.0
2021-06-27,11.092,12.067,10.543,11.593,19185.2
2021-06-28,11.554,12.589,11.26,12.186,17788.3
2021-06-29,12.21,13.464,12.071,12.803,23612.9
2021-06-30,12.811,13.02,12.01,12.756,15233.8
2021-07-01,12.684,13.424,12.285,12.855,22947.2
2021-07-02,12.826,13.04,11.862,12.855,14640.1
2021-07-03,12.826,16.498,12.465,13.34,27504.9
2021-07-04,13.338,14.3,12.777,13.376,28461.6
2021-07-05,13.365,14.3,12.236,12.854,24260.5
2021-07-06,12.853,14.19,12.779,13.081,44480.0
2021-07-07,13.052,13.5,12.5,12.731,23791.8
2021-07-08,12.702,12.964,11.914,12.166,11224.7
2021-07-09,12.119,12.639,11.64,12.518,8522.1
2021-07-10,12.543,13.27,12.353,12.821,15095.8
2021-07-11,12.825,12.993,12.5,12.819,8146.8
2021-07-12,12.79,13.05,12.123,12.612,6520.6
2021-07-13,12.556,12.556,11.801,12.003,10890.6
2021-07-14,12.032,12.067,10.995,11.712,9690.7
2021-07-15,11.741,12.257,10.913,10.96,23524.4
2021-07-16,10.999,11.335,10.325,10.455,11079.9
2021-07-17,10.472,11.138,10.21,10.696,10775.0
2021-07-18,10.73,12.94,10.73,11.0,43340.0
2021-07-19,10.95,11.046,9.871,9.911,27624.4
2021-07-20,9.924,10.135,9.3,9.715,23484.6
2021-07-21,9.658,11.225,9.488,10.791,23879.8
2021-07-22,10.7,11.441,10.682,11.066,20878.1
2021-07-23,11.045,12.0,10.82,11.115,29674.3
2021-07-24,11.128,11.77,10.966,11.277,21475.7
2021-07-25,11.301,12.604,11.186,11.981,34358.2
2021-07-26,11.957,13.0,11.228,11.374,59520.4
2021-07-27,11.359,12.053,10.969,11.544,24397.2
2021-07-28,11.519,13.614,11.208,12.878,75496.3
2021-07-29,12.905,13.192,12.104,12.356,40526.1
2021-07-30,12.413,14.538,11.835,14.21,91385.3
2021-07-31,14.298,15.165,13.001,13.756,109174.4
2021-08-01,13.815,14.442,13.006,13.113,47109.5
2021-08-02,13.08,13.567,12.939,13.521,17710.3
2021-08-03,13.522,13.771,12.717,13.084,25747.6
2021-08-04,13.153,13.6,12.876,13.263,16715.9
2021-08-05,13.3,13.735,12.712,13.226,31684.1
2021-08-06,13.226,14.145,13.12,13.788,25285.3
2021-08-07,13.752,14.605,13.217,13.849,39757.3
2021-08-08,13.803,15.0,13.533,14.33,96087.2
2021-08-09,14.392,15.79,13.849,14.512,70727.3
2021-08-10,14.524,18.545,14.053,18.438,307365.7
2021-08-11,18.409,19.8,16.067,16.471,243000.8
2021-08-12,16.391,17.066,15.2,15.928,70251.7
2021-08-13,15.939,17.327,15.847,17.1,40459.1
2021-08-14,17.066,17.379,16.0,16.568,38341.5
2021-08-15,16.57,18.749,16.353,18.012,95819.6
2021-08-16,18.087,19.439,17.909,17.913,66444.6
2021-08-17,17.911,23.75,17.34,19.954,288916.7
2021-08-18,19.973,21.198,18.306,19.574,160357.9
2021-08-19,19.593,22.31,19.15,21.155,164172.8
2021-08-20,21.154,25.445,20.502,24.276,259998.8
2021-08-21,24.281,24.281,22.545,22.907,68073.2
2021-08-22,22.98,25.365,22.34,23.752,78957.5
2021-08-23,23.643,26.736,23.3,26.414,100655.3
2021-08-24,26.447,26.469,22.071,22.718,71776.9
2021-08-25,22.719,23.724,21.023,23.275,58657.2
2021-08-26,23.286,23.504,19.832,20.64,49449.76
2021-08-27,20.6,23.11,19.53,22.81,73493.19
2021-08-28,22.8,24.63,21.89,23.58,100938.26
2021-08-29,23.6,23.78,22.09,22.64,44627.21
2021-08-30,22.64,22.78,20.51,20.65,54089.06
