Date,Open,High,Low,Close,Volume
2021-05-11,249.26,1500.0,249.26,364.93,261456.31
2021-05-12,367.1,388.46,254.52,257.11,162867.02
2021-05-13,256.35,346.88,251.57,302.06,118934.58
2021-05-14,301.0,343.49,291.0,304.15,62094.72
2021-05-15,304.15,308.05,240.12,245.59,62081.41
2021-05-16,245.99,263.7,205.02,224.75,70339.23
2021-05-17,225.36,225.49,184.73,195.9,89830.71
2021-05-18,195.53,205.95,160.51,163.76,101275.34
2021-05-19,163.71,179.33,89.0,123.07,194122.15
2021-05-20,123.37,232.0,103.86,164.56,533650.35
2021-05-21,164.81,187.0,120.02,146.0,195724.18
2021-05-22,145.96,169.13,125.06,146.27,133156.52
2021-05-23,146.1,165.57,121.0,144.17,158475.45
2021-05-24,144.16,163.73,135.72,147.68,119133.74
2021-05-25,147.7,157.23,123.47,134.28,119134.52
2021-05-26,134.35,152.44,132.11,142.78,123289.31
2021-05-27,142.91,145.94,129.84,132.45,59775.06
2021-05-28,132.46,132.99,110.2,115.66,83006.0
2021-05-29,115.6,119.8,105.62,110.77,40604.16
2021-05-30,110.42,118.76,104.53,112.01,44134.09
2021-05-31,111.83,115.37,105.44,114.82,55248.85
2021-06-01,114.91,117.1,106.5,107.57,48718.37
2021-06-02,107.57,113.0,102.09,107.97,81585.1
2021-06-03,107.47,136.58,105.27,124.5,176795.9
2021-06-04,124.52,124.68,105.33,108.75,147586.51
2021-06-05,109.0,116.16,100.0,104.71,85975.82
2021-06-06,104.56,109.95,102.61,104.61,55091.54
2021-06-07,104.56,107.29,88.95,91.45,81693.87
2021-06-08,91.17,94.37,76.83,81.51,127096.78
2021-06-09,81.4,88.99,77.2,81.57,136091.62
2021-06-10,81.62,83.73,65.73,66.6,254492.44
2021-06-11,66.6,72.39,56.16,58.33,284233.83
2021-06-12,58.48,67.9,52.95,61.1,254181.85
2021-06-13,61.1,66.5,57.2,64.38,222283.67
2021-06-14,64.51,70.78,61.94,66.72,174675.05
2021-06-15,66.78,68.91,58.65,60.4,201366.1
2021-06-16,60.35,60.4,54.62,55.31,117759.72
2021-06-17,55.26,60.14,51.13,54.13,131045.67
2021-06-18,54.1,55.47,46.99,48.42,109888.85
2021-06-19,48.43,54.91,46.35,48.68,186321.6
2021-06-20,48.62,50.7,44.12,47.11,123566.43
2021-06-21,47.15,47.58,36.19,36.72,182949.8
2021-06-22,36.83,40.12,31.85,34.51,181374.32
2021-06-23,34.49,40.91,32.9,37.72,182943.93
2021-06-24,37.73,38.89,33.18,34.65,238417.12
2021-06-25,34.61,36.67,30.69,31.09,173812.51
2021-06-26,31.13,33.73,28.29,30.29,200770.78
2021-06-27,30.29,45.32,29.48,43.03,656833.25
2021-06-28,43.02,52.0,40.51,51.5,798389.5
2021-06-29,51.34,59.49,46.77,54.22,746169.6
2021-06-30,54.22,54.72,43.19,49.97,699333.71
2021-07-01,49.91,50.78,44.21,45.77,396112.45
2021-07-02,45.65,47.46,41.44,43.87,251280.85
2021-07-03,43.95,50.0,42.72,48.76,350135.94
2021-07-04,48.75,50.95,46.43,46.75,253146.28
2021-07-05,46.7,48.04,44.01,46.28,226061.15
2021-07-06,46.36,48.37,45.0,46.23,202232.29
2021-07-07,46.25,47.94,45.0,45.43,153504.78
2021-07-08,45.36,45.51,39.21,40.35,196590.51
2021-07-09,40.24,42.57,37.31,40.6,160719.11
2021-07-10,40.62,42.12,37.65,38.63,133084.28
2021-07-11,38.63,41.44,37.77,39.6,131734.05
2021-07-12,39.76,40.99,35.94,37.21,134434.14
2021-07-13,37.21,39.93,35.32,38.94,176100.31
2021-07-14,39.02,39.82,35.21,36.88,250546.61
2021-07-15,36.88,38.37,35.3,35.92,160356.88
2021-07-16,35.96,36.11,32.16,32.37,139292.41
2021-07-17,32.33,33.48,31.15,32.25,124522.24
2021-07-18,32.25,34.8,31.91,32.34,126017.0
2021-07-19,32.36,32.57,29.83,30.89,109820.5
2021-07-20,30.92,31.55,26.94,28.54,210312.14
2021-07-21,28.54,35.14,27.75,33.52,310210.07
2021-07-22,33.53,35.4,32.2,33.76,287640.73
2021-07-23,33.75,35.06,31.71,34.66,190620.53
2021-07-24,34.7,45.8,33.85,43.45,695930.5
2021-07-25,43.5,46.09,40.43,42.62,614369.29
2021-07-26,42.61,48.29,40.5,40.6,495632.77
2021-07-27,40.66,41.8,37.48,41.06,363739.03
2021-07-28,41.06,43.88,39.31,40.77,316065.3
2021-07-29,40.72,41.9,39.03,41.19,145415.54
2021-07-30,41.27,42.79,38.12,42.16,188484.91
2021-07-31,42.23,43.97,40.42,41.96,223817.9
2021-08-01,41.91,44.7,40.62,40.87,307401.97
2021-08-02,40.89,41.5,39.74,40.22,91206.49
2021-08-03,40.28,40.66,37.61,38.56,155860.45
2021-08-04,38.56,40.42,37.81,39.3,157671.1
2021-08-05,39.34,42.77,38.12,42.13,207581.31
2021-08-06,42.11,52.65,40.48,48.28,660985.28
2021-08-07,48.3,66.22,47.88,61.74,1420947.91
2021-08-08,61.74,62.36,53.27,55.25,470820.77
2021-08-09,55.25,69.0,52.82,64.26,749232.86
2021-08-10,64.24,76.57,61.4,71.66,749668.47
2021-08-11,71.66,77.0,65.65,67.18,705641.18
2021-08-12,67.17,72.32,60.01,64.13,540692.79
2021-08-13,64.22,69.01,62.83,68.2,364866.82
2021-08-14,68.27,68.37,62.15,64.2,385891.54
2021-08-15,64.23,65.02,58.34,63.52,479840.38
2021-08-16,63.44,67.93,59.0,61.1,387825.56
2021-08-17,61.08,64.25,54.37,56.01,330786.49
2021-08-18,56.04,61.53,54.21,58.5,317061.4
2021-08-19,58.53,69.17,57.78,67.07,531738.78
2021-08-20,67.08,70.99,65.68,67.86,362577.19
2021-08-21,67.99,69.45,63.98,64.57,246419.33
2021-08-22,64.67,67.01,61.88,64.64,230409.93
2021-08-23,64.6,67.7,63.42,65.65,228988.77
2021-08-24,65.65,66.87,57.69,59.27,207034.93
2021-08-25,59.23,63.79,55.87,62.25,263050.29
2021-08-26,62.14,63.19,56.04,56.53,254096.25
2021-08-27,56.5,63.62,54.54,62.74,314873.47
2021-08-28,62.8,68.66,61.8,65.14,390871.56
2021-08-29,65.12,74.8,61.48,72.05,588284.36
