Date,Open,High,Low,Close,Volume
2019-10-21,2.6,2.6668,2.55,2.6299,4739.81
2019-10-22,2.6268,2.8143,2.5729,2.6074,22869.57
2019-10-23,2.5844,2.6764,2.3838,2.6084,28789.11
2019-10-24,2.6155,2.7742,2.6085,2.7309,29412.32
2019-10-25,2.7228,2.9936,2.6244,2.8432,35520.42
2019-10-26,2.8301,3.003,2.6774,2.7457,40535.2
2019-10-27,2.7399,2.7672,2.6578,2.6714,23572.18
2019-10-28,2.6751,2.8874,2.6686,2.6688,26597.43
2019-10-29,2.6644,2.769,2.6447,2.6616,14418.56
2019-10-30,2.6648,2.6708,2.5315,2.5952,8190.58
2019-10-31,2.6326,2.75,2.5431,2.732,8576.87
2019-11-01,2.7648,2.7928,2.65,2.7104,7804.34
2019-11-02,2.7254,2.727,2.6846,2.7134,5540.21
2019-11-03,2.6963,2.71,2.63,2.6637,4537.48
2019-11-04,2.6414,2.7278,2.6331,2.6861,5626.35
2019-11-05,2.6742,2.6909,2.6384,2.6783,9747.15
2019-11-06,2.6747,2.8143,2.6569,2.7371,4704.42
2019-11-07,2.749,2.749,2.62,2.6884,4630.88
2019-11-08,2.6857,2.7267,2.6169,2.7077,6856.34
2019-11-09,2.7055,2.8444,2.7052,2.7908,7355.83
2019-11-10,2.7836,2.8339,2.7344,2.7628,2762.28
2019-11-11,2.7497,2.7638,2.6693,2.7271,6469.88
2019-11-12,2.7351,2.8595,2.7351,2.8148,3582.29
2019-11-13,2.8054,3.0709,2.7825,3.0133,16292.07
2019-11-14,3.0103,3.1464,2.9626,3.0343,23517.57
2019-11-15,3.0328,3.0613,2.7887,3.0315,15465.01
2019-11-16,3.0307,3.0374,2.91,2.9782,6421.74
2019-11-17,2.9495,2.9514,2.871,2.9105,1790.0
2019-11-18,2.8987,2.9574,2.7,2.8048,21359.06
2019-11-19,2.7768,2.779,2.5785,2.7164,12243.74
2019-11-20,2.722,2.7877,2.6312,2.6908,11855.23
2019-11-21,2.6898,2.6922,2.4798,2.55,12362.8
2019-11-22,2.5407,2.582,2.1373,2.3485,29289.47
2019-11-23,2.3297,2.4565,2.2633,2.4195,7645.14
2019-11-24,2.4273,2.4273,2.2311,2.2486,5980.32
2019-11-25,2.2043,2.3676,2.0551,2.2612,11830.79
2019-11-26,2.2622,2.3517,2.1525,2.2445,8789.07
2019-11-27,2.242,2.2843,2.1056,2.2145,9804.46
2019-11-28,2.222,2.3185,2.1962,2.2624,5896.64
2019-11-29,2.2925,2.3616,2.2783,2.3256,2044.27
2019-11-30,2.3251,2.3251,2.1989,2.241,3770.7
2019-12-01,2.2291,2.2299,2.1329,2.1554,9520.71
2019-12-02,2.1459,2.1465,2.0602,2.1024,2865.54
2019-12-03,2.1035,2.1863,2.0609,2.1282,4967.87
2019-12-04,2.096,2.15,2.0045,2.016,25404.96
2019-12-05,2.0254,2.0638,1.9573,2.0102,18868.59
2019-12-06,2.0154,2.1092,1.981,2.0738,5758.91
2019-12-07,2.0985,2.1122,2.0393,2.0553,1023.59
2019-12-08,2.0421,2.085,2.0125,2.0549,1167.32
2019-12-09,2.051,2.093,2.0146,2.093,6832.51
2019-12-10,2.0733,2.277,2.0733,2.2592,22252.29
2019-12-11,2.2731,2.2993,2.1591,2.1763,7048.24
