Date,Open,High,Low,Close,Volume
2019-10-21,54.0,55.75,53.0,54.71,986.23413
2019-10-22,54.61,55.06,53.13,53.42,1211.64921
2019-10-23,53.3,53.43,47.59,49.52,2595.33421
2019-10-24,49.47,50.3,48.34,49.98,2468.99991
2019-10-25,49.59,58.37,49.12,57.04,4221.79647
2019-10-26,57.21,63.07,54.28,57.08,5085.38772
2019-10-27,56.61,62.57,54.78,59.77,1028.44202
2019-10-28,60.36,62.57,57.58,57.89,4555.74835
2019-10-29,57.88,60.78,57.88,59.97,6107.57957
2019-10-30,59.57,61.12,57.11,57.97,1556.28832
2019-10-31,58.05,59.64,57.11,58.29,1339.82011
2019-11-01,58.26,58.8,56.7,58.3,1350.30414
2019-11-02,58.36,59.24,57.86,58.32,927.95051
2019-11-03,58.32,58.71,57.3,58.36,864.25134
2019-11-04,58.38,62.37,57.96,61.36,2845.99705
2019-11-05,61.32,64.11,61.01,63.12,3917.0656
2019-11-06,63.06,64.3,62.65,64.08,1397.69265
2019-11-07,64.13,64.36,60.29,61.32,2624.60116
2019-11-08,61.32,62.39,58.76,60.39,3587.59354
2019-11-09,60.28,62.27,60.15,62.12,2265.49297
2019-11-10,61.97,106.02,60.96,63.75,4647.01565
2019-11-11,63.66,64.29,60.37,61.48,3030.42632
2019-11-12,61.5,62.12,59.76,61.31,2000.6904
2019-11-13,61.33,61.79,60.04,60.99,392.98178
2019-11-14,60.82,60.82,58.29,58.89,481.02521
2019-11-15,58.82,60.54,56.35,57.36,880.19033
2019-11-16,57.2,58.84,57.2,57.95,147.2634
2019-11-17,58.44,59.88,57.51,59.14,345.01704
2019-11-18,59.24,59.24,54.05,55.79,748.44212
2019-11-19,55.93,56.04,54.22,54.95,444.93541
2019-11-20,55.25,55.99,54.59,54.73,468.25832
2019-11-21,54.73,55.11,48.38,50.59,1812.21177
2019-11-22,50.56,51.34,43.72,47.5,3520.51264
2019-11-23,47.42,48.53,46.24,48.14,1398.53325
2019-11-24,48.23,48.24,43.58,43.89,1649.2252
2019-11-25,44.01,47.35,42.13,45.48,3154.18649
2019-11-26,45.82,47.22,45.31,46.9,681.40911
2019-11-27,46.73,48.6,44.73,47.77,762.19043
2019-11-28,47.75,48.0,46.24,46.78,463.44458
2019-11-29,46.85,49.28,46.85,48.62,1103.82162
2019-11-30,48.4,48.68,46.76,47.25,343.12348
2019-12-01,47.02,48.38,45.58,47.53,906.42912
2019-12-02,47.56,47.57,44.73,45.53,766.3543
2019-12-03,45.57,46.2,44.41,44.77,886.75824
2019-12-04,44.72,46.66,43.69,44.64,982.9615
2019-12-05,44.66,45.19,43.78,44.72,893.51979
2019-12-06,44.69,45.42,44.08,45.33,650.91178
2019-12-07,45.4,46.52,45.12,45.22,387.31091
