Date,Open,High,Low,Close,Volume
2020-07-23,508.5,900.0,508.5,526.55,315.08734
2020-07-24,542.3,553.45,502.18,516.03,173.23554
2020-07-25,514.54,533.82,499.58,525.28,82.00149
2020-07-26,526.01,552.76,512.34,519.86,162.50685
2020-07-27,521.14,531.54,503.82,510.78,99.08971
2020-07-28,509.0,515.33,500.27,515.01,68.25916
2020-07-29,519.33,548.45,513.27,547.09,201.70626
2020-07-30,541.88,578.56,538.14,573.94,183.43727
2020-07-31,572.22,573.02,553.51,556.74,59.19273
2020-08-01,553.99,599.45,553.44,593.73,122.3401
2020-08-02,598.38,630.06,554.63,569.62,182.48107
2020-08-03,572.0,608.99,571.38,593.37,49.41129
2020-08-04,593.92,612.22,577.68,583.61,131.11644
2020-08-05,584.09,599.98,582.96,593.37,45.85128
2020-08-06,593.76,593.76,577.87,587.19,12.19406
2020-08-07,586.6,592.89,563.21,578.74,61.61924
2020-08-08,578.4,584.48,575.89,582.83,35.39602
2020-08-09,584.76,598.08,582.87,596.69,110.67728
2020-08-10,596.75,634.55,596.75,623.61,155.69269
2020-08-11,624.03,626.33,583.0,597.7,133.89749
2020-08-12,605.06,846.43,605.06,720.98,1349.13914
2020-08-13,721.05,855.08,697.88,788.26,1105.02514
2020-08-14,792.78,815.34,721.04,728.51,263.21959
2020-08-15,730.25,730.25,683.18,692.77,192.33529
2020-08-16,693.58,705.67,683.84,693.61,111.72784
2020-08-17,693.11,728.91,682.94,686.95,253.84093
2020-08-18,688.95,693.23,648.83,675.52,232.09853
2020-08-19,676.58,682.86,632.5,648.78,341.98958
2020-08-20,651.35,698.17,648.58,661.86,241.12858
2020-08-21,662.18,671.03,602.07,602.3,420.21374
2020-08-22,602.03,648.73,595.0,648.73,571.13159
2020-08-23,641.92,649.08,623.02,639.68,62.49578
2020-08-24,637.64,693.3,637.64,678.02,135.88082
2020-08-25,676.3,676.3,613.55,637.74,148.15192
2020-08-26,639.68,653.95,630.61,641.18,137.64926
2020-08-27,641.05,644.47,612.65,617.88,94.17931
2020-08-28,613.94,635.97,611.84,634.41,110.12207
2020-08-29,637.89,643.82,629.6,632.25,61.65099
2020-08-30,631.15,686.9,629.47,676.92,125.94271
2020-08-31,677.84,686.46,657.49,682.06,99.90765
2020-09-01,682.49,744.01,673.09,723.16,282.16893
2020-09-02,719.35,719.35,633.58,662.09,141.53468
2020-09-03,660.81,665.02,561.78,562.88,195.83522
2020-09-04,560.97,604.55,555.47,587.26,215.78145
2020-09-05,588.33,599.54,500.85,512.85,326.48487
2020-09-06,511.38,547.41,481.28,544.89,141.46509
2020-09-07,547.33,548.91,502.21,527.46,162.0097
2020-09-08,529.64,530.03,501.21,511.33,209.56087
2020-09-09,506.49,533.9,501.55,524.28,149.74392
2020-09-10,523.68,557.86,523.68,533.62,116.2735
2020-09-11,535.92,538.43,508.35,522.68,139.66134
2020-09-12,523.16,528.84,498.92,510.06,190.62633
2020-09-13,512.4,515.39,484.12,497.05,955.66154
2020-09-14,497.64,516.13,473.94,485.47,254.3629
2020-09-15,486.11,500.92,453.26,454.01,161.793
2020-09-16,451.9,478.27,439.87,474.1,230.99552
2020-09-17,473.79,699.54,469.49,502.51,754.43435
2020-09-18,503.09,505.17,480.68,499.92,162.67302
2020-09-19,499.1,531.43,494.0,510.9,151.63036
2020-09-20,511.83,514.58,465.56,475.11,185.34293
2020-09-21,473.2,487.23,432.6,454.56,389.5646
2020-09-22,451.16,466.53,439.84,458.93,225.88477
2020-09-23,461.0,467.68,433.23,434.94,295.17185
2020-09-24,434.63,487.43,430.37,485.82,724.57859
2020-09-25,486.01,515.92,475.12,504.61,645.35729
2020-09-26,505.48,527.11,501.0,525.21,739.67433
2020-09-27,525.82,527.11,489.19,502.63,440.58012
2020-09-28,502.9,550.05,502.9,512.83,595.53614
2020-09-29,511.09,537.81,504.93,525.48,528.91542
2020-09-30,527.44,586.68,505.39,571.16,754.2137
2020-10-01,573.77,600.34,553.32,573.46,620.39029
2020-10-02,575.53,576.28,530.61,552.29,405.61251
2020-10-03,550.72,584.05,547.25,558.08,387.19501
2020-10-04,557.94,571.9,550.74,569.59,393.65254
2020-10-05,568.71,575.76,543.85,565.1,386.83055
2020-10-06,565.28,567.76,513.14,520.73,339.56357
2020-10-07,519.15,530.4,502.46,516.85,478.00236
2020-10-08,520.01,536.87,499.24,533.42,130.08021
2020-10-09,532.33,569.63,525.0,568.33,225.18555
2020-10-10,568.31,614.19,567.94,586.95,247.00055
2020-10-11,587.5,596.7,576.85,585.03,129.10417
2020-10-12,587.14,597.33,572.23,586.32,113.05038
2020-10-13,584.39,595.59,561.97,575.34,139.208
2020-10-14,576.2,599.4,560.19,576.9,262.79064
2020-10-15,574.84,574.84,549.57,558.65,154.85612
2020-10-16,554.83,558.16,532.26,544.18,460.41136
2020-10-17,542.07,561.17,532.59,553.29,88.46469
2020-10-18,551.73,576.94,550.92,576.94,104.71308
2020-10-19,578.59,581.89,564.31,571.35,119.99577
2020-10-20,567.91,572.95,547.47,549.68,133.71944
2020-10-21,548.29,575.94,548.29,570.34,106.74214
2020-10-22,571.71,600.21,571.71,597.12,151.2524
2020-10-23,595.39,605.03,580.11,595.08,91.91521
2020-10-24,589.94,605.55,589.3,601.18,61.67092
2020-10-25,595.99,603.33,579.98,585.33,101.76513
2020-10-26,581.87,610.0,557.66,569.05,156.02215
2020-10-27,570.15,596.56,567.95,586.07,167.34693
2020-10-28,581.75,598.82,532.95,543.72,291.19925
2020-10-29,543.37,552.65,517.01,535.23,145.53156
2020-10-30,532.79,539.29,512.8,522.41,384.29853
2020-10-31,518.89,531.82,516.14,521.48,43.65794
2020-11-01,523.61,543.89,522.02,540.44,64.22516
2020-11-02,541.7,560.61,522.24,522.24,170.85247
2020-11-03,520.2,524.81,503.58,520.98,114.31014
2020-11-04,520.76,530.09,501.98,519.86,772.91425
2020-11-05,525.68,554.39,520.41,532.07,65.68398
2020-11-06,531.53,547.02,511.42,542.87,180.21987
2020-11-07,547.18,558.42,503.16,520.56,299.09369
2020-11-08,518.07,538.44,512.12,534.8,56.80341
2020-11-09,535.4,539.48,511.34,521.65,480.81033
2020-11-10,520.8,558.72,520.8,552.75,75.04205
2020-11-11,552.43,566.41,540.37,543.56,141.85722
2020-11-12,541.95,550.99,524.4,532.34,62.89413
2020-11-13,536.08,556.34,531.75,556.34,28.27786
2020-11-14,552.57,554.1,522.46,530.42,100.43281
2020-11-15,528.73,534.65,500.42,515.7,944.45066
2020-11-16,512.94,529.56,510.26,518.09,63.27596
2020-11-17,519.56,529.29,512.79,526.62,77.708
2020-11-18,528.08,537.06,505.41,509.95,320.53061
2020-11-19,511.41,527.7,501.66,509.0,74.85223
2020-11-20,511.01,525.36,509.81,516.03,253.85786
2020-11-21,519.78,553.47,517.34,552.33,886.79014
2020-11-22,552.94,588.74,516.02,560.89,536.83452
2020-11-23,564.37,607.5,546.91,600.91,800.2605
2020-11-24,601.63,618.71,577.18,601.8,700.48844
2020-11-25,601.54,612.17,545.11,562.86,380.49243
2020-11-26,560.68,570.45,493.18,526.34,626.3365
2020-11-27,528.51,542.88,509.14,515.05,621.34124
2020-11-28,513.53,535.94,509.0,531.44,123.4153
2020-11-29,528.83,546.92,523.14,546.15,92.16349
2020-11-30,547.73,580.82,534.73,570.77,404.40926
2020-12-01,569.97,569.97,517.8,528.75,288.03438
2020-12-02,527.5,565.38,522.5,560.31,95.70573
2020-12-03,561.25,599.95,558.06,593.03,256.08398
2020-12-04,593.0,600.42,522.5,525.0,485.87931
2020-12-05,523.75,537.5,519.88,533.39,158.46702
2020-12-06,533.75,537.51,510.26,528.75,1250.38301
2020-12-07,527.5,529.82,511.01,517.94,99.91273
2020-12-08,520.0,524.79,493.91,502.81,508.51211
2020-12-09,503.0,508.53,473.2,506.78,501.62219
2020-12-10,507.23,530.37,490.74,522.89,323.4243
2020-12-11,523.29,523.54,500.73,503.72,1591.24979
2020-12-12,501.75,525.21,501.59,514.58,393.10151
2020-12-13,515.0,532.99,511.86,527.01,199.99801
2020-12-14,527.5,540.48,520.44,539.92,285.49294
2020-12-15,540.0,545.0,525.65,528.75,219.6845
2020-12-16,528.57,541.09,514.13,541.09,310.22391
2020-12-17,541.08,567.24,530.92,540.29,674.19541
2020-12-18,539.99,580.0,531.51,570.96,956.48579
2020-12-19,571.07,582.77,564.29,568.43,163.88441
2020-12-20,567.83,570.44,541.62,545.84,305.49707
2020-12-21,545.42,555.0,511.21,524.32,235.13867
2020-12-22,524.32,550.52,518.57,550.52,296.37617
2020-12-23,548.77,553.26,485.14,518.52,600.9903
2020-12-24,517.34,527.75,494.89,527.75,355.89891
2020-12-25,526.25,575.4,519.28,535.06,238.11335
2020-12-26,536.45,551.79,522.75,544.69,656.28147
2020-12-27,545.0,577.79,531.25,570.44,269.22553
2020-12-28,570.44,598.95,558.43,583.75,301.03967
2020-12-29,585.0,594.73,543.64,564.91,1240.42126
2020-12-30,564.95,583.87,550.11,577.45,238.3336
2020-12-31,577.5,592.0,558.11,586.25,200.32844
2021-01-01,586.07,601.61,573.75,583.41,150.97135
2021-01-02,581.43,618.57,569.94,611.33,346.6858
2021-01-03,611.49,701.28,608.94,677.85,2638.20355
2021-01-04,678.55,756.0,622.72,690.88,914.32746
2021-01-05,688.9,781.8,653.41,767.12,1841.41081
2021-01-06,767.96,1251.29,744.86,1044.18,2388.99241
2021-01-07,1043.58,1186.29,1000.0,1059.47,2742.33277
2021-01-08,1058.32,1128.5,952.38,1040.06,1927.23925
2021-01-09,1043.29,1606.92,1027.69,1601.65,2841.4249
2021-01-10,1606.71,1984.67,1407.27,1481.44,2876.94485
2021-01-11,1493.22,1502.65,1077.29,1405.55,2118.00497
2021-01-12,1408.8,1642.75,1314.73,1483.24,3756.48431
2021-01-13,1483.24,1583.49,1381.82,1547.68,1309.11552
2021-01-14,1550.07,1711.84,1480.97,1607.85,1499.00846
2021-01-15,1610.54,1642.74,1337.87,1480.1,846.34254
2021-01-16,1476.66,1620.73,1450.0,1480.33,1106.32071
2021-01-17,1480.32,1512.46,1417.09,1446.08,1149.52941
2021-01-18,1447.64,1464.54,1374.3,1424.57,664.27014
2021-01-19,1427.42,1532.75,1399.81,1404.22,915.68926
2021-01-20,1406.31,1446.08,1261.34,1419.86,618.14164
2021-01-21,1419.87,1420.03,1125.27,1152.72,1751.08202
2021-01-22,1154.89,1450.0,1064.5,1409.0,1470.84275
2021-01-23,1415.81,1471.64,1346.67,1380.03,1155.16588
2021-01-24,1380.03,1471.0,1366.84,1457.95,587.92569
2021-01-25,1457.0,1542.82,1336.54,1361.27,365.03633
2021-01-26,1360.01,1478.79,1296.05,1475.67,1530.29002
2021-01-27,1475.67,1475.67,1245.66,1328.34,511.48284
2021-01-28,1334.21,1450.95,1304.21,1404.63,250.33884
2021-01-29,1404.63,1464.88,1358.54,1402.94,413.17789
2021-01-30,1404.91,1635.0,1389.97,1579.6,1350.96388
2021-01-31,1579.6,1607.09,1404.88,1481.94,1992.0007
2021-02-01,1480.59,1521.51,1419.32,1473.51,607.63608
2021-02-02,1473.31,1775.44,1466.7,1701.59,2318.78669
2021-02-03,1703.16,1770.37,1635.66,1759.18,1020.93888
2021-02-04,1759.26,2370.37,1644.89,2108.17,1687.27796
2021-02-05,2111.48,3107.19,2111.48,2691.25,2718.86658
2021-02-06,2692.92,2936.76,2249.73,2516.18,1040.31452
2021-02-07,2524.22,2666.0,2250.0,2480.37,668.20156
2021-02-08,2473.96,2731.01,2410.76,2493.86,784.35897
2021-02-09,2493.86,2640.45,2440.77,2567.36,456.20898
2021-02-10,2573.46,2715.82,2290.77,2515.02,581.58458
2021-02-11,2530.76,2640.59,2447.84,2542.37,358.75088
2021-02-12,2550.45,2837.52,2510.18,2743.76,528.68954
2021-02-13,2746.97,2798.9,2510.04,2591.92,410.35188
2021-02-14,2598.77,2676.39,2478.0,2516.37,301.7048
2021-02-15,2515.11,2599.99,2208.47,2475.69,542.9397
2021-02-16,2468.14,2595.04,2419.08,2488.85,233.2507
2021-02-17,2489.55,2622.88,2364.83,2614.62,339.65686
2021-02-18,2620.81,2710.92,2547.39,2626.22,413.05447
2021-02-19,2629.74,2679.53,2509.81,2565.68,376.84448
2021-02-20,2572.81,3100.0,2488.53,2608.92,927.95755
2021-02-21,2604.79,2740.68,2545.12,2622.05,344.37357
2021-02-22,2627.19,2627.19,2029.36,2376.93,1001.39405
2021-02-23,2380.56,2390.36,1775.0,2242.11,1830.90143
2021-02-24,2242.12,2422.99,2151.9,2238.89,658.77751
2021-02-25,2239.51,2336.11,2017.89,2024.41,425.74197
2021-02-26,2024.45,2127.97,1881.94,1952.12,523.77373
2021-02-27,1958.53,2085.01,1939.83,1979.8,255.46852
2021-02-28,1981.24,2071.61,1785.88,2040.51,374.76223
2021-03-01,2042.01,2261.5,2027.47,2170.65,389.49482
2021-03-02,2175.88,2293.94,2093.42,2175.18,287.63879
2021-03-03,2168.92,2363.09,2159.01,2200.3,285.54197
2021-03-04,2190.34,2239.15,2047.06,2197.55,416.72522
2021-03-05,2190.34,2190.34,2039.68,2058.63,175.27806
2021-03-06,2061.49,2332.47,2045.47,2251.57,358.97657
2021-03-07,2251.57,2265.03,2163.97,2257.63,103.12842
2021-03-08,2257.73,2265.84,2063.38,2195.89,413.73288
2021-03-09,2193.95,2275.2,2133.06,2259.82,287.923
2021-03-10,2268.99,2350.0,2168.85,2257.31,411.023
2021-03-11,2255.86,2294.76,2112.77,2231.92,315.34645
2021-03-12,2234.65,2296.36,2090.15,2136.22,328.29608
2021-03-13,2132.88,2235.12,2082.0,2182.14,216.56271
2021-03-14,2178.4,2203.7,2042.79,2042.79,321.49579
2021-03-15,2043.81,2122.27,1931.77,1998.43,449.75968
2021-03-16,1999.42,2111.18,1930.89,2076.13,481.98481
2021-03-17,2075.28,2174.9,2022.41,2109.9,239.5609
2021-03-18,2112.95,2198.99,2103.78,2116.05,293.51142
2021-03-19,2116.05,2133.81,2065.84,2096.52,167.60756
2021-03-20,2094.87,2264.0,2094.87,2131.75,1187.04042
2021-03-21,2131.76,2162.5,2065.0,2110.09,185.36497
2021-03-22,2105.95,2116.99,1949.22,1963.95,272.38213
2021-03-23,1974.77,2037.49,1904.0,2006.69,169.5327
2021-03-24,2004.91,2075.92,1759.92,1814.9,219.77926
2021-03-25,1810.23,1980.24,1785.86,1883.44,386.13653
2021-03-26,1883.44,2000.0,1883.44,1986.74,245.62086
2021-03-27,1986.83,2235.01,1951.74,2143.78,681.93395
2021-03-28,2142.25,2147.08,2018.26,2064.23,143.29478
2021-03-29,2054.89,2144.91,2032.6,2096.51,146.21338
2021-03-30,2095.12,2164.16,2080.0,2090.17,87.03453
2021-03-31,2083.1,2141.93,2024.37,2116.4,125.28361
2021-04-01,2114.65,2383.39,2104.32,2290.07,346.6738
2021-04-02,2292.78,2590.53,2271.37,2481.1,518.62972
2021-04-03,2484.82,2575.33,2215.0,2239.66,356.6284
2021-04-04,2230.19,2346.74,2214.46,2308.07,166.61333
2021-04-05,2306.56,2370.26,2193.02,2336.73,193.0525
