Date,Open,High,Low,Close,Volume
2020-10-14,1.3,3.2,1.0101,1.1706,1351466.66
2020-10-15,1.1657,1.2539,1.0845,1.1205,406427.69
2020-10-16,1.1163,1.1505,0.813,0.8187,1086252.91
2020-10-17,0.8181,0.8645,0.7225,0.8077,735104.12
2020-10-18,0.8047,0.8752,0.8014,0.8695,567893.9
2020-10-19,0.8691,0.8691,0.76,0.8007,212755.52
2020-10-20,0.7998,0.81,0.65,0.6756,478615.69
2020-10-21,0.6783,0.7471,0.6783,0.7041,267071.47
2020-10-22,0.7119,0.787,0.7119,0.7493,225790.74
2020-10-23,0.745,0.7513,0.688,0.7326,284577.65
2020-10-24,0.7227,0.7542,0.7061,0.7385,159295.48
2020-10-25,0.7349,0.8583,0.7306,0.8468,649186.93
2020-10-26,0.847,0.859,0.7427,0.781,316033.7
2020-10-27,0.7854,0.804,0.7387,0.7612,232032.59
2020-10-28,0.7558,0.7779,0.6829,0.6986,168746.97
2020-10-29,0.7062,0.7234,0.6725,0.6905,138841.53
2020-10-30,0.6895,0.7043,0.6157,0.6319,252376.75
2020-10-31,0.6313,0.6549,0.62,0.6365,130907.38
2020-11-01,0.6397,0.656,0.6007,0.6302,207625.06
2020-11-02,0.6388,0.651,0.6,0.6067,262347.64
2020-11-03,0.6046,0.6127,0.5582,0.5614,145053.14
2020-11-04,0.5625,0.5636,0.5259,0.5347,226381.09
2020-11-05,0.5341,0.717,0.5341,0.693,273693.02
2020-11-06,0.6939,0.7652,0.691,0.721,344217.97
2020-11-07,0.7222,0.7921,0.6738,0.6978,190272.7
2020-11-08,0.6959,0.8273,0.6834,0.8177,346185.47
2020-11-09,0.8144,0.928,0.7985,0.928,174468.25
2020-11-10,0.9315,0.9734,0.8848,0.9424,320942.43
2020-11-11,0.9472,0.9921,0.8612,0.8612,239059.83
2020-11-12,0.8577,0.8785,0.7615,0.7928,208938.15
2020-11-13,0.7918,0.9173,0.7832,0.8997,311038.16
2020-11-14,0.9013,0.9037,0.8219,0.87,201343.74
2020-11-15,0.8702,0.8857,0.7999,0.8319,427764.46
2020-11-16,0.8292,0.8971,0.819,0.8652,481368.41
2020-11-17,0.8679,0.9841,0.8679,0.9304,508072.16
2020-11-18,0.9326,0.9428,0.8036,0.8332,183679.4
2020-11-19,0.8358,0.8763,0.8108,0.8428,193629.47
2020-11-20,0.8493,0.9499,0.8391,0.9499,294755.89
2020-11-21,0.947,1.2142,0.947,1.1869,1584030.15
