Date,Open,High,Low,Close,Volume
2021-05-10,1.411e-05,4.9e-05,1.411e-05,3.468e-05,12848964269758.0
2021-05-11,3.469e-05,3.8e-05,2.788e-05,3.04e-05,8218326183442.0
2021-05-12,3.044e-05,3.151e-05,1.746e-05,1.822e-05,10394302821864.0
2021-05-13,1.819e-05,2.357e-05,1.51e-05,2.101e-05,12352371192838.0
2021-05-14,2.102e-05,2.223e-05,1.82e-05,1.842e-05,6743153431236.0
2021-05-15,1.843e-05,1.898e-05,1.504e-05,1.557e-05,6179516071062.0
2021-05-16,1.553e-05,1.97e-05,1.237e-05,1.785e-05,7813761672447.0
2021-05-17,1.784e-05,1.809e-05,1.41e-05,1.652e-05,9879243927111.0
2021-05-18,1.65e-05,1.8e-05,1.522e-05,1.562e-05,4721742193948.0
2021-05-19,1.561e-05,1.58e-05,6e-06,9.1e-06,15278289099896.0
2021-05-20,9.1e-06,1.218e-05,8e-06,9.67e-06,15513640958847.0
2021-05-21,9.66e-06,1.037e-05,6.55e-06,8.21e-06,8697146549015.0
2021-05-22,8.23e-06,9.84e-06,6.72e-06,8.43e-06,6748722900480.0
2021-05-23,8.44e-06,9.64e-06,6.95e-06,8.11e-06,9228982771374.0
2021-05-24,8.11e-06,1.207e-05,7.73e-06,1.066e-05,9708379041957.0
2021-05-25,1.066e-05,1.117e-05,8.77e-06,9.4e-06,7262235765778.0
2021-05-26,9.4e-06,1.052e-05,9.15e-06,9.5e-06,5321957897556.0
2021-05-27,9.5e-06,9.51e-06,8.5e-06,8.8e-06,3154929517501.0
2021-05-28,8.8e-06,8.85e-06,7.51e-06,7.92e-06,3433147193309.0
2021-05-29,7.9e-06,8.21e-06,7.29e-06,7.92e-06,2631061483003.0
2021-05-30,7.92e-06,8.17e-06,7.52e-06,7.87e-06,2091854369241.0
2021-05-31,7.87e-06,9.99e-06,7.69e-06,9.29e-06,4848425747700.0
2021-06-01,9.29e-06,9.44e-06,8.32e-06,8.82e-06,3662604073927.0
2021-06-02,8.82e-06,1.05e-05,8.57e-06,9.43e-06,6555588139967.0
2021-06-03,9.43e-06,1.04e-05,9.29e-06,9.8e-06,4530153810311.0
2021-06-04,9.8e-06,9.85e-06,8.29e-06,8.82e-06,5039080397030.0
2021-06-05,8.8e-06,9.13e-06,8.1e-06,8.44e-06,2558300728491.0
2021-06-06,8.43e-06,8.64e-06,8.34e-06,8.54e-06,1374578570039.0
2021-06-07,8.53e-06,8.72e-06,7.5e-06,7.74e-06,2436549735135.0
2021-06-08,7.73e-06,7.88e-06,6.31e-06,7.16e-06,5511013069773.0
2021-06-09,7.16e-06,7.6e-06,6.85e-06,7.38e-06,3345583344692.0
2021-06-10,7.39e-06,7.43e-06,6.78e-06,6.83e-06,2593826205487.0
