Date,Open,High,Low,Close,Volume
2020-04-10,0.22,1.3347,0.22,0.9456,15337872.22
2020-04-11,0.9488,1.0598,0.7639,0.7866,5147953.23
2020-04-12,0.7906,0.964,0.76,0.8824,3817827.73
2020-04-13,0.8823,0.8823,0.7701,0.7786,2425114.8
2020-04-14,0.7786,0.8,0.6256,0.6653,2603820.53
2020-04-15,0.6653,0.7068,0.62,0.6357,1796074.2
2020-04-16,0.6318,0.7787,0.6201,0.6876,2935323.3
2020-04-17,0.6995,0.7161,0.6564,0.6564,829169.59
2020-04-18,0.6568,0.721,0.6568,0.6769,831947.9
2020-04-19,0.677,0.677,0.5925,0.6036,1198712.39
2020-04-20,0.6032,0.6377,0.5186,0.5323,1126890.14
2020-04-21,0.5323,0.6,0.5063,0.5754,882382.41
2020-04-22,0.5752,0.7079,0.5683,0.6914,1779465.52
2020-04-23,0.6914,0.6972,0.5975,0.6331,1397202.57
2020-04-24,0.63,0.6682,0.6084,0.6258,825682.78
2020-04-25,0.6224,0.6683,0.6184,0.6451,609093.74
2020-04-26,0.6451,0.6858,0.63,0.6391,627270.39
2020-04-27,0.6396,0.655,0.555,0.5695,700352.22
2020-04-28,0.5715,0.7014,0.5658,0.6583,1399046.97
2020-04-29,0.6583,0.7876,0.6508,0.746,1399437.19
2020-04-30,0.746,0.804,0.6775,0.69,781804.34
2020-05-01,0.69,0.735,0.6834,0.7233,458593.6
2020-05-02,0.727,0.7473,0.7021,0.7113,300615.99
2020-05-03,0.7113,0.7263,0.655,0.68,440059.84
2020-05-04,0.682,0.7035,0.6123,0.67,568969.01
2020-05-05,0.67,0.6843,0.6202,0.6482,274741.87
2020-05-06,0.6432,0.6683,0.6151,0.617,274131.35
2020-05-07,0.6171,0.634,0.5679,0.6144,423752.76
2020-05-08,0.6085,0.6324,0.5898,0.606,314328.36
2020-05-09,0.606,0.6236,0.5905,0.6032,209053.68
2020-05-10,0.6031,0.6031,0.51,0.5417,490168.81
2020-05-11,0.5422,0.57,0.5012,0.5162,347260.98
2020-05-12,0.5157,0.5597,0.5034,0.5356,362040.72
2020-05-13,0.5361,0.5673,0.52,0.5533,363709.06
2020-05-14,0.554,0.583,0.5515,0.5728,251042.71
2020-05-15,0.5731,0.5788,0.547,0.556,224713.71
2020-05-16,0.5557,0.605,0.5545,0.5979,210892.06
2020-05-17,0.5978,0.6397,0.5911,0.6114,499646.11
2020-05-18,0.6139,0.675,0.6112,0.6511,430436.45
2020-05-19,0.651,0.6545,0.61,0.6273,323605.22
2020-05-20,0.6261,0.6261,0.5743,0.5819,278721.7
2020-05-21,0.5819,0.6109,0.545,0.6058,408559.2
2020-05-22,0.605,0.6775,0.58,0.6362,497872.5
2020-05-23,0.6362,0.6373,0.5879,0.6064,299820.93
2020-05-24,0.6066,0.6066,0.5482,0.5484,420050.42
2020-05-25,0.547,0.65,0.5409,0.5957,666208.74
2020-05-26,0.5958,0.612,0.5669,0.5739,280233.76
2020-05-27,0.5748,0.6098,0.5748,0.59,458637.56
2020-05-28,0.5901,0.5902,0.5648,0.5746,494657.76
2020-05-29,0.5746,0.5931,0.5656,0.5795,203646.11
2020-05-30,0.5798,0.5999,0.5682,0.5873,645292.69
2020-05-31,0.586,0.594,0.5687,0.5725,260253.87
2020-06-01,0.5719,0.5942,0.5688,0.5755,259276.53
2020-06-02,0.5757,0.5866,0.5489,0.5663,365203.3
2020-06-03,0.5667,0.5911,0.5662,0.5869,340146.2
2020-06-04,0.5876,0.59,0.5625,0.5856,251743.3
2020-06-05,0.5857,0.6991,0.5766,0.6593,827534.0
2020-06-06,0.6593,0.6593,0.61,0.625,337450.17
2020-06-07,0.625,0.625,0.5916,0.6124,196128.55
2020-06-08,0.613,0.6821,0.6126,0.6685,308662.73
2020-06-09,0.6695,0.6695,0.6224,0.6563,160332.6
2020-06-10,0.6571,0.6682,0.6343,0.6436,191561.78
2020-06-11,0.6436,0.6546,0.5692,0.5716,356881.23
2020-06-12,0.5721,0.6064,0.567,0.5937,230086.47
2020-06-13,0.5941,0.6091,0.5827,0.6091,178291.83
2020-06-14,0.61,0.6161,0.5773,0.5863,262323.69
2020-06-15,0.5835,0.5879,0.5409,0.5705,282199.15
2020-06-16,0.5694,0.5899,0.5673,0.5842,150378.56
2020-06-17,0.5843,0.589,0.5637,0.5825,130661.46
2020-06-18,0.5818,0.653,0.5772,0.6188,350427.04
2020-06-19,0.6187,0.84,0.6167,0.6842,1462724.35
2020-06-20,0.6878,0.691,0.6261,0.6461,356109.37
2020-06-21,0.6491,0.75,0.6377,0.6704,338407.7
2020-06-22,0.672,0.751,0.6452,0.7288,342589.15
2020-06-23,0.73,0.7693,0.6982,0.7059,317831.96
2020-06-24,0.7062,0.8018,0.691,0.7359,737231.62
2020-06-25,0.736,0.7622,0.6953,0.7103,520107.44
2020-06-26,0.7106,0.755,0.6775,0.7395,247350.96
2020-06-27,0.7382,0.7474,0.6734,0.7139,313477.67
2020-06-28,0.7094,0.8505,0.6843,0.7985,691534.73
2020-06-29,0.7981,0.885,0.7693,0.8449,343062.49
2020-06-30,0.8505,1.0437,0.8472,0.8587,837086.03
2020-07-01,0.8584,0.9044,0.81,0.8328,316623.14
2020-07-02,0.8327,0.84,0.7445,0.775,493271.81
2020-07-03,0.775,0.7877,0.75,0.77,131484.71
2020-07-04,0.768,0.8284,0.763,0.7795,217372.44
2020-07-05,0.78,0.7874,0.625,0.6947,449066.96
2020-07-06,0.6947,0.7225,0.6775,0.7116,180940.89
2020-07-07,0.7111,0.7877,0.7023,0.7541,273292.76
2020-07-08,0.7531,0.8308,0.7421,0.7956,498334.87
2020-07-09,0.7972,0.8866,0.75,0.8494,570748.73
2020-07-10,0.8484,0.9387,0.8364,0.9137,307214.85
2020-07-11,0.9138,0.9283,0.855,0.9215,296720.4
2020-07-12,0.9225,1.1367,0.9065,1.0191,686310.39
2020-07-13,1.019,1.29,1.0091,1.1758,596161.92
2020-07-14,1.177,1.2499,1.1183,1.15,254828.48
2020-07-15,1.15,1.4175,1.1367,1.2839,386187.89
2020-07-16,1.2839,1.375,0.82,0.8711,1403769.56
2020-07-17,0.8729,1.062,0.77,0.9805,794723.67
2020-07-18,0.9764,0.999,0.931,0.971,297064.89
2020-07-19,0.9711,0.9714,0.8964,0.9206,257350.4
2020-07-20,0.9206,0.9261,0.85,0.878,435938.7
2020-07-21,0.8775,1.0265,0.8601,0.9709,379944.64
2020-07-22,0.9734,1.1133,0.9734,1.048,648574.16
2020-07-23,1.0391,1.11,0.9902,1.0595,466253.23
2020-07-24,1.0467,1.0519,0.97,0.9971,181420.73
2020-07-25,0.9971,1.4399,0.9971,1.2549,1182661.54
2020-07-26,1.2508,1.6326,1.24,1.5668,984502.24
2020-07-27,1.5668,2.05,1.5607,1.7919,2576767.82
2020-07-28,1.8022,1.86,1.61,1.7864,773424.07
2020-07-29,1.7883,2.1,1.584,1.6566,899833.5
2020-07-30,1.6672,1.8,1.6355,1.6877,327255.77
2020-07-31,1.6881,1.6883,1.5001,1.5336,441492.32
2020-08-01,1.5336,1.6719,1.498,1.5319,306000.06
2020-08-02,1.5395,1.7573,1.3892,1.7335,683356.41
2020-08-03,1.73,1.8389,1.6741,1.805,466599.45
2020-08-04,1.7948,1.9587,1.7913,1.868,474702.68
2020-08-05,1.8682,1.8874,1.71,1.747,464144.14
2020-08-06,1.747,2.2256,1.74,2.197,882151.48
2020-08-07,2.197,2.197,1.8764,2.082,913896.01
2020-08-08,2.082,2.5818,2.0215,2.4754,730310.71
2020-08-09,2.4768,2.7207,2.293,2.6609,923208.69
2020-08-10,2.6609,3.4,2.5113,3.134,1347277.18
2020-08-11,3.134,3.5143,2.75,3.2991,1743040.58
2020-08-12,3.2881,3.9295,3.0829,3.7512,556700.37
2020-08-13,3.744,4.1222,3.5,3.7262,620365.16
2020-08-14,3.7301,3.7815,3.25,3.4204,436985.53
2020-08-15,3.414,3.7316,3.153,3.1701,292679.95
2020-08-16,3.1789,3.4839,3.1303,3.376,168925.49
2020-08-17,3.3862,3.3863,3.105,3.1126,160054.26
2020-08-18,3.1079,3.7211,2.8613,3.3472,597677.3
2020-08-19,3.3332,3.4892,2.8019,2.893,339102.09
2020-08-20,2.893,3.4434,2.8853,3.2039,132233.62
2020-08-21,3.2099,3.2461,2.8856,2.9215,246976.97
2020-08-22,2.9215,3.2733,2.7446,3.0123,154180.52
2020-08-23,3.0197,3.4139,3.0044,3.2476,131176.2
2020-08-24,3.2655,3.6211,3.2142,3.3378,158197.29
2020-08-25,3.3441,3.3691,3.01,3.2537,256132.56
2020-08-26,3.2532,3.7996,3.17,3.564,214425.08
2020-08-27,3.5572,3.8499,3.2599,3.45,206393.86
2020-08-28,3.4513,4.3092,3.4513,4.0052,215248.03
2020-08-29,4.013,4.11,3.7722,3.9639,111345.33
2020-08-30,3.9563,4.7091,3.9014,4.4211,180479.92
2020-08-31,4.4211,4.8906,4.105,4.7549,88642.14
2020-09-01,4.74,4.9404,4.3,4.3416,120690.29
2020-09-02,4.314,4.352,3.6664,4.1682,379336.45
2020-09-03,4.1682,4.45,3.4963,3.5034,423314.83
2020-09-04,3.52,3.8478,3.1822,3.5523,312411.25
2020-09-05,3.5487,3.6571,2.1032,2.6163,450464.27
2020-09-06,2.6028,3.1799,2.26,3.0825,317304.82
2020-09-07,3.0866,3.2063,2.3795,2.9237,167600.51
2020-09-08,2.9395,2.9435,2.3909,2.4806,113463.9
2020-09-09,2.4725,3.8823,2.376,3.6113,322428.43
2020-09-10,3.6006,3.8718,3.3088,3.4738,154935.02
2020-09-11,3.4672,3.5019,3.0335,3.4,91363.42
2020-09-12,3.4,3.4678,3.15,3.3383,44293.52
2020-09-13,3.3309,3.4727,2.9707,3.283,105796.62
2020-09-14,3.2515,3.5382,3.0759,3.2614,115610.83
2020-09-15,3.2614,3.3243,2.901,2.9303,85887.83
2020-09-16,2.9336,2.9336,2.4102,2.5369,199003.71
2020-09-17,2.5365,2.943,2.35,2.8847,220488.77
2020-09-18,2.8881,3.1646,2.7307,3.1097,170353.68
2020-09-19,3.1076,3.2543,2.956,3.0281,91269.92
2020-09-20,3.0281,3.0297,2.6984,2.8669,68890.51
2020-09-21,2.8669,3.0424,2.4686,2.78,184193.4
2020-09-22,2.7498,3.0011,2.6457,2.9175,147035.1
2020-09-23,2.9228,3.0824,2.7,2.8411,102454.08
2020-09-24,2.8052,3.25,2.7828,3.149,94679.51
2020-09-25,3.15,3.2786,2.9038,3.1949,83651.55
2020-09-26,3.1949,3.2373,3.0319,3.1356,60136.09
2020-09-27,3.1281,3.19,2.9873,3.1604,37870.52
2020-09-28,3.1579,3.2091,2.9022,2.9597,51250.09
2020-09-29,2.9442,3.0207,2.8752,2.9472,35431.68
2020-09-30,2.9487,2.9799,2.8257,2.8932,28658.48
2020-10-01,2.899,2.9939,2.651,2.8663,83985.57
2020-10-02,2.8622,2.8857,2.4181,2.6207,192421.42
2020-10-03,2.6207,2.6676,2.5369,2.5503,56489.89
2020-10-04,2.5458,2.5897,2.414,2.5222,45933.79
2020-10-05,2.5239,2.68,2.46,2.6502,47286.71
2020-10-06,2.6512,2.6645,2.1307,2.1736,107837.62
2020-10-07,2.1736,2.4141,2.0793,2.301,131264.54
2020-10-08,2.3023,2.452,2.0142,2.3644,239045.48
2020-10-09,2.3669,2.6258,2.3051,2.5386,172425.74
2020-10-10,2.5346,2.6033,2.39,2.3995,78362.09
2020-10-11,2.4042,2.4595,2.3427,2.4268,29533.33
2020-10-12,2.4268,2.7037,2.4164,2.5814,142523.14
2020-10-13,2.5814,2.5822,2.3359,2.4015,114761.08
2020-10-14,2.4065,2.4399,2.2358,2.3166,81960.26
2020-10-15,2.3166,2.3482,2.197,2.2619,27156.47
2020-10-16,2.2628,2.2628,2.1054,2.1368,190510.61
2020-10-17,2.1329,2.2489,2.1152,2.207,36902.44
2020-10-18,2.2041,2.2573,2.1758,2.2132,36115.74
2020-10-19,2.2132,2.2174,2.047,2.0555,78934.57
2020-10-20,2.0572,2.111,1.8484,1.888,150924.98
2020-10-21,1.888,2.1107,1.8389,1.89,328888.72
2020-10-22,1.8983,2.0899,1.8455,1.9545,156949.7
2020-10-23,1.9571,1.9887,1.8513,1.9621,112470.83
2020-10-24,1.9648,1.9772,1.8834,1.9142,40656.36
2020-10-25,1.9157,1.9265,1.7619,1.7962,89032.29
2020-10-26,1.7958,1.8728,1.6141,1.6787,162437.26
2020-10-27,1.6799,1.7538,1.5932,1.71,140928.57
2020-10-28,1.7056,1.7244,1.454,1.5196,308245.43
2020-10-29,1.519,1.5737,1.4177,1.4337,93576.58
2020-10-30,1.4348,1.4729,1.3423,1.4422,155225.79
2020-10-31,1.4388,1.5597,1.4298,1.5496,87988.09
2020-11-01,1.5509,1.6443,1.5162,1.6022,110669.62
2020-11-02,1.6111,1.6438,1.4641,1.4767,64039.11
2020-11-03,1.4753,1.483,1.4087,1.4102,83069.24
2020-11-04,1.4124,1.4156,1.2722,1.3913,241355.09
2020-11-05,1.3909,1.4919,1.3019,1.4038,223923.58
2020-11-06,1.4026,1.951,1.3982,1.9093,549598.08
2020-11-07,1.9141,2.4962,1.8337,2.0251,832644.06
2020-11-08,2.0196,2.2822,1.9696,2.1622,236443.31
2020-11-09,2.1518,2.1971,1.95,2.0342,225916.29
2020-11-10,2.0404,2.326,2.0088,2.2685,175139.39
2020-11-11,2.2679,2.2997,1.9691,2.0056,182627.65
2020-11-12,2.0042,2.0595,1.827,1.9087,129390.49
2020-11-13,1.9128,2.0803,1.904,2.021,162390.18
2020-11-14,2.0196,2.0366,1.8733,1.9195,99134.89
2020-11-15,1.9183,2.2188,1.9183,2.0437,263786.72
2020-11-16,2.04,2.3721,1.9877,2.2676,347731.37
2020-11-17,2.268,2.33,2.1237,2.1998,188029.4
2020-11-18,2.203,2.2166,2.0064,2.1153,245479.83
2020-11-19,2.1176,2.183,2.0176,2.0795,117915.64
2020-11-20,2.0821,2.2363,2.0535,2.107,88198.7
2020-11-21,2.1029,2.5105,2.04,2.3823,242864.73
2020-11-22,2.3866,2.4246,2.046,2.1562,186833.15
2020-11-23,2.162,2.3636,2.1125,2.2774,177481.9
2020-11-24,2.2809,2.4748,2.1327,2.2805,293660.14
2020-11-25,2.2829,2.4959,2.1791,2.2629,290542.76
2020-11-26,2.2657,2.3058,1.7238,1.9111,522858.52
2020-11-27,1.9141,1.9724,1.7722,1.8616,236677.3
2020-11-28,1.8666,1.9386,1.804,1.8911,116551.82
2020-11-29,1.8879,1.9479,1.8558,1.917,54787.84
2020-11-30,1.9188,2.0174,1.91,1.9654,124728.61
2020-12-01,1.9675,2.1397,1.9202,1.9736,219321.72
2020-12-02,1.9775,2.22,1.9411,2.1168,179141.25
2020-12-03,2.1164,2.2309,2.0763,2.0991,223290.46
2020-12-04,2.0995,2.113,1.84,1.8528,82789.27
2020-12-05,1.8507,1.9837,1.8222,1.9837,75332.24
2020-12-06,1.9845,1.9902,1.8153,1.8515,84094.68
2020-12-07,1.8508,1.8982,1.811,1.8307,67881.26
2020-12-08,1.8295,1.8295,1.6305,1.6619,149511.54
2020-12-09,1.6625,1.6778,1.4981,1.6574,146077.31
2020-12-10,1.6626,1.6662,1.5405,1.5679,72438.14
2020-12-11,1.5758,1.5771,1.4351,1.4374,159298.83
2020-12-12,1.4384,1.5389,1.437,1.4932,149400.59
2020-12-13,1.4931,1.6565,1.4588,1.5661,192287.92
2020-12-14,1.5654,1.6235,1.523,1.5931,212258.86
2020-12-15,1.5924,1.8055,1.5886,1.7609,387399.4
2020-12-16,1.7599,1.7918,1.6065,1.7844,355978.91
2020-12-17,1.7792,1.8061,1.6396,1.6799,256844.91
2020-12-18,1.6803,1.7056,1.6331,1.6997,96348.57
2020-12-19,1.7009,1.7677,1.6623,1.6712,121407.7
2020-12-20,1.6703,1.6887,1.5222,1.5642,88621.27
2020-12-21,1.5596,1.6178,1.4916,1.537,88483.44
2020-12-22,1.5339,1.5801,1.4693,1.4914,175965.99
2020-12-23,1.489,1.5117,1.05,1.2013,281220.09
2020-12-24,1.1997,1.39,1.1675,1.3598,233886.47
2020-12-25,1.3621,1.4602,1.3443,1.4464,175060.66
2020-12-26,1.4479,1.4479,1.3125,1.3243,74360.97
2020-12-27,1.3243,1.4134,1.2582,1.2993,182064.43
2020-12-28,1.3018,1.5189,1.285,1.5159,242520.83
2020-12-29,1.5153,1.7324,1.4383,1.6715,518154.14
2020-12-30,1.6728,1.6853,1.5282,1.5337,237029.36
2020-12-31,1.5366,1.5539,1.4195,1.5101,227836.09
2021-01-01,1.5101,1.8664,1.5034,1.8469,403298.7
2021-01-02,1.8467,2.003,1.7168,1.8037,555024.54
2021-01-03,1.8055,2.3787,1.804,2.1835,911644.88
2021-01-04,2.1804,2.5,1.8509,2.5,849043.85
2021-01-05,2.4929,2.505,2.0667,2.1685,695231.02
2021-01-06,2.169,2.1905,1.9047,1.9489,689916.83
2021-01-07,1.9489,2.6587,1.9251,2.3703,2429969.86
2021-01-08,2.3673,3.8081,2.1783,3.2271,2997732.26
2021-01-09,3.227,3.7026,2.9379,3.3926,1134235.63
2021-01-10,3.3931,3.7573,3.15,3.4487,661593.91
2021-01-11,3.4454,3.5243,2.577,3.1083,871726.78
2021-01-12,3.1065,3.88,3.063,3.6255,887864.1
2021-01-13,3.6313,3.639,3.264,3.526,372493.46
2021-01-14,3.528,3.5817,3.18,3.2704,488047.09
2021-01-15,3.2899,3.44,2.8,3.2556,470010.81
2021-01-16,3.2445,3.7098,3.2445,3.4315,803400.52
2021-01-17,3.4331,3.9925,3.3064,3.8258,925918.13
2021-01-18,3.8321,4.1598,3.6025,3.79,644842.39
2021-01-19,3.7978,4.0496,3.6016,3.6332,395842.77
2021-01-20,3.6307,3.7379,3.341,3.72,345087.21
2021-01-21,3.7267,3.7361,2.9748,2.9852,386057.81
2021-01-22,2.9852,3.5006,2.5267,3.3494,494927.94
2021-01-23,3.3435,3.6127,3.3106,3.5099,256431.2
2021-01-24,3.5004,3.7962,3.4859,3.6309,120014.58
2021-01-25,3.6326,3.9804,3.4444,3.7018,438790.98
2021-01-26,3.7092,4.3,3.6568,4.0499,798817.08
2021-01-27,4.0368,4.0409,3.52,3.6775,286013.88
2021-01-28,3.6807,3.9614,3.607,3.8246,169269.49
2021-01-29,3.8222,3.9149,3.637,3.8305,303460.18
2021-01-30,3.8334,4.3181,3.7715,4.2369,334287.67
2021-01-31,4.2336,4.8045,4.1665,4.2534,526632.84
2021-02-01,4.265,4.6152,4.1139,4.6152,213035.04
2021-02-02,4.6152,5.4055,4.4709,5.2469,673587.02
2021-02-03,5.2469,5.791,5.0639,5.7402,375341.89
2021-02-04,5.748,6.544,5.5903,6.4181,506102.42
2021-02-05,6.4284,7.14,6.4252,6.6976,485517.12
2021-02-06,6.6975,6.821,5.7067,6.1214,535463.04
2021-02-07,6.1393,7.0144,5.7627,6.695,500770.76
2021-02-08,6.7053,8.0678,6.4823,7.8591,567731.71
