Date,Open,High,Low,Close,Volume
2021-06-06,7.968,9.51,7.968,8.824,209236.94
2021-06-07,8.85,10.105,8.603,8.737,580737.88
2021-06-08,8.725,9.186,8.0,8.927,843559.41
2021-06-09,8.941,9.75,8.339,9.396,708174.43
2021-06-10,9.396,9.509,8.507,8.741,429773.63
2021-06-11,8.746,8.757,7.615,7.944,392952.74
2021-06-12,7.946,8.242,7.336,7.808,354691.79
2021-06-13,7.821,8.9,7.654,8.785,350184.05
2021-06-14,8.801,9.452,8.589,9.065,480804.13
2021-06-15,9.061,9.339,8.808,8.929,226645.34
2021-06-16,8.906,9.105,8.56,8.972,182753.62
2021-06-17,8.966,9.854,8.928,9.516,522683.86
2021-06-18,9.527,10.1,8.513,9.019,823695.45
2021-06-19,9.001,9.198,8.641,8.814,417503.19
2021-06-20,8.813,8.897,7.969,8.695,358612.47
2021-06-21,8.703,8.785,6.476,6.524,553223.83
2021-06-22,6.513,7.296,5.246,6.489,885865.51
2021-06-23,6.489,7.525,6.072,6.918,701515.5
2021-06-24,6.922,7.336,6.607,7.304,618605.46
2021-06-25,7.3,7.446,6.368,6.68,798044.06
2021-06-26,6.673,6.935,6.121,6.563,623595.99
2021-06-27,6.562,6.927,6.35,6.912,344947.61
2021-06-28,6.918,7.147,6.711,6.93,391659.23
2021-06-29,6.929,7.402,6.882,7.122,451057.78
2021-06-30,7.123,7.271,6.426,6.914,612878.46
2021-07-01,6.915,6.915,6.128,6.292,564285.84
2021-07-02,6.302,6.403,5.761,6.243,669914.52
2021-07-03,6.245,6.353,6.029,6.274,214823.31
2021-07-04,6.266,6.558,6.04,6.352,311186.42
2021-07-05,6.344,6.442,5.864,5.953,349993.38
2021-07-06,5.944,6.267,5.944,6.124,421196.62
2021-07-07,6.123,6.654,6.038,6.373,484935.87
2021-07-08,6.374,6.831,6.012,6.14,1581755.75
2021-07-09,6.137,6.197,5.726,6.06,532019.83
2021-07-10,6.075,6.202,5.783,5.902,196974.89
2021-07-11,5.912,5.996,5.736,5.925,168858.38
2021-07-12,5.938,5.993,5.437,5.561,307868.84
2021-07-13,5.559,5.583,5.206,5.287,376038.32
2021-07-14,5.283,5.296,4.713,5.168,463487.58
2021-07-15,5.17,5.232,4.736,4.872,350854.5
2021-07-16,4.871,4.972,4.377,4.414,394600.3
2021-07-17,4.413,4.646,4.323,4.431,476479.3
2021-07-18,4.437,4.628,4.33,4.435,380389.37
2021-07-19,4.426,4.463,3.966,4.062,588604.23
2021-07-20,4.071,4.18,3.499,3.658,909198.93
2021-07-21,3.653,4.6,3.547,4.417,1020870.88
2021-07-22,4.413,5.016,4.225,4.845,979046.56
2021-07-23,4.848,5.051,4.5,5.012,793611.56
2021-07-24,5.02,5.889,4.885,5.611,1458565.7
2021-07-25,5.611,6.568,5.481,6.128,2308906.72
2021-07-26,6.128,6.739,5.557,5.648,1466268.87
2021-07-27,5.644,6.123,5.29,5.972,1105769.83
2021-07-28,5.969,6.193,5.62,5.804,796014.22
2021-07-29,5.797,6.104,5.64,6.035,623807.57
2021-07-30,6.038,6.12,5.589,5.975,687710.14
2021-07-31,5.987,6.288,5.798,6.103,789601.49
2021-08-01,6.107,6.298,5.702,5.752,600154.05
2021-08-02,5.755,5.976,5.638,5.819,407967.58
2021-08-03,5.832,5.95,5.542,5.913,605806.58
2021-08-04,5.914,6.188,5.771,6.071,507400.87
2021-08-05,6.082,7.193,5.959,7.149,1329878.21
2021-08-06,7.129,7.294,6.834,6.89,1608075.18
2021-08-07,6.894,7.186,6.711,6.947,982255.93
2021-08-08,6.939,7.076,6.088,6.414,933239.5
2021-08-09,6.419,7.123,6.126,6.764,828173.27
2021-08-10,6.776,7.114,6.614,6.944,768288.92
2021-08-11,6.944,7.594,6.919,7.157,799125.2
2021-08-12,7.153,7.457,6.53,6.781,690560.08
2021-08-13,6.771,7.311,6.629,7.153,590136.18
2021-08-14,7.169,7.59,7.021,7.235,643926.41
2021-08-15,7.226,7.575,6.959,7.469,542637.03
2021-08-16,7.47,8.333,7.303,7.602,1065119.41
2021-08-17,7.601,8.089,6.816,6.979,975952.08
2021-08-18,6.971,7.214,6.542,6.84,622148.22
2021-08-19,6.853,7.212,6.627,7.156,358886.72
2021-08-20,7.158,7.421,6.67,7.275,583631.48
2021-08-21,7.282,7.686,7.126,7.272,613760.02
2021-08-22,7.264,7.535,7.059,7.351,440437.03
2021-08-23,7.343,7.93,7.315,7.834,735201.01
2021-08-24,7.833,8.153,6.91,7.062,838054.33
2021-08-25,7.057,7.329,6.738,7.21,700595.36
2021-08-26,7.214,7.283,6.367,6.535,623473.9
2021-08-27,6.524,6.978,6.315,6.958,383810.7
2021-08-28,6.945,6.971,6.712,6.914,280527.7
2021-08-29,6.93,7.087,6.734,6.923,385219.31
2021-08-30,6.922,6.94,6.503,6.581,396073.6
2021-08-31,6.583,6.784,6.417,6.662,473798.1
2021-09-01,6.652,7.196,6.5,7.119,581032.95
2021-09-02,7.117,7.247,6.901,7.023,457436.25
2021-09-03,7.027,7.365,6.904,7.258,574360.29
2021-09-04,7.259,7.75,7.206,7.517,670694.13
2021-09-05,7.529,8.277,7.407,8.191,821690.1
2021-09-06,8.195,9.54,7.75,9.215,1787655.55
2021-09-07,9.22,9.747,5.932,7.034,2560507.66
2021-09-08,7.035,7.185,6.133,6.813,960844.2
2021-09-09,6.815,7.427,6.558,6.973,942311.9
2021-09-10,6.985,7.318,6.27,6.451,621396.6
2021-09-11,6.464,6.693,6.309,6.451,337393.5
2021-09-12,6.442,6.833,6.257,6.589,468808.6
2021-09-13,6.594,6.654,5.72,6.128,490163.19
2021-09-14,6.128,6.484,6.06,6.447,500923.7
2021-09-15,6.472,7.115,6.452,6.869,850823.9
2021-09-16,6.87,6.901,6.45,6.655,422038.8
2021-09-17,6.65,6.707,6.222,6.317,276513.0
2021-09-18,6.318,6.587,6.225,6.377,275544.5
2021-09-19,6.372,6.373,5.956,6.098,334896.1
2021-09-20,6.104,6.104,4.95,5.158,855953.09
2021-09-21,5.159,5.661,4.741,5.005,1340376.04
2021-09-22,5.02,5.688,4.943,5.57,723115.5
2021-09-23,5.579,5.852,5.396,5.709,562667.5
2021-09-24,5.709,5.767,4.907,5.181,643528.3
2021-09-25,5.186,5.28,5.01,5.102,311767.0
2021-09-26,5.096,5.254,4.754,5.094,476787.6
2021-09-27,5.091,5.3,4.915,4.931,414925.1
2021-09-28,4.92,5.007,4.663,4.694,290535.68
2021-09-29,4.689,4.979,4.661,4.832,420454.0
2021-09-30,4.819,5.092,4.799,5.052,410500.4
2021-10-01,5.055,6.07,4.989,5.981,863587.9
2021-10-02,5.989,6.288,5.875,6.054,957971.9
2021-10-03,6.067,6.262,5.895,6.127,439114.7
2021-10-04,6.128,6.128,5.711,6.02,467984.0
2021-10-05,6.017,6.887,5.984,6.73,1223568.2
2021-10-06,6.751,6.96,6.154,6.427,790132.4
2021-10-07,6.42,6.587,6.168,6.5,552003.7
2021-10-08,6.5,6.868,6.381,6.463,552508.5
2021-10-09,6.463,7.019,6.37,6.936,517482.9
2021-10-10,6.945,6.956,6.28,6.337,550110.9
2021-10-11,6.329,6.581,6.011,6.17,391257.4
2021-10-12,6.174,6.174,5.35,5.907,579002.9
2021-10-13,5.914,6.313,5.596,6.102,720429.5
2021-10-14,6.101,6.26,5.971,6.062,360904.5
2021-10-15,6.07,6.439,5.914,6.271,798567.5
2021-10-16,6.271,6.381,6.103,6.144,337605.0
2021-10-17,6.149,6.152,5.715,5.97,306363.7
2021-10-18,5.97,6.051,5.755,5.846,377957.8
2021-10-19,5.844,6.089,5.812,5.938,261152.0
2021-10-20,5.939,6.246,5.84,6.232,410600.5
2021-10-21,6.235,6.327,5.913,5.989,576875.6
2021-10-22,5.988,6.794,5.979,6.665,1622045.3
2021-10-23,6.663,6.707,6.35,6.535,378704.4
2021-10-24,6.535,6.842,6.311,6.447,525458.6
2021-10-25,6.447,6.933,6.402,6.799,781377.3
2021-10-26,6.8,7.393,6.762,7.002,1110316.2
2021-10-27,7.02,7.393,5.68,6.158,1306093.4
2021-10-28,6.165,6.523,6.065,6.463,703226.9
2021-10-29,6.456,7.211,6.345,7.0,792865.3
2021-10-30,7.0,8.592,6.782,8.218,2047122.4
2021-10-31,8.211,8.559,7.001,7.225,1296019.8
2021-11-01,7.226,7.738,6.923,7.315,925883.4
2021-11-02,7.318,7.931,7.278,7.624,886533.9
2021-11-03,7.625,7.656,7.073,7.413,621465.0
2021-11-04,7.418,7.804,7.3,7.728,914007.2
2021-11-05,7.718,8.143,7.53,7.57,613738.9
2021-11-06,7.574,7.676,7.15,7.478,509277.9
2021-11-07,7.474,7.521,7.352,7.454,247088.5
2021-11-08,7.456,7.902,7.35,7.877,497774.8
2021-11-09,7.88,8.494,7.727,7.906,1105272.4
2021-11-10,7.915,8.298,6.4,7.349,942541.5
2021-11-11,7.329,7.463,7.109,7.364,747002.9
2021-11-12,7.361,7.448,6.85,7.179,580587.1
2021-11-13,7.176,7.322,7.043,7.194,222017.5
2021-11-14,7.193,7.249,6.86,7.044,241410.5
2021-11-15,7.053,7.15,6.783,6.794,271793.0
2021-11-16,6.796,6.796,5.95,6.259,670998.7
2021-11-17,6.256,6.618,6.033,6.597,531428.2
2021-11-18,6.588,6.65,5.844,5.977,483575.9
2021-11-19,5.991,6.397,5.834,6.344,348878.2
2021-11-20,6.351,6.738,6.271,6.718,320442.5
2021-11-21,6.712,7.217,6.608,7.12,628418.1
2021-11-22,7.116,7.279,6.4,6.518,664444.1
2021-11-23,6.516,7.138,6.26,6.866,636339.9
2021-11-24,6.876,6.977,6.461,6.616,595934.7
2021-11-25,6.619,7.572,6.525,7.393,974357.3
2021-11-26,7.4,7.484,6.283,6.543,858903.8
2021-11-27,6.541,6.891,6.471,6.552,515207.4
2021-11-28,6.548,6.626,6.015,6.624,437619.2
2021-11-29,6.613,6.743,6.445,6.665,423485.8
2021-11-30,6.668,6.829,6.34,6.61,516823.9
2021-12-01,6.627,6.824,6.422,6.534,420912.3
2021-12-02,6.532,6.532,6.265,6.378,292899.4
2021-12-03,6.38,6.709,5.972,6.168,773346.0
2021-12-04,6.151,6.167,3.7,5.136,1836479.47
2021-12-05,5.138,5.241,4.527,4.744,665349.1
2021-12-06,4.748,4.823,4.16,4.781,680561.7
2021-12-07,4.785,4.938,4.587,4.69,641143.4
2021-12-08,4.686,5.068,4.492,4.918,720197.4
2021-12-09,4.927,4.99,4.304,4.411,651541.3
2021-12-10,4.411,4.704,4.251,4.272,441909.4
2021-12-11,4.263,4.471,4.185,4.43,225882.5
2021-12-12,4.429,4.52,4.291,4.43,232708.7
2021-12-13,4.435,4.516,3.814,3.903,513614.6
2021-12-14,3.908,4.053,3.828,4.037,380333.9
2021-12-15,4.038,4.419,3.887,4.4,365600.8
2021-12-16,4.4,4.477,4.233,4.24,267722.8
2021-12-17,4.253,4.348,3.927,4.045,283955.1
2021-12-18,4.051,4.184,3.96,4.083,173591.6
2021-12-19,4.089,4.222,4.057,4.138,254961.3
2021-12-20,4.138,4.142,3.841,3.998,536605.4
2021-12-21,4.001,4.178,3.965,4.15,249939.5
2021-12-22,4.154,4.618,4.154,4.431,540405.1
2021-12-23,4.437,4.832,4.326,4.759,597061.3
2021-12-24,4.765,4.868,4.616,4.716,548524.9
2021-12-25,4.719,5.158,4.667,5.018,646914.8
2021-12-26,5.022,5.538,4.905,5.476,800465.2
2021-12-27,5.483,5.965,5.453,5.48,1007964.5
2021-12-28,5.481,5.484,4.955,5.08,697702.9
2021-12-29,5.085,5.278,4.842,4.912,550329.1
2021-12-30,4.911,4.988,4.709,4.814,343682.1
2021-12-31,4.809,4.94,4.562,4.709,357159.0
2022-01-01,4.705,4.955,4.704,4.944,231094.5
2022-01-02,4.935,4.945,4.784,4.886,286544.9
2022-01-03,4.879,4.882,4.619,4.699,271485.2
2022-01-04,4.715,4.948,4.59,4.727,392863.0
2022-01-05,4.744,5.242,4.143,4.403,1084037.7
2022-01-06,4.415,4.447,4.152,4.387,442995.9
2022-01-07,4.398,4.401,4.005,4.19,446429.9
2022-01-08,4.193,4.339,3.805,3.971,511085.7
2022-01-09,3.971,4.144,3.926,4.033,219410.2
2022-01-10,4.036,4.129,3.68,3.845,505004.4
2022-01-11,3.843,4.159,3.8,4.095,464400.3
2022-01-12,4.1,4.364,4.1,4.278,503967.8
2022-01-13,4.275,4.297,3.96,3.98,466339.1
2022-01-14,3.981,4.151,3.88,4.14,459942.3
2022-01-15,4.149,4.16,4.048,4.093,260273.8
2022-01-16,4.093,4.297,4.044,4.198,240975.2
2022-01-17,4.213,4.221,3.89,3.957,300996.1
2022-01-18,3.965,4.253,3.837,4.225,820201.5
2022-01-19,4.22,4.487,4.123,4.324,1325835.6
2022-01-20,4.331,4.663,4.08,4.099,1094661.8
2022-01-21,4.095,4.383,3.282,3.418,1353908.37
2022-01-22,3.4,3.472,2.339,2.759,2135240.02
2022-01-23,2.76,2.939,2.614,2.788,1108271.0
2022-01-24,2.781,2.782,2.275,2.591,1370752.0
2022-01-25,2.592,2.706,2.487,2.608,705574.9
2022-01-26,2.61,3.148,2.587,2.812,1384667.0
2022-01-27,2.809,3.178,2.774,2.893,2181100.7
2022-01-28,2.896,3.007,2.796,2.945,699864.2
2022-01-29,2.946,3.023,2.883,2.988,480687.3
2022-01-30,2.988,3.114,2.81,2.881,623796.1
2022-01-31,2.882,2.949,2.702,2.938,728047.5
2022-02-01,2.937,2.977,2.875,2.921,416487.5
2022-02-02,2.927,2.954,2.714,2.755,472404.2
2022-02-03,2.748,2.834,2.683,2.8,335793.7
2022-02-04,2.8,3.059,2.772,3.053,548881.0
2022-02-05,3.056,3.44,3.041,3.27,1336005.2
2022-02-06,3.269,3.618,3.269,3.504,1149323.7
2022-02-07,3.506,3.706,3.415,3.596,745638.5
2022-02-08,3.602,3.611,3.23,3.452,1013497.2
2022-02-09,3.451,3.482,3.256,3.437,447196.4
2022-02-10,3.443,4.152,3.328,4.074,2630995.8
2022-02-11,4.073,4.389,3.83,3.953,2620621.4
2022-02-12,3.956,4.252,3.712,3.9,1730270.3
2022-02-13,3.902,3.941,3.573,3.578,705572.5
