Date,Open,High,Low,Close,Volume
2021-01-25,1.0,4.8875,0.9998,1.0,164107.88
2021-01-26,1.0002,1.0002,0.9997,0.9997,492653.81
2021-01-27,0.9998,1.0002,0.9997,0.9997,527622.76
2021-01-28,0.9997,1.0002,0.9995,1.0001,2288858.92
2021-01-29,1.0001,1.01,0.21,1.0001,5997863.69
2021-01-30,1.0001,1.0044,0.9996,1.0,1766779.69
2021-01-31,1.0,1.0048,0.9998,1.0,1496291.36
2021-02-01,1.0,1.1374,0.9998,1.0001,1664845.7
2021-02-02,0.9999,1.0004,0.9998,0.9999,3599217.69
2021-02-03,1.0,1.0033,0.9982,1.0,4731894.15
2021-02-04,1.0,1.0002,0.9993,0.9999,4966473.45
2021-02-05,1.0,1.0004,0.9999,0.9999,3359137.44
2021-02-06,0.9999,1.001,0.9996,1.0,2566088.07
2021-02-07,0.9999,1.0001,0.9998,1.0,1865163.29
2021-02-08,1.0,1.11,0.9994,0.9999,4301277.39
2021-02-09,1.0,1.007,0.9995,0.9999,4625389.88
2021-02-10,1.0001,1.0059,0.9997,1.0,7233420.43
2021-02-11,1.0,1.0001,0.9996,1.0,5042868.81
2021-02-12,1.0,1.0007,0.9996,0.9998,9114863.1
2021-02-13,0.9998,1.0013,0.9997,0.9999,5955763.64
2021-02-14,0.9999,1.0001,0.9995,0.9998,6346004.61
2021-02-15,1.0,1.0006,0.9992,0.9997,4530066.56
2021-02-16,0.9999,1.0006,0.9997,1.0,6636376.0
2021-02-17,1.0,1.0001,0.9994,0.9997,4633627.21
2021-02-18,1.0001,1.0006,0.999,0.9999,6504099.81
2021-02-19,0.9999,1.0001,0.9994,1.0,6059875.82
2021-02-20,1.0,1.0004,0.9996,0.9999,6672501.34
2021-02-21,0.9999,1.0006,0.9993,0.9999,5215229.32
2021-02-22,0.9999,1.0339,0.9995,0.9999,9450311.93
2021-02-23,1.0,1.0339,0.9996,0.9999,6163228.23
2021-02-24,0.9999,1.001,0.9997,0.9999,3938325.24
2021-02-25,0.9999,1.0001,0.955,1.0001,3000448.41
2021-02-26,1.0,1.0003,0.9995,0.9999,2045788.38
2021-02-27,0.9999,1.0003,0.9996,0.9999,2576647.22
2021-02-28,0.9999,1.0001,0.9997,1.0,2582727.97
2021-03-01,1.0,1.0,0.9997,1.0,2750060.44
2021-03-02,1.0,1.0002,0.9998,1.0,2661355.85
2021-03-03,0.9999,1.0001,0.9999,1.0,2252275.07
2021-03-04,1.0,1.0003,0.9997,0.9999,2263511.79
2021-03-05,0.9999,1.0003,0.9998,1.0,4184494.75
2021-03-06,1.0,1.0001,0.9998,1.0,1808724.51
2021-03-07,1.0,1.0004,0.9998,0.9999,1597734.38
2021-03-08,1.0,1.0001,0.9997,1.0,1821885.96
2021-03-09,1.0,1.0001,0.9984,0.9999,3250397.61
2021-03-10,1.0,1.0001,0.9997,0.9999,3410512.18
2021-03-11,0.9999,1.0001,0.9999,1.0,1979388.45
2021-03-12,1.0,1.0002,0.9998,1.0,1926149.75
2021-03-13,0.9999,1.0002,0.9997,1.0,3729810.91
2021-03-14,1.0,1.0004,0.9999,1.0,3007005.79
2021-03-15,1.0,1.0002,0.9999,1.0,3029864.95
2021-03-16,1.0,1.0008,0.9804,1.0,5941941.55
2021-03-17,1.0,1.0002,0.9998,1.0001,3399116.21
2021-03-18,1.0001,1.0002,0.9999,1.0,1229925.38
2021-03-19,1.0,1.0001,0.9999,1.0001,1147146.62
2021-03-20,1.0001,1.0008,0.98,0.9999,2641463.06
2021-03-21,1.0,1.0002,0.9998,1.0,1224237.58
2021-03-22,1.0,1.0005,0.9999,0.9999,3587341.35
2021-03-23,0.9999,1.0009,0.9997,1.0,2508849.39
2021-03-24,1.0,1.0007,0.9995,1.0,4203208.89
2021-03-25,1.0,1.001,0.9999,1.0,2757984.39
2021-03-26,1.0,1.0007,0.9996,0.9998,7596025.55
2021-03-27,0.9997,1.0001,0.9997,0.9999,7453137.28
2021-03-28,1.0,1.0001,0.9997,1.0,2487621.91
2021-03-29,1.0,1.0008,0.9994,0.9999,6318269.56
2021-03-30,1.0,1.0001,0.9996,0.9999,5500573.96
2021-03-31,0.9999,1.0003,0.9997,1.0,4135938.35
2021-04-01,0.9999,1.0002,0.9997,0.9999,3608574.62
2021-04-02,1.0,1.0002,0.9996,0.9998,4987435.0
2021-04-03,0.9999,1.0002,0.9997,0.9999,3552370.35
2021-04-04,1.0,1.0004,0.9997,0.9999,3067006.94
2021-04-05,0.9999,1.0001,0.9993,0.9999,4407304.93
2021-04-06,1.0,1.0003,0.9993,0.9998,4364072.17
