Date,Open,High,Low,Close,Volume
2020-09-17,0.3,4.9997,0.3,3.4608,1925318.05
2020-09-18,3.4999,8.5991,3.2327,6.9478,2187344.03
2020-09-19,6.8985,8.5991,4.3325,5.6965,1326343.73
2020-09-20,5.725,6.0794,4.6569,5.2134,1202613.88
2020-09-21,5.2331,5.645,4.0511,4.2488,636044.29
2020-09-22,4.2696,4.55,3.6692,3.8921,400640.23
2020-09-23,3.9112,5.344,3.9,4.375,727072.37
2020-09-24,4.375,5.2908,4.2649,5.1581,802671.74
2020-09-25,5.1469,5.5513,4.6866,4.9144,759544.68
2020-09-26,4.9189,4.9889,4.68,4.8774,436807.17
2020-09-27,4.8793,5.2103,4.6989,4.85,275577.59
2020-09-28,4.8524,4.9506,4.1815,4.2398,329820.87
2020-09-29,4.2423,4.41,4.1213,4.3824,453150.17
2020-09-30,4.3588,4.3588,3.9484,4.1549,277578.93
2020-10-01,4.1568,4.5132,3.9224,4.2441,440045.63
2020-10-02,4.2255,4.2285,3.5714,3.8979,383954.64
2020-10-03,3.8928,4.1168,3.832,3.903,168522.73
2020-10-04,3.8979,3.9439,3.61,3.7244,270788.32
2020-10-05,3.7244,3.7959,3.1876,3.3247,448529.6
2020-10-06,3.325,3.3426,2.6274,2.7177,649530.76
2020-10-07,2.7031,2.9999,2.4787,2.9642,700226.53
2020-10-08,2.9669,3.4706,2.6445,3.3528,655099.75
2020-10-09,3.3466,3.6,3.1727,3.3837,511807.55
2020-10-10,3.3872,3.6584,3.2713,3.297,507335.26
2020-10-11,3.2959,3.45,3.1839,3.3592,292962.38
2020-10-12,3.3591,3.602,3.2848,3.4552,321960.14
2020-10-13,3.4566,3.5,3.2959,3.3476,188361.12
2020-10-14,3.3571,3.4406,2.9741,3.1122,449985.63
2020-10-15,3.1061,3.1706,2.9176,3.0714,470134.12
2020-10-16,3.0805,3.3775,2.8825,3.0408,634986.86
2020-10-17,3.0489,3.1236,2.9774,3.0607,260222.39
2020-10-18,3.0567,3.2915,3.0478,3.2857,212944.28
2020-10-19,3.2831,3.2831,3.1107,3.1754,137873.17
2020-10-20,3.1745,3.1937,2.8127,2.8625,377052.11
2020-10-21,2.8653,3.0937,2.843,2.9461,343456.95
2020-10-22,2.9454,3.151,2.9278,3.0489,242840.88
2020-10-23,3.0408,3.1194,2.9648,3.0163,190550.51
2020-10-24,3.0105,3.0857,2.926,2.9472,174563.91
2020-10-25,2.937,2.969,2.7139,2.7722,245403.43
2020-10-26,2.7722,2.8804,2.5221,2.7122,406202.11
2020-10-27,2.71,2.9148,2.7031,2.8149,335609.67
2020-10-28,2.8057,2.8579,2.599,2.6721,386081.78
2020-10-29,2.6632,2.738,2.4858,2.5375,290010.09
2020-10-30,2.5347,2.5664,2.2359,2.417,826886.04
2020-10-31,2.4136,2.4136,2.2453,2.269,296627.47
2020-11-01,2.2608,2.4538,2.2209,2.3809,437152.65
2020-11-02,2.3792,2.4513,2.2268,2.2523,352496.42
2020-11-03,2.256,2.2809,2.0568,2.1356,506636.17
2020-11-04,2.1405,2.1658,1.8775,1.931,785150.68
2020-11-05,1.9313,2.4307,1.7609,2.195,1798887.17
2020-11-06,2.1907,2.693,2.1776,2.571,1484622.28
2020-11-07,2.5754,3.0344,2.426,2.4765,2172239.72
2020-11-08,2.4765,2.9239,2.4337,2.8627,676681.26
2020-11-09,2.862,2.8787,2.577,2.6813,535378.96
2020-11-10,2.6823,3.1742,2.6292,3.0756,819184.27
2020-11-11,3.0816,3.221,2.886,2.935,634567.58
2020-11-12,2.94,3.1412,2.84,2.9625,511836.84
2020-11-13,2.9608,3.9875,2.94,3.8624,1119057.21
2020-11-14,3.8663,3.973,3.5115,3.8183,1414067.49
2020-11-15,3.82,4.2505,3.6201,3.8505,1149305.68
2020-11-16,3.845,3.9402,3.4511,3.565,1086798.35
2020-11-17,3.5632,3.86,3.4805,3.8184,972855.01
2020-11-18,3.8106,3.8499,3.2735,3.467,1100983.84
2020-11-19,3.4692,3.8924,3.2261,3.7444,1089235.04
2020-11-20,3.75,4.09,3.6802,3.8571,823100.84
2020-11-21,3.8556,3.94,3.5927,3.8412,920120.15
2020-11-22,3.845,3.9489,3.4021,3.682,705914.08
2020-11-23,3.687,4.23,3.6326,4.1815,760397.87
2020-11-24,4.19,4.4879,3.9353,4.0652,1081833.22
2020-11-25,4.064,4.2029,3.5349,3.6752,842112.02
2020-11-26,3.6732,3.7668,3.0941,3.4355,1326152.06
2020-11-27,3.4326,3.5409,3.1629,3.3089,657077.48
2020-11-28,3.318,3.6919,3.257,3.4612,435570.91
2020-11-29,3.4651,3.575,3.1418,3.5522,336215.74
2020-11-30,3.5569,3.8091,3.5376,3.78,410203.13
2020-12-01,3.7798,3.99,3.4114,3.5481,932506.24
2020-12-02,3.5478,4.1729,3.5025,3.9448,712413.85
2020-12-03,3.9421,4.0241,3.8003,3.8882,336405.48
2020-12-04,3.8814,3.9227,3.4993,3.5171,518425.41
2020-12-05,3.5152,3.6968,3.4485,3.6839,203736.84
2020-12-06,3.685,3.7899,3.51,3.6499,280459.15
