Date,Open,High,Low,Close,Volume
2020-02-27,70.09,72.53,68.99,70.33,52.64246
2020-02-28,70.88,70.96,66.12,69.13,81.82942
2020-02-29,68.6,68.97,65.97,65.97,164.22354
2020-03-01,66.12,67.63,63.72,64.73,219.41826
2020-03-02,64.73,69.12,64.32,68.42,239.24694
2020-03-03,68.09,68.97,65.17,66.08,322.12897
2020-03-04,65.81,67.44,64.84,65.74,143.95072
2020-03-05,66.15,69.87,66.15,68.54,115.93207
2020-03-06,68.43,69.67,67.66,69.23,134.89408
2020-03-07,69.27,69.27,65.55,65.68,307.7455
2020-03-08,65.35,65.35,55.94,56.32,1949.76345
2020-03-09,56.76,57.28,52.34,54.71,1784.22543
2020-03-10,55.65,57.0,53.67,55.36,1075.28118
2020-03-11,55.61,55.61,51.13,54.4,441.60022
2020-03-12,53.06,53.06,30.22,31.86,7346.70503
2020-03-13,31.86,40.15,24.94,36.71,5745.46356
2020-03-14,36.6,39.87,35.45,35.86,165.82732
2020-03-15,36.71,40.41,35.99,37.88,110.51737
2020-03-16,37.28,38.95,29.29,32.54,412.9085
2020-03-17,33.86,37.52,33.86,36.67,141.65262
2020-03-18,36.23,37.6,34.15,36.6,455.00428
2020-03-19,37.69,42.96,36.46,40.99,1627.70201
2020-03-20,41.49,45.48,36.44,39.96,1283.44386
2020-03-21,39.91,42.71,38.51,41.29,850.47152
2020-03-22,41.58,42.63,38.0,38.21,623.71681
2020-03-23,38.69,44.49,38.5,44.02,616.9825
2020-03-24,45.0,48.0,43.6,47.59,464.40983
2020-03-25,46.77,48.16,45.79,45.91,237.90909
2020-03-26,47.56,51.0,47.55,50.7,2086.57429
2020-03-27,51.28,51.32,47.42,47.87,396.4051
2020-03-28,47.35,48.24,45.0,46.61,676.62662
2020-03-29,47.2,47.23,44.11,44.54,184.55582
2020-03-30,44.15,48.13,44.15,46.62,1170.07512
2020-03-31,46.94,48.28,46.63,48.13,457.3532
2020-04-01,47.77,48.8,46.58,48.59,376.99983
2020-04-02,48.81,53.04,47.1,50.49,1195.92924
2020-04-03,51.16,54.27,50.99,52.9,1004.95812
2020-04-04,52.87,55.05,52.21,54.42,1231.42304
2020-04-05,54.16,54.26,53.0,53.75,421.66718
2020-04-06,53.22,59.14,53.22,59.14,1255.26857
2020-04-07,58.98,60.44,54.99,55.88,1199.19404
2020-04-08,55.64,58.26,55.64,57.88,341.73897
2020-04-09,57.65,59.06,56.37,58.68,420.18019
2020-04-10,58.17,58.17,52.63,54.0,748.59918
2020-04-11,53.8,54.83,52.61,53.91,288.54675
2020-04-12,54.03,55.75,52.98,53.56,508.03431
2020-04-13,53.41,53.8,51.14,53.14,717.23677
2020-04-14,53.33,55.27,52.92,54.21,283.22093
2020-04-15,53.96,55.11,53.24,53.24,426.06063
2020-04-16,53.06,57.68,51.75,57.0,414.2193
2020-04-17,56.8,57.2,56.06,56.45,317.784
2020-04-18,56.3,59.0,56.1,58.28,2308.60074
2020-04-19,58.0,58.45,56.6,57.9,307.64681
2020-04-20,57.38,58.38,54.25,54.71,299.1195
2020-04-21,55.25,55.8,54.14,55.53,506.01588
2020-04-22,55.04,57.4,54.8,56.99,348.53217
2020-04-23,57.15,61.16,56.32,59.02,469.26829
2020-04-24,59.35,62.39,59.35,60.67,308.58111
