Date,Open,High,Low,Close,Volume
2020-02-11,2.555,9.5,2.555,2.9178,55305.25
2020-02-12,2.9282,3.5792,2.9282,3.3073,121734.35
2020-02-13,3.2929,3.3805,2.9067,3.1182,98794.26
2020-02-14,3.1374,3.5557,3.0595,3.4854,51447.68
2020-02-15,3.5006,3.5424,2.9834,3.1621,64385.81
2020-02-16,3.1935,3.2935,2.7517,3.2484,52372.44
2020-02-17,3.2314,3.2339,2.7683,3.1641,99930.35
2020-02-18,3.1477,3.5491,3.0934,3.4399,75407.81
2020-02-19,3.438,3.9461,3.3558,3.5396,82637.48
2020-02-20,3.5278,3.889,3.442,3.6229,106805.96
2020-02-21,3.5982,3.7542,3.3888,3.4898,75779.44
2020-02-22,3.4637,3.5206,3.2488,3.3167,82162.36
2020-02-23,3.3317,3.5858,3.3289,3.5353,26809.22
2020-02-24,3.5144,3.5144,2.9591,3.1961,118124.73
2020-02-25,3.1843,3.1843,2.7139,2.7879,106870.18
2020-02-26,2.7805,2.9767,2.5247,2.7715,228968.73
2020-02-27,2.748,2.9932,2.55,2.8031,192349.57
2020-02-28,2.8057,2.8988,2.6082,2.7933,112921.65
2020-02-29,2.8011,2.9998,2.7328,2.7446,67726.63
2020-03-01,2.7351,2.8328,2.5734,2.6103,56108.41
2020-03-02,2.6035,2.89,2.5502,2.7905,74750.77
2020-03-03,2.795,2.82,2.65,2.7607,59735.49
2020-03-04,2.7582,3.1,2.7359,3.1,87167.0
2020-03-05,3.13,3.3246,3.0125,3.0798,152573.81
2020-03-06,3.0855,3.2316,3.0348,3.176,83931.71
2020-03-07,3.1697,3.2725,2.9814,2.9893,85766.84
2020-03-08,2.99,2.99,2.5588,2.5818,145219.07
2020-03-09,2.6051,2.6661,2.2675,2.5397,461244.83
2020-03-10,2.5467,2.75,2.4786,2.5873,106042.55
2020-03-11,2.5794,2.6698,2.2983,2.519,115329.01
2020-03-12,2.5195,2.5195,1.2852,1.3229,464223.87
2020-03-13,1.32,1.9398,0.954,1.7679,427512.12
2020-03-14,1.7741,1.8425,1.5398,1.5719,102086.87
2020-03-15,1.5655,1.7602,1.43,1.5364,197769.12
2020-03-16,1.5285,1.5285,1.121,1.3236,325402.93
2020-03-17,1.338,1.4777,1.29,1.3753,86099.94
2020-03-18,1.3894,1.4216,1.289,1.3992,108487.62
