Date,Open,High,Low,Close,Volume
2020-02-27,52.59,55.02,51.96,52.8,252.5006
2020-02-28,52.98,53.86,48.57,50.84,636.01526
2020-02-29,51.27,51.82,49.12,49.12,1207.35857
2020-03-01,48.97,51.2,48.05,49.05,1220.95315
2020-03-02,48.93,52.73,48.78,52.49,796.36551
2020-03-03,52.06,52.06,49.93,50.93,727.29662
2020-03-04,50.79,51.45,48.99,50.25,230.64857
2020-03-05,50.4,53.06,50.4,51.74,737.38855
2020-03-06,52.2,53.21,51.15,53.07,814.57409
2020-03-07,53.25,53.53,50.26,50.81,519.43637
2020-03-08,50.44,50.47,42.1,42.79,1890.6968
2020-03-09,43.18,44.04,38.76,42.0,2112.12635
2020-03-10,42.32,42.57,40.34,41.37,2259.99879
2020-03-11,41.73,42.0,37.57,40.27,944.24955
2020-03-12,40.07,40.14,23.99,25.5,13827.65186
2020-03-13,25.46,29.7,17.22,27.93,8646.7081
2020-03-14,26.3,27.57,24.61,24.83,1022.13276
2020-03-15,25.18,26.88,24.74,25.63,1120.51888
2020-03-16,25.59,25.94,21.38,24.73,437.11162
2020-03-17,24.83,25.8,24.12,25.19,260.06481
2020-03-18,25.23,30.05,24.43,29.81,2157.04896
2020-03-19,29.88,33.83,28.24,32.06,3345.06558
2020-03-20,32.5,36.32,29.79,32.86,3151.86847
2020-03-21,33.02,35.52,32.04,32.99,2309.93807
2020-03-22,32.85,35.4,29.05,29.6,1443.49142
2020-03-23,29.36,33.08,29.03,32.1,561.46901
2020-03-24,32.26,33.46,31.94,32.99,969.06702
2020-03-25,32.73,32.92,30.99,31.96,368.21865
2020-03-26,32.47,32.62,31.29,32.47,421.85541
2020-03-27,32.81,33.03,30.97,31.01,1071.48798
2020-03-28,30.97,30.97,29.21,30.52,769.54498
2020-03-29,30.41,30.41,28.25,28.25,524.46306
2020-03-30,28.31,31.56,28.31,30.6,2117.46353
2020-03-31,30.72,31.83,30.1,31.0,669.44104
2020-04-01,30.95,31.65,29.87,31.4,734.46186
2020-04-02,31.42,33.72,31.09,32.16,1386.57445
2020-04-03,32.13,33.23,31.73,32.65,985.29097
2020-04-04,32.62,33.58,32.01,33.14,785.4853
2020-04-05,33.19,33.41,31.99,32.56,871.70884
2020-04-06,32.69,37.67,32.69,37.67,2647.67647
2020-04-07,38.07,38.27,35.52,36.5,2792.23883
2020-04-08,36.54,38.22,36.41,37.55,1391.30696
2020-04-09,38.01,42.05,37.64,40.83,4186.04154
2020-04-10,40.53,41.23,34.5,36.68,3925.29681
2020-04-11,36.89,37.51,35.46,36.2,1605.47364
2020-04-12,36.41,38.11,35.33,36.37,1887.47991
2020-04-13,36.08,36.12,34.75,35.85,2386.00388
2020-04-14,35.96,36.25,35.21,35.55,2425.47361
2020-04-15,35.4,36.03,34.91,35.1,837.96601
2020-04-16,35.06,40.0,33.94,38.75,8200.53189
2020-04-17,38.91,41.34,38.13,40.51,2226.66158
2020-04-18,40.88,42.58,40.55,42.16,1740.53191
2020-04-19,42.18,47.39,41.64,46.43,3255.55829
2020-04-20,46.17,48.74,40.96,42.08,4873.21868
2020-04-21,42.07,43.43,40.8,42.15,2885.6167
2020-04-22,42.26,45.66,41.72,45.15,1927.07257
2020-04-23,45.79,46.65,43.85,44.14,2002.09628
2020-04-24,44.6,45.28,43.87,44.12,1816.08632
2020-04-25,43.91,45.93,43.52,44.8,1036.93854
2020-04-26,44.62,45.45,43.88,44.59,595.77132
