Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,1.309,1.32,1.308,1.318,358523.0
2022-01-01T00:15:00,1.317,1.322,1.316,1.32,188629.0
2022-01-01T00:30:00,1.32,1.328,1.318,1.327,171351.2
2022-01-01T00:45:00,1.326,1.334,1.324,1.331,738996.2
2022-01-01T01:00:00,1.331,1.334,1.327,1.332,172303.1
2022-01-01T01:15:00,1.332,1.338,1.331,1.333,190806.6
2022-01-01T01:30:00,1.334,1.337,1.329,1.33,77349.1
2022-01-01T01:45:00,1.331,1.333,1.327,1.327,94889.0
2022-01-01T02:00:00,1.327,1.334,1.327,1.332,61640.8
2022-01-01T02:15:00,1.332,1.334,1.329,1.329,54782.0
2022-01-01T02:30:00,1.329,1.33,1.325,1.328,84184.0
2022-01-01T02:45:00,1.329,1.33,1.324,1.326,60842.3
2022-01-01T03:00:00,1.326,1.327,1.325,1.326,84388.5
2022-01-01T03:15:00,1.325,1.329,1.325,1.327,45347.9
2022-01-01T03:30:00,1.326,1.33,1.326,1.328,70748.9
2022-01-01T03:45:00,1.328,1.329,1.325,1.325,93685.8
2022-01-01T04:00:00,1.325,1.327,1.314,1.315,123476.5
2022-01-01T04:15:00,1.316,1.319,1.316,1.317,99944.2
2022-01-01T04:30:00,1.317,1.318,1.311,1.315,105743.6
2022-01-01T04:45:00,1.315,1.316,1.305,1.308,181877.7
2022-01-01T05:00:00,1.308,1.313,1.308,1.313,144485.1
2022-01-01T05:15:00,1.313,1.334,1.312,1.329,187048.8
2022-01-01T05:30:00,1.329,1.338,1.329,1.334,174847.3
2022-01-01T05:45:00,1.333,1.334,1.324,1.327,148498.7
2022-01-01T06:00:00,1.327,1.329,1.322,1.324,203054.8
2022-01-01T06:15:00,1.323,1.324,1.318,1.319,62478.0
2022-01-01T06:30:00,1.319,1.323,1.319,1.319,59753.4
2022-01-01T06:45:00,1.319,1.321,1.316,1.316,129315.1
2022-01-01T07:00:00,1.317,1.319,1.314,1.316,58173.6
2022-01-01T07:15:00,1.317,1.319,1.316,1.319,48855.3
2022-01-01T07:30:00,1.319,1.326,1.318,1.326,52885.0
2022-01-01T07:45:00,1.326,1.328,1.323,1.325,54702.5
2022-01-01T08:00:00,1.324,1.326,1.322,1.325,49418.0
2022-01-01T08:15:00,1.326,1.33,1.325,1.328,72751.8
2022-01-01T08:30:00,1.327,1.329,1.325,1.327,41637.5
2022-01-01T08:45:00,1.327,1.33,1.325,1.326,82088.5
2022-01-01T09:00:00,1.327,1.333,1.324,1.332,81142.4
2022-01-01T09:15:00,1.332,1.332,1.327,1.328,64573.7
2022-01-01T09:30:00,1.328,1.329,1.32,1.322,172052.5
2022-01-01T09:45:00,1.322,1.327,1.321,1.327,112284.6
2022-01-01T10:00:00,1.328,1.333,1.325,1.326,227890.1
2022-01-01T10:15:00,1.325,1.325,1.315,1.316,135798.8
2022-01-01T10:30:00,1.315,1.321,1.31,1.321,269594.6
2022-01-01T10:45:00,1.321,1.323,1.316,1.318,238709.6
2022-01-01T11:00:00,1.318,1.323,1.317,1.322,84958.0
2022-01-01T11:15:00,1.322,1.324,1.32,1.32,77433.5
2022-01-01T11:30:00,1.322,1.323,1.318,1.322,62924.0
2022-01-01T11:45:00,1.322,1.326,1.319,1.319,57758.1
2022-01-01T12:00:00,1.32,1.325,1.319,1.325,87574.7
2022-01-01T12:15:00,1.326,1.327,1.323,1.325,66984.0
2022-01-01T12:30:00,1.324,1.333,1.324,1.33,118337.3
2022-01-01T12:45:00,1.33,1.333,1.33,1.33,44793.5
2022-01-01T13:00:00,1.331,1.339,1.331,1.338,329420.6
2022-01-01T13:15:00,1.338,1.339,1.331,1.332,59800.6
2022-01-01T13:30:00,1.333,1.334,1.328,1.333,96520.6
2022-01-01T13:45:00,1.332,1.332,1.327,1.329,106481.1
2022-01-01T14:00:00,1.33,1.332,1.329,1.331,61827.3
2022-01-01T14:15:00,1.331,1.336,1.331,1.334,81798.4
2022-01-01T14:30:00,1.334,1.334,1.324,1.329,293023.8
2022-01-01T14:45:00,1.328,1.329,1.327,1.328,37248.8
2022-01-01T15:00:00,1.327,1.331,1.326,1.329,75678.6
2022-01-01T15:15:00,1.328,1.332,1.326,1.332,69252.6
2022-01-01T15:30:00,1.332,1.34,1.331,1.335,144574.2
2022-01-01T15:45:00,1.335,1.337,1.331,1.333,185240.1
2022-01-01T16:00:00,1.333,1.34,1.331,1.339,173180.1
2022-01-01T16:15:00,1.339,1.339,1.335,1.337,104503.6
2022-01-01T16:30:00,1.338,1.339,1.334,1.336,68278.4
2022-01-01T16:45:00,1.335,1.337,1.334,1.335,210000.3
2022-01-01T17:00:00,1.335,1.336,1.33,1.331,170430.7
2022-01-01T17:15:00,1.331,1.337,1.331,1.337,70667.8
2022-01-01T17:30:00,1.337,1.35,1.336,1.347,421743.8
2022-01-01T17:45:00,1.346,1.348,1.341,1.346,186716.4
2022-01-01T18:00:00,1.346,1.348,1.341,1.343,180951.5
2022-01-01T18:15:00,1.342,1.345,1.339,1.34,297080.8
2022-01-01T18:30:00,1.341,1.343,1.337,1.339,111576.6
2022-01-01T18:45:00,1.339,1.344,1.339,1.343,84372.5
2022-01-01T19:00:00,1.344,1.346,1.341,1.343,91866.8
2022-01-01T19:15:00,1.342,1.343,1.337,1.341,266608.9
2022-01-01T19:30:00,1.34,1.347,1.339,1.347,339369.5
2022-01-01T19:45:00,1.347,1.348,1.344,1.347,70184.5
2022-01-01T20:00:00,1.347,1.352,1.346,1.349,92196.2
2022-01-01T20:15:00,1.349,1.352,1.345,1.352,56357.0
2022-01-01T20:30:00,1.352,1.359,1.351,1.353,228868.7
2022-01-01T20:45:00,1.353,1.357,1.352,1.354,95559.7
2022-01-01T21:00:00,1.354,1.356,1.35,1.356,103208.8
2022-01-01T21:15:00,1.356,1.363,1.352,1.363,275404.6
2022-01-01T21:30:00,1.363,1.364,1.357,1.363,281963.5
2022-01-01T21:45:00,1.363,1.364,1.357,1.361,134246.8
2022-01-01T22:00:00,1.362,1.363,1.358,1.358,129842.2
2022-01-01T22:15:00,1.357,1.363,1.357,1.362,274801.0
2022-01-01T22:30:00,1.362,1.37,1.361,1.37,60116.0
