Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,32.42,33.04,32.39,32.48,17129.84
2022-01-01T00:15:00,32.45,32.93,32.39,32.93,3949.33
2022-01-01T00:30:00,32.91,33.2,32.82,33.15,4127.37
2022-01-01T00:45:00,33.15,33.49,33.12,33.4,7092.23
2022-01-01T01:00:00,33.41,33.92,33.34,33.81,11665.81
2022-01-01T01:15:00,33.82,33.94,33.48,33.66,6886.24
2022-01-01T01:30:00,33.68,34.0,33.61,33.75,5324.32
2022-01-01T01:45:00,33.73,33.88,33.59,33.67,3706.25
2022-01-01T02:00:00,33.67,33.9,33.63,33.74,5196.4
2022-01-01T02:15:00,33.75,34.2,33.75,34.03,13765.2
2022-01-01T02:30:00,34.09,34.11,33.74,33.75,3525.2
2022-01-01T02:45:00,33.78,33.87,33.73,33.81,2760.32
2022-01-01T03:00:00,33.8,33.87,33.53,33.65,6544.61
2022-01-01T03:15:00,33.6,33.66,33.4,33.48,2608.73
2022-01-01T03:30:00,33.51,33.7,33.51,33.51,2484.32
2022-01-01T03:45:00,33.53,33.56,33.29,33.45,3818.31
2022-01-01T04:00:00,33.45,33.51,32.98,32.98,4973.03
2022-01-01T04:15:00,33.01,33.5,32.98,33.39,4450.55
2022-01-01T04:30:00,33.39,33.69,33.37,33.58,2058.92
2022-01-01T04:45:00,33.59,33.82,33.52,33.73,2349.7
2022-01-01T05:00:00,33.75,33.86,33.42,33.45,3143.58
2022-01-01T05:15:00,33.45,33.98,33.39,33.82,5682.12
2022-01-01T05:30:00,33.87,33.99,33.62,33.66,2805.84
2022-01-01T05:45:00,33.64,33.65,33.42,33.5,2094.1
2022-01-01T06:00:00,33.55,33.89,33.45,33.72,1988.89
2022-01-01T06:15:00,33.76,33.88,33.56,33.56,3621.37
2022-01-01T06:30:00,33.58,33.79,33.55,33.66,4333.15
2022-01-01T06:45:00,33.62,33.69,33.48,33.51,2320.92
2022-01-01T07:00:00,33.5,33.98,33.44,33.96,4961.16
2022-01-01T07:15:00,33.97,33.97,33.63,33.69,2170.33
2022-01-01T07:30:00,33.68,33.85,33.55,33.75,4586.65
2022-01-01T07:45:00,33.76,33.85,33.63,33.69,4599.12
2022-01-01T08:00:00,33.68,33.72,33.53,33.62,30246.15
2022-01-01T08:15:00,33.58,33.69,33.55,33.56,3598.56
2022-01-01T08:30:00,33.55,33.62,33.28,33.35,3931.54
2022-01-01T08:45:00,33.36,33.53,33.34,33.5,2697.28
2022-01-01T09:00:00,33.53,33.53,33.35,33.41,1757.49
2022-01-01T09:15:00,33.4,33.42,33.26,33.36,3762.28
2022-01-01T09:30:00,33.35,33.36,32.97,33.1,4324.48
2022-01-01T09:45:00,33.09,33.35,33.04,33.33,1731.37
2022-01-01T10:00:00,33.33,33.53,33.29,33.29,2319.0
2022-01-01T10:15:00,33.28,33.28,33.0,33.0,3391.71
2022-01-01T10:30:00,33.0,33.27,32.8,33.27,7143.23
2022-01-01T10:45:00,33.28,33.32,33.1,33.23,6861.88
2022-01-01T11:00:00,33.19,33.64,33.13,33.54,4972.19
2022-01-01T11:15:00,33.56,33.9,33.56,33.89,8994.2
2022-01-01T11:30:00,33.88,33.89,33.63,33.69,4179.81
2022-01-01T11:45:00,33.69,33.72,33.34,33.39,2362.02
2022-01-01T12:00:00,33.39,33.92,33.35,33.87,10757.07
2022-01-01T12:15:00,33.88,34.38,33.77,34.37,9680.6
2022-01-01T12:30:00,34.36,34.38,34.01,34.01,8439.27
2022-01-01T12:45:00,34.03,34.21,34.0,34.0,3253.25
2022-01-01T13:00:00,34.05,34.27,33.92,34.09,5007.23
2022-01-01T13:15:00,34.06,34.15,33.95,34.07,2564.09
2022-01-01T13:30:00,34.08,34.3,33.93,34.3,5570.79
2022-01-01T13:45:00,34.29,34.65,34.2,34.38,17824.92
2022-01-01T14:00:00,34.38,34.81,34.38,34.59,13523.37
2022-01-01T14:15:00,34.62,34.96,34.47,34.92,16892.48
2022-01-01T14:30:00,34.91,36.0,34.8,35.18,34739.37
2022-01-01T14:45:00,35.18,35.27,34.89,34.97,9717.59
2022-01-01T15:00:00,34.94,35.1,34.82,34.83,13342.27
2022-01-01T15:15:00,34.84,35.01,34.78,34.98,4898.8
2022-01-01T15:30:00,34.93,35.39,34.93,35.14,10171.7
2022-01-01T15:45:00,35.1,35.36,35.02,35.36,6912.12
2022-01-01T16:00:00,35.34,35.4,35.05,35.1,6549.88
2022-01-01T16:15:00,35.06,35.37,34.89,35.34,12433.79
2022-01-01T16:30:00,35.35,35.82,35.21,35.72,18285.26
2022-01-01T16:45:00,35.72,35.74,35.42,35.45,7300.82
2022-01-01T17:00:00,35.47,35.89,35.47,35.73,5244.34
2022-01-01T17:15:00,35.75,36.22,35.75,36.14,19592.39
2022-01-01T17:30:00,36.16,36.5,35.95,36.44,12886.57
