Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,26.68,26.91,26.67,26.84,9660.42
2022-01-01T00:15:00,26.8,27.01,26.76,26.98,6059.04
2022-01-01T00:30:00,26.96,27.19,26.93,27.13,7388.08
2022-01-01T00:45:00,27.13,27.28,27.1,27.25,3639.67
2022-01-01T01:00:00,27.24,27.31,27.11,27.31,3766.1
2022-01-01T01:15:00,27.31,27.44,27.28,27.36,8168.95
2022-01-01T01:30:00,27.37,27.44,27.28,27.3,3410.66
2022-01-01T01:45:00,27.31,27.32,27.18,27.22,2513.05
2022-01-01T02:00:00,27.23,27.34,27.23,27.3,2909.85
2022-01-01T02:15:00,27.31,27.37,27.24,27.26,4302.39
2022-01-01T02:30:00,27.26,27.26,27.11,27.14,2930.39
2022-01-01T02:45:00,27.15,27.26,27.13,27.19,2484.33
2022-01-01T03:00:00,27.19,27.24,27.17,27.21,2045.83
2022-01-01T03:15:00,27.21,27.26,27.15,27.18,1530.27
2022-01-01T03:30:00,27.18,27.28,27.16,27.27,2377.84
2022-01-01T03:45:00,27.28,27.32,27.18,27.18,1916.27
2022-01-01T04:00:00,27.18,27.29,26.98,26.99,3012.1
2022-01-01T04:15:00,27.0,27.03,26.94,26.96,4412.09
2022-01-01T04:30:00,26.96,27.01,26.88,26.96,6377.35
2022-01-01T04:45:00,26.96,27.14,26.89,26.92,20343.48
2022-01-01T05:00:00,26.91,26.98,26.85,26.97,6222.68
2022-01-01T05:15:00,26.98,27.39,26.94,27.36,6095.69
2022-01-01T05:30:00,27.37,27.51,27.26,27.29,11777.17
2022-01-01T05:45:00,27.28,27.28,27.16,27.24,3748.9
2022-01-01T06:00:00,27.24,27.35,27.17,27.33,1716.44
2022-01-01T06:15:00,27.32,27.32,27.19,27.19,2297.89
2022-01-01T06:30:00,27.2,27.3,27.19,27.21,2405.05
2022-01-01T06:45:00,27.2,27.26,27.13,27.15,7151.87
2022-01-01T07:00:00,27.15,27.22,27.12,27.21,2309.63
2022-01-01T07:15:00,27.21,27.37,27.21,27.33,6966.86
2022-01-01T07:30:00,27.35,27.4,27.28,27.4,3225.77
2022-01-01T07:45:00,27.41,27.43,27.32,27.37,4511.38
2022-01-01T08:00:00,27.38,27.38,27.24,27.32,2817.6
2022-01-01T08:15:00,27.33,27.43,27.29,27.39,5841.37
2022-01-01T08:30:00,27.39,27.39,27.26,27.31,5222.92
2022-01-01T08:45:00,27.32,27.38,27.24,27.26,3235.7
2022-01-01T09:00:00,27.26,27.32,27.21,27.3,6085.68
2022-01-01T09:15:00,27.3,27.3,27.17,27.19,2967.06
2022-01-01T09:30:00,27.2,27.23,27.08,27.12,3122.31
2022-01-01T09:45:00,27.11,27.26,27.09,27.25,6738.7
2022-01-01T10:00:00,27.26,27.3,27.14,27.15,7666.12
2022-01-01T10:15:00,27.15,27.15,26.95,26.98,5703.59
2022-01-01T10:30:00,26.97,27.14,26.87,27.14,7996.01
2022-01-01T10:45:00,27.14,27.21,27.02,27.05,3350.64
2022-01-01T11:00:00,27.05,27.16,27.04,27.14,2615.75
2022-01-01T11:15:00,27.14,27.2,27.08,27.14,2220.21
2022-01-01T11:30:00,27.14,27.16,27.02,27.15,2957.87
2022-01-01T11:45:00,27.13,27.17,27.02,27.02,2894.34
2022-01-01T12:00:00,27.04,27.16,26.92,27.14,10110.66
2022-01-01T12:15:00,27.14,27.15,27.03,27.08,3410.66
2022-01-01T12:30:00,27.09,27.27,27.08,27.23,6510.36
2022-01-01T12:45:00,27.22,27.34,27.22,27.26,6514.27
2022-01-01T13:00:00,27.28,27.33,27.21,27.31,4221.3
2022-01-01T13:15:00,27.3,27.32,27.14,27.19,4571.5
2022-01-01T13:30:00,27.21,27.27,27.1,27.25,2753.53
2022-01-01T13:45:00,27.24,27.29,27.13,27.2,2692.51
2022-01-01T14:00:00,27.2,27.26,27.18,27.18,1360.64
2022-01-01T14:15:00,27.18,27.31,27.18,27.28,1635.04
2022-01-01T14:30:00,27.29,27.3,27.12,27.21,7227.96
2022-01-01T14:45:00,27.2,27.26,27.15,27.22,4398.18
2022-01-01T15:00:00,27.21,27.35,27.18,27.29,4534.42
2022-01-01T15:15:00,27.27,27.46,27.25,27.45,14800.59
2022-01-01T15:30:00,27.46,27.72,27.41,27.64,26802.65
2022-01-01T15:45:00,27.63,27.67,27.53,27.58,9702.92
2022-01-01T16:00:00,27.58,27.75,27.56,27.7,18389.1
2022-01-01T16:15:00,27.69,27.76,27.62,27.73,9824.34
2022-01-01T16:30:00,27.73,27.73,27.59,27.6,6864.84
