Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,3.035,3.05,3.035,3.043,12291.7
2022-01-01T00:15:00,3.045,3.052,3.04,3.047,4551.6
2022-01-01T00:30:00,3.047,3.066,3.047,3.064,23341.6
2022-01-01T00:45:00,3.063,3.079,3.061,3.073,21064.1
2022-01-01T01:00:00,3.073,3.078,3.065,3.078,6451.0
2022-01-01T01:15:00,3.078,3.088,3.077,3.08,8661.0
2022-01-01T01:30:00,3.081,3.085,3.077,3.078,5039.3
2022-01-01T01:45:00,3.077,3.077,3.069,3.069,2517.9
2022-01-01T02:00:00,3.07,3.079,3.07,3.077,7623.2
2022-01-01T02:15:00,3.08,3.082,3.076,3.076,1086.8
2022-01-01T02:30:00,3.076,3.076,3.071,3.076,970.0
2022-01-01T02:45:00,3.077,3.079,3.075,3.075,814.1
2022-01-01T03:00:00,3.079,3.083,3.078,3.083,3992.9
2022-01-01T03:15:00,3.083,3.087,3.077,3.079,4090.1
2022-01-01T03:30:00,3.078,3.08,3.075,3.077,2886.2
2022-01-01T03:45:00,3.078,3.079,3.075,3.076,511.7
2022-01-01T04:00:00,3.076,3.076,3.057,3.06,7688.7
2022-01-01T04:15:00,3.062,3.062,3.054,3.062,15856.3
2022-01-01T04:30:00,3.064,3.064,3.059,3.062,157.5
2022-01-01T04:45:00,3.064,3.069,3.056,3.059,70902.4
2022-01-01T05:00:00,3.061,3.062,3.055,3.061,1493.2
2022-01-01T05:15:00,3.062,3.1,3.062,3.093,15235.3
2022-01-01T05:30:00,3.093,3.105,3.089,3.09,5837.2
2022-01-01T05:45:00,3.088,3.09,3.082,3.082,655.9
2022-01-01T06:00:00,3.082,3.09,3.081,3.09,24878.6
2022-01-01T06:15:00,3.09,3.09,3.081,3.081,2023.4
2022-01-01T06:30:00,3.08,3.083,3.076,3.079,5006.8
2022-01-01T06:45:00,3.078,3.083,3.07,3.071,4608.4
2022-01-01T07:00:00,3.072,3.074,3.067,3.068,4096.6
2022-01-01T07:15:00,3.071,3.075,3.071,3.071,793.2
2022-01-01T07:30:00,3.071,3.078,3.071,3.078,2021.6
2022-01-01T07:45:00,3.079,3.081,3.076,3.081,5457.5
2022-01-01T08:00:00,3.077,3.079,3.075,3.079,2590.5
2022-01-01T08:15:00,3.08,3.086,3.08,3.086,1670.3
2022-01-01T08:30:00,3.084,3.084,3.079,3.079,3082.0
2022-01-01T08:45:00,3.08,3.085,3.075,3.078,6266.7
2022-01-01T09:00:00,3.077,3.082,3.073,3.082,862.6
2022-01-01T09:15:00,3.081,3.081,3.073,3.075,3088.3
2022-01-01T09:30:00,3.077,3.077,3.058,3.065,23107.4
2022-01-01T09:45:00,3.065,3.069,3.062,3.069,5170.6
2022-01-01T10:00:00,3.07,3.077,3.07,3.072,2383.1
2022-01-01T10:15:00,3.069,3.069,3.048,3.051,12585.3
2022-01-01T10:30:00,3.05,3.066,3.045,3.066,8467.0
2022-01-01T10:45:00,3.067,3.07,3.057,3.062,3840.7
2022-01-01T11:00:00,3.061,3.066,3.06,3.065,1438.2
2022-01-01T11:15:00,3.065,3.069,3.063,3.064,6727.8
2022-01-01T11:30:00,3.066,3.066,3.056,3.062,2844.9
2022-01-01T11:45:00,3.063,3.064,3.054,3.054,2656.9
2022-01-01T12:00:00,3.053,3.062,3.049,3.062,7524.1
2022-01-01T12:15:00,3.062,3.063,3.059,3.059,2659.7
2022-01-01T12:30:00,3.062,3.076,3.062,3.073,11599.2
2022-01-01T12:45:00,3.074,3.076,3.069,3.07,4162.6
2022-01-01T13:00:00,3.074,3.074,3.067,3.073,4360.7
2022-01-01T13:15:00,3.073,3.078,3.065,3.071,6775.8
2022-01-01T13:30:00,3.069,3.071,3.061,3.07,1355.6
2022-01-01T13:45:00,3.066,3.069,3.064,3.067,2560.1
2022-01-01T14:00:00,3.068,3.068,3.061,3.066,516.6
2022-01-01T14:15:00,3.066,3.073,3.063,3.063,9169.8
2022-01-01T14:30:00,3.064,3.069,3.057,3.066,8970.0
2022-01-01T14:45:00,3.065,3.07,3.065,3.07,341.8
2022-01-01T15:00:00,3.067,3.072,3.066,3.066,2631.3
2022-01-01T15:15:00,3.065,3.074,3.064,3.074,5911.1
2022-01-01T15:30:00,3.074,3.092,3.073,3.08,35477.9
2022-01-01T15:45:00,3.082,3.087,3.074,3.078,11542.0
2022-01-01T16:00:00,3.076,3.09,3.073,3.086,8416.2
2022-01-01T16:15:00,3.088,3.093,3.085,3.092,9990.6
2022-01-01T16:30:00,3.092,3.093,3.086,3.088,3950.7
2022-01-01T16:45:00,3.087,3.088,3.076,3.076,5563.1
2022-01-01T17:00:00,3.078,3.08,3.075,3.076,5628.0
2022-01-01T17:15:00,3.078,3.087,3.078,3.087,1954.0
2022-01-01T17:30:00,3.089,3.112,3.089,3.107,16942.4
2022-01-01T17:45:00,3.109,3.11,3.097,3.102,12638.2
2022-01-01T18:00:00,3.103,3.109,3.095,3.106,4384.7
2022-01-01T18:15:00,3.107,3.109,3.097,3.097,12701.9
2022-01-01T18:30:00,3.098,3.1,3.091,3.092,3586.4
2022-01-01T18:45:00,3.093,3.1,3.093,3.098,2084.6
2022-01-01T19:00:00,3.1,3.109,3.1,3.102,14752.9
2022-01-01T19:15:00,3.102,3.107,3.096,3.103,2017.3
2022-01-01T19:30:00,3.105,3.105,3.1,3.1,498.1
2022-01-01T19:45:00,3.103,3.105,3.101,3.104,505.3
2022-01-01T20:00:00,3.105,3.107,3.101,3.106,819.3
2022-01-01T20:15:00,3.103,3.106,3.098,3.104,9690.0
2022-01-01T20:30:00,3.107,3.117,3.106,3.106,3947.7
2022-01-01T20:45:00,3.106,3.109,3.105,3.108,18195.8
2022-01-01T21:00:00,3.108,3.119,3.107,3.116,6217.8
2022-01-01T21:15:00,3.117,3.117,3.107,3.107,4074.3
2022-01-01T21:30:00,3.108,3.117,3.108,3.108,7038.0
2022-01-01T21:45:00,3.112,3.112,3.097,3.103,6672.0
2022-01-01T22:00:00,3.102,3.103,3.098,3.101,6182.1
2022-01-01T22:15:00,3.101,3.109,3.101,3.108,2183.2
2022-01-01T22:30:00,3.106,3.11,3.106,3.108,437.0
2022-01-01T22:45:00,3.11,3.115,3.108,3.11,16787.3
2022-01-01T23:00:00,3.107,3.108,3.104,3.104,2398.2
2022-01-01T23:15:00,3.105,3.113,3.105,3.113,3721.9
2022-01-01T23:30:00,3.111,3.118,3.109,3.113,3097.0
2022-01-01T23:45:00,3.115,3.16,3.113,3.156,48128.3
2022-01-02T00:00:00,3.156,3.172,3.141,3.165,72984.9
2022-01-02T00:15:00,3.163,3.165,3.148,3.153,22172.2
2022-01-02T00:30:00,3.152,3.176,3.152,3.171,35001.8
2022-01-02T00:45:00,3.169,3.173,3.164,3.166,8651.6
2022-01-02T01:00:00,3.166,3.166,3.154,3.154,7401.6
2022-01-02T01:15:00,3.157,3.16,3.155,3.156,6096.5
2022-01-02T01:30:00,3.156,3.157,3.149,3.156,2286.5
2022-01-02T01:45:00,3.157,3.159,3.152,3.155,3373.6
2022-01-02T02:00:00,3.154,3.164,3.154,3.164,3630.1
2022-01-02T02:15:00,3.163,3.168,3.159,3.159,5611.6
2022-01-02T02:30:00,3.158,3.175,3.157,3.172,26227.9
2022-01-02T02:45:00,3.172,3.201,3.17,3.192,62492.6
2022-01-02T03:00:00,3.194,3.196,3.186,3.186,4579.4
2022-01-02T03:15:00,3.186,3.186,3.179,3.181,20612.8
2022-01-02T03:30:00,3.181,3.195,3.179,3.185,14953.9
2022-01-02T03:45:00,3.184,3.184,3.176,3.182,8538.2
2022-01-02T04:00:00,3.18,3.182,3.176,3.182,2085.4
2022-01-02T04:15:00,3.18,3.18,3.173,3.175,8585.1
2022-01-02T04:30:00,3.176,3.176,3.166,3.168,7866.3
2022-01-02T04:45:00,3.166,3.166,3.141,3.15,14979.4
2022-01-02T05:00:00,3.146,3.158,3.146,3.153,9107.2
2022-01-02T05:15:00,3.15,3.156,3.148,3.154,3138.6
2022-01-02T05:30:00,3.156,3.162,3.154,3.157,5679.2
2022-01-02T05:45:00,3.156,3.165,3.153,3.163,5839.8
2022-01-02T06:00:00,3.163,3.163,3.144,3.147,5807.2
2022-01-02T06:15:00,3.147,3.153,3.147,3.153,1077.6
2022-01-02T06:30:00,3.147,3.15,3.138,3.146,8902.2
2022-01-02T06:45:00,3.146,3.147,3.143,3.144,1826.1
2022-01-02T07:00:00,3.144,3.146,3.141,3.142,3289.0
2022-01-02T07:15:00,3.143,3.147,3.143,3.146,2529.3
2022-01-02T07:30:00,3.146,3.154,3.146,3.146,3095.2
2022-01-02T07:45:00,3.144,3.15,3.144,3.148,4094.6
2022-01-02T08:00:00,3.148,3.149,3.134,3.139,8067.1
