Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,34.07,34.23,34.07,34.17,206.2
2022-01-01T00:15:00,34.18,34.26,34.18,34.24,121.15
2022-01-01T00:30:00,34.26,34.47,34.25,34.45,115.08
2022-01-01T00:45:00,34.43,34.59,34.43,34.53,460.84
2022-01-01T01:00:00,34.51,34.54,34.44,34.53,198.79
2022-01-01T01:15:00,34.56,34.67,34.55,34.58,213.12
2022-01-01T01:30:00,34.57,34.6,34.54,34.57,104.39
2022-01-01T01:45:00,34.52,34.57,34.48,34.51,97.84
2022-01-01T02:00:00,34.5,34.55,34.5,34.52,90.12
2022-01-01T02:15:00,34.59,34.59,34.54,34.54,50.7
2022-01-01T02:30:00,34.54,34.54,34.45,34.49,588.68
2022-01-01T02:45:00,34.46,34.49,34.45,34.45,224.76
2022-01-01T03:00:00,34.45,34.45,34.4,34.4,85.54
2022-01-01T03:15:00,34.43,34.43,34.38,34.4,7.4
2022-01-01T03:30:00,34.39,34.41,34.38,34.41,84.35
2022-01-01T03:45:00,34.4,34.4,34.34,34.34,12.79
2022-01-01T04:00:00,34.38,34.41,34.16,34.19,48.91
2022-01-01T04:15:00,34.2,34.25,34.2,34.22,8.76
2022-01-01T04:30:00,34.24,34.24,34.18,34.23,62.99
2022-01-01T04:45:00,34.23,34.27,34.17,34.17,243.38
2022-01-01T05:00:00,34.16,34.2,34.15,34.2,170.23
2022-01-01T05:15:00,34.23,34.59,34.23,34.56,391.32
2022-01-01T05:30:00,34.59,34.7,34.51,34.51,75.86
2022-01-01T05:45:00,34.47,34.47,34.4,34.4,13.65
2022-01-01T06:00:00,34.4,34.46,34.4,34.45,98.21
2022-01-01T06:15:00,34.45,34.45,34.34,34.34,291.32
2022-01-01T06:30:00,34.39,34.39,34.32,34.32,197.34
2022-01-01T06:45:00,34.33,34.37,34.28,34.29,91.25
2022-01-01T07:00:00,34.26,34.33,34.26,34.3,245.18
2022-01-01T07:15:00,34.33,34.35,34.21,34.32,1864.22
2022-01-01T07:30:00,34.32,34.45,34.32,34.45,200.42
2022-01-01T07:45:00,34.45,34.48,34.39,34.44,283.52
2022-01-01T08:00:00,34.44,34.44,34.34,34.38,10.25
2022-01-01T08:15:00,34.39,34.46,34.39,34.46,183.9
2022-01-01T08:30:00,34.42,34.42,34.42,34.42,2.82
