Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,8.85,8.86,8.8,8.81,1761.92
2022-01-01T00:15:00,8.81,8.81,8.8,8.8,137.32
2022-01-01T00:30:00,8.81,8.85,8.81,8.84,517.7
2022-01-01T00:45:00,8.86,8.87,8.86,8.86,525.31
2022-01-01T01:00:00,8.87,8.88,8.87,8.88,30.44
2022-01-01T01:15:00,8.89,8.92,8.88,8.91,854.12
2022-01-01T01:30:00,8.9,8.9,8.89,8.89,29.82
2022-01-01T01:45:00,8.89,8.89,8.87,8.89,320.16
2022-01-01T02:00:00,8.89,8.89,8.89,8.89,546.6
2022-01-01T02:15:00,8.9,8.91,8.88,8.88,104.31
2022-01-01T02:30:00,8.88,8.9,8.88,8.9,527.72
2022-01-01T02:45:00,8.9,8.92,8.9,8.92,3258.8
2022-01-01T03:00:00,8.91,8.93,8.91,8.93,4442.89
2022-01-01T03:15:00,8.94,8.94,8.93,8.94,288.91
2022-01-01T03:30:00,8.92,8.93,8.9,8.9,2154.04
2022-01-01T03:45:00,8.9,8.91,8.88,8.88,2457.25
2022-01-01T04:00:00,8.9,8.9,8.89,8.89,266.17
2022-01-01T04:15:00,8.88,8.88,8.88,8.88,661.26
2022-01-01T04:30:00,8.86,8.86,8.86,8.86,3.86
2022-01-01T04:45:00,8.87,8.88,8.87,8.87,227.95
2022-01-01T05:00:00,8.89,8.9,8.88,8.9,133.39
2022-01-01T05:15:00,8.9,8.97,8.88,8.96,202.54
2022-01-01T05:30:00,8.97,8.97,8.94,8.94,609.17
2022-01-01T05:45:00,8.93,8.93,8.92,8.92,49.58
2022-01-01T06:00:00,8.93,8.93,8.93,8.93,315.44
2022-01-01T06:15:00,8.92,8.92,8.92,8.92,10.34
2022-01-01T06:30:00,8.92,8.93,8.92,8.93,15.25
2022-01-01T06:45:00,8.93,8.93,8.89,8.89,174.61
2022-01-01T07:00:00,8.89,8.91,8.89,8.89,967.79
2022-01-01T07:15:00,8.9,8.9,8.89,8.89,245.93
2022-01-01T07:30:00,8.91,8.91,8.9,8.9,41.95
2022-01-01T07:45:00,8.9,8.91,8.89,8.89,181.61
2022-01-01T08:00:00,8.89,8.89,8.89,8.89,401.68
2022-01-01T08:15:00,8.91,8.92,8.91,8.91,602.5
2022-01-01T08:30:00,8.91,8.91,8.89,8.91,726.21
2022-01-01T08:45:00,8.91,8.91,8.91,8.91,341.47
2022-01-01T09:00:00,8.92,8.92,8.91,8.91,14.21
2022-01-01T09:15:00,8.9,8.91,8.9,8.91,547.3
2022-01-01T09:30:00,8.89,8.89,8.87,8.87,86.98
2022-01-01T09:45:00,8.86,8.88,8.86,8.88,460.29
2022-01-01T10:00:00,8.89,8.9,8.89,8.9,124.58
2022-01-01T10:15:00,8.89,8.9,8.88,8.88,940.4
2022-01-01T10:30:00,8.86,8.86,8.82,8.85,1848.95
2022-01-01T10:45:00,8.87,8.87,8.85,8.85,48.78
2022-01-01T11:00:00,8.86,8.86,8.85,8.85,27.1
2022-01-01T11:15:00,8.86,8.86,8.86,8.86,3.27
2022-01-01T11:30:00,8.83,8.85,8.83,8.84,471.11
2022-01-01T11:45:00,8.85,8.85,8.82,8.82,243.62
2022-01-01T12:00:00,8.82,8.84,8.82,8.84,102.99
2022-01-01T12:15:00,8.84,8.84,8.84,8.84,0.0
2022-01-01T12:30:00,8.86,8.89,8.86,8.89,98.08
2022-01-01T12:45:00,8.9,8.9,8.89,8.89,65.88
2022-01-01T13:00:00,8.89,8.89,8.89,8.89,34.31
2022-01-01T13:15:00,8.9,8.9,8.88,8.88,54.76
2022-01-01T13:30:00,8.89,8.9,8.89,8.9,17.51
2022-01-01T13:45:00,8.9,8.9,8.88,8.88,98.51
2022-01-01T14:00:00,8.9,8.91,8.9,8.91,520.02
2022-01-01T14:15:00,8.9,8.91,8.89,8.91,690.85
