Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,38.26,38.52,38.26,38.38,1518.82
2022-01-01T00:15:00,38.42,38.49,38.35,38.46,552.21
2022-01-01T00:30:00,38.5,38.72,38.5,38.71,3370.35
2022-01-01T00:45:00,38.71,38.81,38.71,38.77,2810.92
2022-01-01T01:00:00,38.77,38.86,38.69,38.86,185.23
2022-01-01T01:15:00,38.86,38.97,38.86,38.91,694.57
2022-01-01T01:30:00,38.91,38.96,38.9,38.9,22.07
2022-01-01T01:45:00,38.88,38.92,38.82,38.83,55.59
2022-01-01T02:00:00,38.89,38.9,38.85,38.88,493.79
2022-01-01T02:15:00,38.92,38.98,38.91,38.96,1051.92
2022-01-01T02:30:00,38.95,39.02,38.85,39.01,3616.13
2022-01-01T02:45:00,39.01,39.05,38.94,38.94,2687.36
2022-01-01T03:00:00,38.97,38.97,38.94,38.97,68.6
2022-01-01T03:15:00,38.99,39.0,38.94,38.96,83.72
2022-01-01T03:30:00,38.98,39.04,38.98,39.04,395.24
2022-01-01T03:45:00,39.02,39.03,38.97,38.97,33.09
2022-01-01T04:00:00,39.0,39.04,38.84,38.84,670.68
2022-01-01T04:15:00,38.85,38.92,38.85,38.88,542.44
2022-01-01T04:30:00,38.9,38.9,38.7,38.86,1061.84
2022-01-01T04:45:00,38.86,38.9,38.79,38.79,34.9
2022-01-01T05:00:00,38.77,38.79,38.74,38.78,272.58
2022-01-01T05:15:00,38.88,39.4,38.87,39.35,1719.41
2022-01-01T05:30:00,39.41,39.48,39.19,39.24,1858.03
2022-01-01T05:45:00,39.2,39.24,39.14,39.14,140.89
2022-01-01T06:00:00,39.14,39.31,39.14,39.29,334.7
2022-01-01T06:15:00,39.26,39.36,39.22,39.23,4787.21
2022-01-01T06:30:00,39.23,39.32,39.23,39.27,3534.43
2022-01-01T06:45:00,39.25,39.3,39.14,39.14,1461.82
2022-01-01T07:00:00,39.13,39.21,39.11,39.11,109.51
2022-01-01T07:15:00,39.2,39.2,39.15,39.15,18.88
2022-01-01T07:30:00,39.22,39.27,39.17,39.22,145.43
2022-01-01T07:45:00,39.29,39.37,39.27,39.37,621.1
2022-01-01T08:00:00,39.27,39.3,39.23,39.24,428.59
2022-01-01T08:15:00,39.32,39.44,39.32,39.36,2326.04
2022-01-01T08:30:00,39.35,39.37,39.32,39.35,228.81
2022-01-01T08:45:00,39.39,39.39,39.3,39.32,79.11
2022-01-01T09:00:00,39.32,39.39,39.32,39.39,26.46
2022-01-01T09:15:00,39.35,39.35,39.31,39.31,39.07
2022-01-01T09:30:00,39.31,39.31,39.19,39.19,186.49
2022-01-01T09:45:00,39.27,39.4,39.23,39.4,223.68
2022-01-01T10:00:00,39.37,39.44,39.31,39.31,430.68
2022-01-01T10:15:00,39.26,39.27,39.09,39.11,514.38
2022-01-01T10:30:00,39.08,39.19,38.94,39.18,6937.99
2022-01-01T10:45:00,39.18,39.24,39.08,39.1,520.77
2022-01-01T11:00:00,39.13,39.17,39.11,39.14,391.53
2022-01-01T11:15:00,39.15,39.2,39.12,39.18,1872.16
2022-01-01T11:30:00,39.14,39.21,39.14,39.21,325.06
