Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,37.82,38.69,37.82,38.53,991.78
2022-01-01T00:15:00,38.52,38.68,38.3,38.56,110.69
2022-01-01T00:30:00,38.56,38.63,38.41,38.62,113.0
2022-01-01T00:45:00,38.53,39.0,38.5,38.94,371.72
2022-01-01T01:00:00,39.0,39.0,38.63,38.93,776.64
2022-01-01T01:15:00,38.84,39.38,38.72,39.34,972.66
2022-01-01T01:30:00,39.37,39.4,39.04,39.04,152.64
2022-01-01T01:45:00,39.03,39.63,39.01,39.63,844.89
2022-01-01T02:00:00,39.63,39.79,39.21,39.33,1333.31
2022-01-01T02:15:00,39.48,39.58,39.48,39.54,171.65
2022-01-01T02:30:00,39.58,39.78,39.58,39.77,373.75
2022-01-01T02:45:00,39.76,40.09,39.7,40.01,1176.91
2022-01-01T03:00:00,39.93,40.0,39.63,39.63,286.31
2022-01-01T03:15:00,39.71,39.73,39.44,39.68,1266.58
2022-01-01T03:30:00,39.73,39.78,39.44,39.5,519.52
2022-01-01T03:45:00,39.55,39.55,39.28,39.36,359.17
2022-01-01T04:00:00,39.31,39.4,39.1,39.11,516.16
2022-01-01T04:15:00,39.18,39.68,39.18,39.68,132.37
2022-01-01T04:30:00,39.75,40.1,39.35,39.41,600.23
2022-01-01T04:45:00,39.52,39.82,39.47,39.51,222.58
2022-01-01T05:00:00,39.57,40.15,39.52,39.95,620.25
2022-01-01T05:15:00,39.94,40.03,39.79,39.95,212.64
2022-01-01T05:30:00,40.01,40.06,39.85,39.87,202.08
2022-01-01T05:45:00,39.82,39.94,39.57,39.63,852.97
2022-01-01T06:00:00,39.64,39.76,39.55,39.76,160.61
2022-01-01T06:15:00,39.76,39.89,39.76,39.88,85.56
2022-01-01T06:30:00,39.88,39.88,39.67,39.67,107.75
2022-01-01T06:45:00,39.74,39.74,39.27,39.37,157.08
2022-01-01T07:00:00,39.34,39.41,39.2,39.41,390.82
2022-01-01T07:15:00,39.38,39.5,39.12,39.12,324.72
2022-01-01T07:30:00,39.11,39.13,38.64,38.72,5179.24
2022-01-01T07:45:00,38.84,38.9,38.73,38.79,158.2
2022-01-01T08:00:00,38.79,38.93,38.79,38.9,267.74
2022-01-01T08:15:00,38.96,39.17,38.96,39.16,221.68
2022-01-01T08:30:00,39.13,39.18,38.95,39.01,239.61
2022-01-01T08:45:00,39.02,39.02,38.87,38.87,79.95
2022-01-01T09:00:00,38.99,39.02,38.9,38.99,63.72
2022-01-01T09:15:00,39.01,39.05,38.91,38.96,362.43
2022-01-01T09:30:00,38.96,39.13,38.56,38.61,534.45
2022-01-01T09:45:00,38.65,38.83,38.65,38.83,208.31
2022-01-01T10:00:00,38.86,38.98,38.7,38.94,399.28
2022-01-01T10:15:00,38.76,38.81,38.55,38.55,285.11
2022-01-01T10:30:00,38.55,38.97,38.52,38.97,203.11
2022-01-01T10:45:00,38.95,39.55,38.95,39.51,487.7
2022-01-01T11:00:00,39.42,39.42,39.08,39.16,307.97
2022-01-01T11:15:00,39.25,39.25,38.92,38.99,529.24
2022-01-01T11:30:00,39.0,39.05,38.93,39.03,104.3
2022-01-01T11:45:00,39.09,39.28,38.93,39.06,374.37
2022-01-01T12:00:00,39.1,39.23,39.07,39.18,115.63
2022-01-01T12:15:00,39.15,39.21,39.03,39.06,162.33
2022-01-01T12:30:00,39.12,39.96,39.12,39.9,1457.42
2022-01-01T12:45:00,39.84,40.21,39.82,40.07,2189.18
2022-01-01T13:00:00,40.01,40.45,39.94,40.08,1772.9
2022-01-01T13:15:00,40.06,40.11,39.78,39.9,249.27
2022-01-01T13:30:00,39.94,40.04,39.71,40.0,210.7
2022-01-01T13:45:00,39.94,39.98,39.61,39.69,263.62
2022-01-01T14:00:00,39.69,39.78,39.63,39.72,235.59
2022-01-01T14:15:00,39.9,39.9,39.46,39.46,694.78
2022-01-01T14:30:00,39.51,39.6,39.42,39.54,134.63
2022-01-01T14:45:00,39.56,39.62,39.37,39.42,241.39
2022-01-01T15:00:00,39.42,39.48,39.41,39.41,213.27
2022-01-01T15:15:00,39.37,39.55,39.3,39.55,251.62
2022-01-01T15:30:00,39.5,40.03,39.5,39.83,1649.24
2022-01-01T15:45:00,39.88,40.06,39.53,39.85,669.58
2022-01-01T16:00:00,39.74,39.95,39.65,39.65,117.27
2022-01-01T16:15:00,39.68,39.76,39.54,39.65,1207.78
2022-01-01T16:30:00,39.65,39.65,39.37,39.38,535.24
2022-01-01T16:45:00,39.38,39.38,39.25,39.3,575.06
2022-01-01T17:00:00,39.35,39.5,39.33,39.33,1375.29
2022-01-01T17:15:00,39.37,39.47,39.32,39.47,89.37
2022-01-01T17:30:00,39.48,39.84,39.48,39.82,291.76
2022-01-01T17:45:00,39.82,39.84,39.63,39.63,182.88
2022-01-01T18:00:00,39.6,39.6,39.52,39.52,54.99
2022-01-01T18:15:00,39.51,39.59,39.36,39.36,132.61
2022-01-01T18:30:00,39.46,39.54,39.32,39.43,163.09
2022-01-01T18:45:00,39.44,39.64,39.44,39.63,187.13
2022-01-01T19:00:00,39.63,39.68,39.57,39.57,59.2
2022-01-01T19:15:00,39.55,39.64,39.47,39.63,140.43
2022-01-01T19:30:00,39.61,39.61,39.45,39.45,74.57
2022-01-01T19:45:00,39.44,39.49,39.37,39.38,218.39
2022-01-01T20:00:00,39.39,39.71,39.39,39.71,235.93
2022-01-01T20:15:00,39.61,39.73,39.6,39.7,496.19
2022-01-01T20:30:00,39.75,39.91,39.72,39.72,852.91
2022-01-01T20:45:00,39.7,39.78,39.58,39.58,148.48
2022-01-01T21:00:00,39.58,39.59,39.48,39.59,223.96
2022-01-01T21:15:00,39.56,39.63,39.46,39.46,233.45
2022-01-01T21:30:00,39.44,39.52,39.38,39.38,344.35
2022-01-01T21:45:00,39.38,39.48,39.27,39.39,196.12
2022-01-01T22:00:00,39.39,39.44,39.35,39.35,9.55
2022-01-01T22:15:00,39.43,39.49,39.32,39.48,55.17
2022-01-01T22:30:00,39.45,39.48,39.36,39.48,115.46
2022-01-01T22:45:00,39.5,39.54,39.4,39.51,122.93
2022-01-01T23:00:00,39.54,39.55,39.34,39.39,146.99
2022-01-01T23:15:00,39.42,39.49,39.37,39.49,238.21
2022-01-01T23:30:00,39.48,39.74,39.48,39.74,52.13
2022-01-01T23:45:00,39.75,39.82,39.58,39.82,207.57
2022-01-02T00:00:00,39.82,39.9,39.44,39.5,298.65
2022-01-02T00:15:00,39.47,39.52,39.31,39.52,168.28
2022-01-02T00:30:00,39.48,39.56,39.39,39.52,226.41
2022-01-02T00:45:00,39.41,39.41,39.32,39.39,215.8
2022-01-02T01:00:00,39.35,39.37,39.05,39.05,226.69
2022-01-02T01:15:00,39.07,39.17,39.07,39.17,17.23
2022-01-02T01:30:00,39.07,39.1,38.86,39.05,390.87
