Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,19.53,19.64,19.51,19.61,3595.16
2022-01-01T00:15:00,19.6,19.67,19.56,19.66,1633.49
2022-01-01T00:30:00,19.65,19.84,19.65,19.84,3665.13
2022-01-01T00:45:00,19.81,20.05,19.78,19.97,6273.0
2022-01-01T01:00:00,19.99,20.12,19.9,20.12,2447.39
2022-01-01T01:15:00,20.1,20.21,20.08,20.16,3713.19
2022-01-01T01:30:00,20.18,20.2,20.1,20.1,4422.73
2022-01-01T01:45:00,20.09,20.11,19.97,19.98,1842.39
2022-01-01T02:00:00,20.01,20.09,20.01,20.03,846.11
2022-01-01T02:15:00,20.07,20.12,20.05,20.07,728.47
2022-01-01T02:30:00,20.05,20.05,19.99,20.02,617.32
2022-01-01T02:45:00,20.03,20.03,19.85,19.89,3740.87
2022-01-01T03:00:00,19.9,19.9,19.84,19.9,1875.1
2022-01-01T03:15:00,19.88,19.91,19.75,19.79,5454.13
2022-01-01T03:30:00,19.79,19.81,19.75,19.78,5600.49
2022-01-01T03:45:00,19.8,19.81,19.75,19.77,2076.58
2022-01-01T04:00:00,19.8,19.8,19.65,19.66,3305.87
2022-01-01T04:15:00,19.7,19.71,19.62,19.68,5522.52
2022-01-01T04:30:00,19.67,19.71,19.64,19.68,1560.09
2022-01-01T04:45:00,19.68,19.71,19.55,19.56,2272.79
2022-01-01T05:00:00,19.56,19.64,19.56,19.63,1811.02
2022-01-01T05:15:00,19.63,19.94,19.6,19.9,10778.36
2022-01-01T05:30:00,19.91,20.0,19.84,19.86,2960.4
2022-01-01T05:45:00,19.85,19.85,19.76,19.81,3296.79
2022-01-01T06:00:00,19.82,19.88,19.76,19.87,906.96
2022-01-01T06:15:00,19.86,19.86,19.77,19.77,1014.21
2022-01-01T06:30:00,19.81,19.82,19.75,19.75,955.66
2022-01-01T06:45:00,19.74,19.78,19.68,19.68,2250.13
2022-01-01T07:00:00,19.73,19.74,19.63,19.69,3237.94
2022-01-01T07:15:00,19.68,19.73,19.68,19.72,795.24
2022-01-01T07:30:00,19.73,19.88,19.73,19.86,2469.06
2022-01-01T07:45:00,19.86,19.87,19.75,19.81,3110.24
2022-01-01T08:00:00,19.82,19.84,19.79,19.84,3243.53
2022-01-01T08:15:00,19.85,19.89,19.84,19.87,9022.47
2022-01-01T08:30:00,19.86,19.87,19.8,19.87,1168.53
2022-01-01T08:45:00,19.88,19.89,19.81,19.83,1573.19
2022-01-01T09:00:00,19.84,19.91,19.8,19.91,1960.82
2022-01-01T09:15:00,19.91,19.94,19.89,19.89,995.07
2022-01-01T09:30:00,19.89,19.89,19.74,19.77,1617.57
2022-01-01T09:45:00,19.76,19.81,19.73,19.76,450.52
2022-01-01T10:00:00,19.79,19.88,19.79,19.8,1696.66
2022-01-01T10:15:00,19.79,19.79,19.61,19.65,5923.99
2022-01-01T10:30:00,19.64,19.74,19.55,19.74,2986.87
2022-01-01T10:45:00,19.72,19.78,19.65,19.66,851.28
2022-01-01T11:00:00,19.66,19.76,19.66,19.75,614.95
2022-01-01T11:15:00,19.76,19.79,19.71,19.74,452.66
2022-01-01T11:30:00,19.75,19.75,19.64,19.7,737.67
2022-01-01T11:45:00,19.72,19.73,19.62,19.62,1672.5
2022-01-01T12:00:00,19.62,19.72,19.62,19.72,389.31
2022-01-01T12:15:00,19.73,19.73,19.68,19.69,624.78
2022-01-01T12:30:00,19.7,19.84,19.69,19.78,2301.69
2022-01-01T12:45:00,19.78,19.85,19.78,19.82,1390.32
2022-01-01T13:00:00,19.83,19.87,19.81,19.87,1558.74
2022-01-01T13:15:00,19.87,19.88,19.8,19.84,1746.52
2022-01-01T13:30:00,19.83,19.85,19.75,19.85,1383.64
2022-01-01T13:45:00,19.83,19.84,19.78,19.8,825.22
2022-01-01T14:00:00,19.8,19.86,19.79,19.85,2496.94
2022-01-01T14:15:00,19.85,19.9,19.85,19.88,1156.03
2022-01-01T14:30:00,19.88,19.89,19.77,19.85,1322.06
2022-01-01T14:45:00,19.83,19.87,19.8,19.84,596.92
2022-01-01T15:00:00,19.82,19.91,19.81,19.88,1659.58
2022-01-01T15:15:00,19.86,19.94,19.85,19.93,842.76
2022-01-01T15:30:00,19.95,20.1,19.93,20.02,4501.28
2022-01-01T15:45:00,20.01,20.14,19.99,20.02,6005.14
2022-01-01T16:00:00,20.04,20.13,19.98,20.1,23248.09
2022-01-01T16:15:00,20.09,20.17,20.07,20.14,1727.12
2022-01-01T16:30:00,20.13,20.14,20.07,20.1,1571.6
2022-01-01T16:45:00,20.11,20.13,20.06,20.11,1613.84
2022-01-01T17:00:00,20.11,20.13,20.0,20.02,4585.44
2022-01-01T17:15:00,20.01,20.15,19.99,20.14,729.8
2022-01-01T17:30:00,20.14,20.35,20.14,20.32,3957.43
2022-01-01T17:45:00,20.32,20.35,20.23,20.33,5524.25
2022-01-01T18:00:00,20.36,20.36,20.26,20.29,2049.38
2022-01-01T18:15:00,20.31,20.4,20.28,20.32,9892.3
2022-01-01T18:30:00,20.3,20.34,20.26,20.3,6390.07
2022-01-01T18:45:00,20.28,20.34,20.28,20.3,1595.06
2022-01-01T19:00:00,20.32,20.38,20.32,20.34,1825.55
2022-01-01T19:15:00,20.33,20.33,20.23,20.26,3739.39
2022-01-01T19:30:00,20.25,20.27,20.17,20.22,2598.36
2022-01-01T19:45:00,20.22,20.24,20.19,20.22,383.14
2022-01-01T20:00:00,20.22,20.31,20.21,20.31,2109.96
2022-01-01T20:15:00,20.29,20.36,20.25,20.35,1163.87
2022-01-01T20:30:00,20.35,20.43,20.34,20.38,4730.94
2022-01-01T20:45:00,20.38,20.4,20.33,20.36,2396.41
2022-01-01T21:00:00,20.35,20.41,20.3,20.4,2140.09
2022-01-01T21:15:00,20.38,20.41,20.35,20.37,1878.34
2022-01-01T21:30:00,20.39,20.44,20.37,20.42,2833.43
2022-01-01T21:45:00,20.45,20.45,20.32,20.38,2487.06
2022-01-01T22:00:00,20.4,20.4,20.27,20.3,1730.2
2022-01-01T22:15:00,20.29,20.38,20.29,20.37,1460.26
2022-01-01T22:30:00,20.37,20.46,20.34,20.45,818.58
2022-01-01T22:45:00,20.44,20.49,20.42,20.45,1311.81
2022-01-01T23:00:00,20.45,20.53,20.39,20.46,4245.14
2022-01-01T23:15:00,20.44,20.53,20.44,20.5,8659.04
2022-01-01T23:30:00,20.47,20.56,20.46,20.5,1087.54
2022-01-01T23:45:00,20.51,20.79,20.51,20.76,8443.89
2022-01-02T00:00:00,20.76,20.79,20.59,20.67,5566.31
2022-01-02T00:15:00,20.66,20.86,20.57,20.84,5738.52
2022-01-02T00:30:00,20.84,21.13,20.84,21.01,15947.32
2022-01-02T00:45:00,21.0,21.09,20.97,21.05,4469.03
2022-01-02T01:00:00,21.05,21.2,21.03,21.19,5080.53
2022-01-02T01:15:00,21.2,21.3,21.12,21.14,8753.79
2022-01-02T01:30:00,21.15,21.2,20.99,21.02,10595.68
2022-01-02T01:45:00,21.01,21.01,20.91,20.98,4808.23
2022-01-02T02:00:00,20.98,20.99,20.88,20.94,4874.72
2022-01-02T02:15:00,20.93,20.97,20.85,20.89,3667.35
2022-01-02T02:30:00,20.9,20.93,20.85,20.9,4496.28
2022-01-02T02:45:00,20.91,20.92,20.84,20.85,2693.68
2022-01-02T03:00:00,20.85,21.0,20.85,20.98,4103.11
2022-01-02T03:15:00,20.98,21.06,20.94,21.04,8070.24
2022-01-02T03:30:00,21.04,21.07,20.99,21.0,2676.69
2022-01-02T03:45:00,20.99,21.04,20.96,21.03,1274.94
2022-01-02T04:00:00,21.04,21.06,20.98,21.03,2685.44
2022-01-02T04:15:00,21.01,21.06,20.98,21.06,4200.53
2022-01-02T04:30:00,21.04,21.15,20.96,20.98,7225.35
2022-01-02T04:45:00,20.96,20.96,20.64,20.73,13577.26
2022-01-02T05:00:00,20.72,20.88,20.69,20.82,2616.42
2022-01-02T05:15:00,20.8,20.97,20.8,20.85,4650.49
2022-01-02T05:30:00,20.88,20.96,20.88,20.89,763.75
2022-01-02T05:45:00,20.89,20.93,20.81,20.9,2446.09
2022-01-02T06:00:00,20.88,20.88,20.77,20.79,1348.22
2022-01-02T06:15:00,20.79,20.86,20.79,20.81,1691.61
2022-01-02T06:30:00,20.79,20.84,20.77,20.8,4147.7
2022-01-02T06:45:00,20.8,20.83,20.75,20.76,1542.16
2022-01-02T07:00:00,20.75,20.78,20.71,20.72,2071.71
2022-01-02T07:15:00,20.73,20.78,20.72,20.74,2504.31
2022-01-02T07:30:00,20.75,20.79,20.72,20.73,2734.94
2022-01-02T07:45:00,20.74,20.75,20.72,20.74,1446.63
2022-01-02T08:00:00,20.76,20.76,20.71,20.75,1825.74
2022-01-02T08:15:00,20.77,20.92,20.76,20.85,1662.79
2022-01-02T08:30:00,20.85,20.91,20.76,20.91,2186.02
