Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,3.2693,3.2846,3.2625,3.274,37611.0
2022-01-01T00:15:00,3.2733,3.2869,3.2703,3.2845,49831.0
2022-01-01T00:30:00,3.2835,3.3023,3.2784,3.2956,41595.0
2022-01-01T00:45:00,3.2957,3.3228,3.2939,3.3165,38082.0
2022-01-01T01:00:00,3.3179,3.3195,3.2981,3.3165,27167.0
2022-01-01T01:15:00,3.315,3.3241,3.3119,3.3169,15024.0
2022-01-01T01:30:00,3.318,3.318,3.3029,3.306,14082.0
2022-01-01T01:45:00,3.3057,3.3098,3.2962,3.3006,21946.0
2022-01-01T02:00:00,3.3025,3.3056,3.2978,3.3011,9945.0
2022-01-01T02:15:00,3.3044,3.3123,3.304,3.3072,9835.0
2022-01-01T02:30:00,3.3071,3.3153,3.3045,3.311,14154.0
2022-01-01T02:45:00,3.3127,3.3143,3.2975,3.2975,23612.0
2022-01-01T03:00:00,3.3011,3.303,3.295,3.3019,10577.0
2022-01-01T03:15:00,3.3044,3.3095,3.3001,3.3049,24817.0
2022-01-01T03:30:00,3.3066,3.312,3.3028,3.3041,30117.0
2022-01-01T03:45:00,3.3042,3.3063,3.2959,3.2974,18583.0
2022-01-01T04:00:00,3.2974,3.3093,3.2808,3.2818,30511.0
2022-01-01T04:15:00,3.2807,3.2899,3.279,3.2855,21611.0
2022-01-01T04:30:00,3.2841,3.2854,3.2764,3.2783,17635.0
2022-01-01T04:45:00,3.2789,3.2898,3.2789,3.2793,12399.0
2022-01-01T05:00:00,3.279,3.2859,3.2733,3.2857,11701.0
2022-01-01T05:15:00,3.287,3.3282,3.2834,3.3168,35622.0
2022-01-01T05:30:00,3.3184,3.3305,3.3035,3.3035,34387.0
2022-01-01T05:45:00,3.3033,3.312,3.2965,3.3058,23230.0
2022-01-01T06:00:00,3.3048,3.3125,3.2978,3.3106,12240.0
2022-01-01T06:15:00,3.31,3.3106,3.2981,3.2991,10840.0
2022-01-01T06:30:00,3.2978,3.3043,3.2973,3.2986,7766.0
2022-01-01T06:45:00,3.2977,3.3043,3.2885,3.2895,16262.0
2022-01-01T07:00:00,3.2911,3.2972,3.2831,3.2912,14344.0
2022-01-01T07:15:00,3.2901,3.2999,3.2901,3.297,5646.0
2022-01-01T07:30:00,3.2989,3.3163,3.2973,3.3104,16754.0
2022-01-01T07:45:00,3.312,3.3207,3.3043,3.311,37522.0
2022-01-01T08:00:00,3.3123,3.3157,3.3053,3.3157,27770.0
2022-01-01T08:15:00,3.3155,3.325,3.3113,3.3121,22541.0
2022-01-01T08:30:00,3.3126,3.3126,3.3,3.3059,19943.0
2022-01-01T08:45:00,3.3071,3.3103,3.2961,3.2984,18750.0
2022-01-01T09:00:00,3.2988,3.3094,3.2929,3.3047,23681.0
2022-01-01T09:15:00,3.3047,3.3047,3.2971,3.2994,6525.0
2022-01-01T09:30:00,3.2992,3.3024,3.2756,3.2838,19985.0
2022-01-01T09:45:00,3.2816,3.2948,3.2786,3.2948,8331.0
2022-01-01T10:00:00,3.2949,3.303,3.2911,3.2911,16864.0
2022-01-01T10:15:00,3.2911,3.2911,3.2717,3.2771,30169.0
2022-01-01T10:30:00,3.2738,3.293,3.266,3.2915,24385.0
2022-01-01T10:45:00,3.2913,3.2992,3.2789,3.2796,18570.0
2022-01-01T11:00:00,3.279,3.2895,3.279,3.2866,11125.0
2022-01-01T11:15:00,3.287,3.2931,3.2809,3.2819,4921.0
2022-01-01T11:30:00,3.2831,3.2878,3.2741,3.2862,11061.0
2022-01-01T11:45:00,3.2848,3.2902,3.273,3.2746,15866.0
2022-01-01T12:00:00,3.2746,3.2874,3.2746,3.2874,15615.0
2022-01-01T12:15:00,3.2875,3.2884,3.2779,3.2794,7928.0
2022-01-01T12:30:00,3.281,3.3025,3.281,3.2949,22600.0
2022-01-01T12:45:00,3.2958,3.3018,3.2931,3.2958,18441.0
2022-01-01T13:00:00,3.2985,3.3094,3.2947,3.3088,18231.0
2022-01-01T13:15:00,3.3074,3.31,3.2959,3.2998,11790.0
2022-01-01T13:30:00,3.2998,3.3052,3.293,3.3032,13261.0
2022-01-01T13:45:00,3.3003,3.3059,3.2965,3.303,24792.0
2022-01-01T14:00:00,3.3044,3.3044,3.2972,3.2974,11313.0
2022-01-01T14:15:00,3.2984,3.3048,3.2969,3.3002,10415.0
2022-01-01T14:30:00,3.3003,3.3008,3.2866,3.2921,17437.0
2022-01-01T14:45:00,3.2916,3.2963,3.2859,3.2889,10437.0
2022-01-01T15:00:00,3.2885,3.2933,3.284,3.2883,19953.0
2022-01-01T15:15:00,3.287,3.2965,3.2853,3.2956,9629.0
2022-01-01T15:30:00,3.2957,3.3171,3.2946,3.3089,29356.0
2022-01-01T15:45:00,3.3088,3.3165,3.2988,3.3053,25349.0
2022-01-01T16:00:00,3.3046,3.3148,3.3017,3.314,16118.0
2022-01-01T16:15:00,3.3141,3.3205,3.3089,3.3186,20678.0
2022-01-01T16:30:00,3.3176,3.321,3.3112,3.3154,14109.0
2022-01-01T16:45:00,3.3161,3.3179,3.3059,3.3076,23100.0
2022-01-01T17:00:00,3.31,3.3133,3.3003,3.302,17480.0
2022-01-01T17:15:00,3.3024,3.3168,3.3017,3.3168,25919.0
2022-01-01T17:30:00,3.3162,3.3387,3.3161,3.3371,53434.0
2022-01-01T17:45:00,3.3362,3.3438,3.3293,3.336,52254.0
2022-01-01T18:00:00,3.336,3.3376,3.32,3.3292,19796.0
2022-01-01T18:15:00,3.3296,3.3338,3.3215,3.3238,26694.0
2022-01-01T18:30:00,3.3249,3.3299,3.3145,3.3171,26727.0
2022-01-01T18:45:00,3.3165,3.3296,3.3146,3.327,13776.0
2022-01-01T19:00:00,3.3277,3.3306,3.3234,3.326,12721.0
2022-01-01T19:15:00,3.3259,3.3259,3.3121,3.3197,12830.0
2022-01-01T19:30:00,3.3201,3.3274,3.3153,3.3256,29057.0
2022-01-01T19:45:00,3.324,3.3338,3.3213,3.3281,26488.0
