Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,2.525,2.55,2.524,2.545,227265.7
2022-01-01T00:15:00,2.546,2.55,2.532,2.546,124983.0
2022-01-01T00:30:00,2.546,2.57,2.542,2.562,181968.3
2022-01-01T00:45:00,2.561,2.588,2.557,2.579,263679.5
2022-01-01T01:00:00,2.578,2.58,2.564,2.58,182052.6
2022-01-01T01:15:00,2.579,2.597,2.577,2.594,218335.9
2022-01-01T01:30:00,2.595,2.604,2.579,2.581,189122.7
2022-01-01T01:45:00,2.579,2.585,2.572,2.576,110558.8
2022-01-01T02:00:00,2.576,2.587,2.572,2.575,132565.3
2022-01-01T02:15:00,2.576,2.588,2.572,2.574,96864.8
2022-01-01T02:30:00,2.575,2.577,2.561,2.57,96894.8
2022-01-01T02:45:00,2.571,2.581,2.567,2.573,102564.1
2022-01-01T03:00:00,2.574,2.58,2.571,2.579,86000.7
2022-01-01T03:15:00,2.58,2.584,2.57,2.573,64736.9
2022-01-01T03:30:00,2.572,2.583,2.572,2.582,104209.8
2022-01-01T03:45:00,2.582,2.585,2.577,2.583,68307.9
2022-01-01T04:00:00,2.583,2.587,2.551,2.555,223869.5
2022-01-01T04:15:00,2.554,2.563,2.552,2.556,236933.4
2022-01-01T04:30:00,2.555,2.556,2.543,2.55,198314.9
2022-01-01T04:45:00,2.549,2.568,2.548,2.549,80885.4
2022-01-01T05:00:00,2.549,2.553,2.543,2.553,94764.9
2022-01-01T05:15:00,2.554,2.588,2.548,2.58,211978.8
2022-01-01T05:30:00,2.581,2.591,2.571,2.571,156509.2
2022-01-01T05:45:00,2.571,2.58,2.565,2.575,97932.4
2022-01-01T06:00:00,2.575,2.585,2.559,2.583,219366.2
2022-01-01T06:15:00,2.582,2.583,2.568,2.57,102710.6
2022-01-01T06:30:00,2.569,2.579,2.568,2.569,92757.2
2022-01-01T06:45:00,2.568,2.574,2.557,2.558,177605.8
2022-01-01T07:00:00,2.558,2.564,2.544,2.552,189338.0
2022-01-01T07:15:00,2.552,2.557,2.546,2.549,88239.9
2022-01-01T07:30:00,2.55,2.566,2.543,2.565,101484.8
2022-01-01T07:45:00,2.566,2.568,2.559,2.561,137187.2
2022-01-01T08:00:00,2.561,2.565,2.554,2.565,110160.5
2022-01-01T08:15:00,2.565,2.573,2.562,2.564,112703.2
2022-01-01T08:30:00,2.563,2.564,2.554,2.561,83136.2
2022-01-01T08:45:00,2.562,2.568,2.551,2.553,128141.4
2022-01-01T09:00:00,2.553,2.56,2.549,2.557,102177.7
2022-01-01T09:15:00,2.558,2.558,2.543,2.547,110669.2
2022-01-01T09:30:00,2.547,2.552,2.528,2.534,150597.2
2022-01-01T09:45:00,2.533,2.543,2.528,2.541,107630.9
2022-01-01T10:00:00,2.542,2.554,2.541,2.544,151795.4
2022-01-01T10:15:00,2.543,2.543,2.52,2.525,177812.1
2022-01-01T10:30:00,2.524,2.542,2.515,2.534,259236.3
2022-01-01T10:45:00,2.534,2.543,2.522,2.523,204284.8
2022-01-01T11:00:00,2.524,2.536,2.524,2.532,75188.0
2022-01-01T11:15:00,2.531,2.538,2.525,2.53,120624.3
2022-01-01T11:30:00,2.529,2.532,2.517,2.529,112041.5
2022-01-01T11:45:00,2.529,2.532,2.513,2.516,106264.5
2022-01-01T12:00:00,2.516,2.524,2.509,2.523,181954.8
2022-01-01T12:15:00,2.523,2.525,2.516,2.522,68094.9
