Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,5.8428,5.8907,5.8428,5.8732,30379.0
2022-01-01T00:15:00,5.8716,5.8872,5.8563,5.8758,24647.0
2022-01-01T00:30:00,5.8823,5.9483,5.8697,5.932,43711.0
2022-01-01T00:45:00,5.9306,5.9969,5.9232,5.9903,57191.0
2022-01-01T01:00:00,5.9874,5.9937,5.9665,5.9892,19268.0
2022-01-01T01:15:00,5.9858,6.0075,5.9738,5.9747,58131.0
2022-01-01T01:30:00,5.9747,5.993,5.9667,5.9713,17290.0
2022-01-01T01:45:00,5.9709,5.9782,5.9542,5.9682,21874.0
2022-01-01T02:00:00,5.9691,5.9889,5.9664,5.983,30482.0
2022-01-01T02:15:00,5.984,6.0148,5.984,5.9879,57215.0
2022-01-01T02:30:00,5.9856,5.9856,5.9461,5.9592,60244.0
2022-01-01T02:45:00,5.9597,5.9619,5.9291,5.9357,45487.0
2022-01-01T03:00:00,5.9373,5.9405,5.9166,5.9389,17518.0
2022-01-01T03:15:00,5.9323,5.9602,5.9308,5.9491,31551.0
2022-01-01T03:30:00,5.9498,5.9664,5.9485,5.9537,17400.0
2022-01-01T03:45:00,5.9612,5.967,5.9484,5.9493,8548.0
2022-01-01T04:00:00,5.9537,5.9762,5.9257,5.9271,34924.0
2022-01-01T04:15:00,5.9262,5.9457,5.9121,5.9363,46675.0
2022-01-01T04:30:00,5.9363,5.9447,5.9213,5.9318,18673.0
2022-01-01T04:45:00,5.9351,5.956,5.9328,5.9336,18317.0
2022-01-01T05:00:00,5.9347,5.9467,5.9216,5.9467,23778.0
2022-01-01T05:15:00,5.9467,6.026,5.9412,6.0058,54924.0
2022-01-01T05:30:00,6.0097,6.0293,5.9673,5.9749,29075.0
2022-01-01T05:45:00,5.9733,5.9852,5.9592,5.966,26828.0
2022-01-01T06:00:00,5.9665,5.9913,5.9588,5.9793,14431.0
2022-01-01T06:15:00,5.9791,5.9791,5.9546,5.9631,14836.0
2022-01-01T06:30:00,5.9614,5.9897,5.9613,5.965,13401.0
2022-01-01T06:45:00,5.9613,5.9712,5.9423,5.9496,28416.0
2022-01-01T07:00:00,5.9472,5.9547,5.9284,5.9386,19167.0
2022-01-01T07:15:00,5.9432,5.9491,5.93,5.934,16102.0
2022-01-01T07:30:00,5.9352,5.968,5.935,5.9622,13555.0
2022-01-01T07:45:00,5.9644,5.9762,5.9578,5.9666,15893.0
2022-01-01T08:00:00,5.9642,5.9702,5.9403,5.9552,20770.0
2022-01-01T08:15:00,5.954,5.988,5.9526,5.978,52887.0
2022-01-01T08:30:00,5.9764,5.9782,5.9553,5.974,8274.0
2022-01-01T08:45:00,5.974,5.9854,5.9466,5.9477,14275.0
2022-01-01T09:00:00,5.9484,5.9605,5.935,5.9526,15857.0
2022-01-01T09:15:00,5.9545,5.9545,5.9436,5.9471,4696.0
2022-01-01T09:30:00,5.9495,5.9542,5.8927,5.9098,22687.0
2022-01-01T09:45:00,5.9093,5.918,5.8932,5.918,18791.0
2022-01-01T10:00:00,5.9183,5.9421,5.917,5.917,22873.0
2022-01-01T10:15:00,5.9168,5.9168,5.8656,5.8757,29325.0
2022-01-01T10:30:00,5.8731,5.9093,5.8446,5.9086,48759.0
2022-01-01T10:45:00,5.9094,5.9224,5.885,5.8889,16069.0
2022-01-01T11:00:00,5.8899,5.9091,5.8892,5.903,8215.0
2022-01-01T11:15:00,5.9054,5.9239,5.8893,5.8922,16273.0
2022-01-01T11:30:00,5.8927,5.8947,5.8726,5.8888,10286.0
2022-01-01T11:45:00,5.8882,5.8935,5.858,5.8583,16117.0
2022-01-01T12:00:00,5.8626,5.8935,5.8575,5.8935,22210.0
2022-01-01T12:15:00,5.8945,5.8964,5.8575,5.8575,16785.0
2022-01-01T12:30:00,5.8572,5.8996,5.8559,5.8906,15474.0
2022-01-01T12:45:00,5.8906,5.9265,5.8904,5.9187,15981.0
2022-01-01T13:00:00,5.9219,5.9264,5.8976,5.9223,10886.0
2022-01-01T13:15:00,5.9223,5.9233,5.8957,5.9007,17396.0
2022-01-01T13:30:00,5.9026,5.9113,5.8908,5.9039,11516.0
2022-01-01T13:45:00,5.8963,5.8993,5.8833,5.8944,11784.0
2022-01-01T14:00:00,5.8923,5.9035,5.8883,5.8982,5087.0
2022-01-01T14:15:00,5.8969,5.9069,5.8843,5.8901,8590.0
2022-01-01T14:30:00,5.888,5.8919,5.8578,5.8666,13250.0
2022-01-01T14:45:00,5.8684,5.8867,5.8677,5.8735,8141.0
2022-01-01T15:00:00,5.8746,5.8746,5.8531,5.8601,23012.0
2022-01-01T15:15:00,5.86,5.882,5.8563,5.8789,10349.0
2022-01-01T15:30:00,5.882,5.9328,5.882,5.921,42441.0
2022-01-01T15:45:00,5.9183,5.92,5.8908,5.904,10466.0
2022-01-01T16:00:00,5.904,5.9292,5.897,5.9271,25594.0
2022-01-01T16:15:00,5.9276,5.9331,5.9171,5.9193,19699.0
2022-01-01T16:30:00,5.9217,5.9322,5.9156,5.9262,8614.0
2022-01-01T16:45:00,5.9292,5.9299,5.8959,5.8984,13433.0
2022-01-01T17:00:00,5.9039,5.9111,5.8869,5.8941,15446.0
2022-01-01T17:15:00,5.8891,5.9203,5.887,5.9177,12255.0
2022-01-01T17:30:00,5.9153,5.9677,5.9149,5.9673,53750.0
2022-01-01T17:45:00,5.9673,5.977,5.9362,5.9463,29838.0
2022-01-01T18:00:00,5.9496,5.9555,5.933,5.9394,22517.0
2022-01-01T18:15:00,5.9414,5.9446,5.9276,5.9297,14446.0
2022-01-01T18:30:00,5.9333,5.9382,5.9121,5.9156,13253.0
2022-01-01T18:45:00,5.9176,5.9399,5.907,5.9306,13297.0
2022-01-01T19:00:00,5.9306,5.9551,5.93,5.9417,10670.0
2022-01-01T19:15:00,5.9444,5.9444,5.92,5.9373,8140.0
2022-01-01T19:30:00,5.9377,5.9405,5.92,5.9208,8548.0
2022-01-01T19:45:00,5.921,5.9312,5.9157,5.9271,12872.0
2022-01-01T20:00:00,5.9287,5.9374,5.9152,5.9327,14098.0
2022-01-01T20:15:00,5.9314,5.9464,5.9226,5.9435,9663.0
2022-01-01T20:30:00,5.9416,5.9598,5.9304,5.9325,13501.0
2022-01-01T20:45:00,5.9346,5.9381,5.92,5.9227,15710.0
2022-01-01T21:00:00,5.9224,5.9521,5.9181,5.9461,12317.0
2022-01-01T21:15:00,5.9436,5.9526,5.9221,5.9252,8151.0
2022-01-01T21:30:00,5.9261,5.9373,5.918,5.9256,19003.0
2022-01-01T21:45:00,5.9229,5.9283,5.8987,5.9079,14271.0
2022-01-01T22:00:00,5.9072,5.9217,5.9049,5.9152,6190.0
2022-01-01T22:15:00,5.91,5.9383,5.91,5.9317,9171.0
2022-01-01T22:30:00,5.9318,5.9318,5.9206,5.9206,3036.0
2022-01-01T22:45:00,5.9248,5.9248,5.9131,5.9231,5907.0
2022-01-01T23:00:00,5.9254,5.9343,5.9113,5.9113,8296.0
2022-01-01T23:15:00,5.9109,5.9306,5.9109,5.928,4820.0
2022-01-01T23:30:00,5.9261,5.9442,5.9234,5.9356,11412.0
2022-01-01T23:45:00,5.9394,5.983,5.9394,5.97,35731.0
2022-01-02T00:00:00,5.9701,5.9905,5.9375,5.9513,18930.0
2022-01-02T00:15:00,5.9466,5.9466,5.9253,5.9402,28163.0
2022-01-02T00:30:00,5.9389,5.967,5.9388,5.9448,15131.0
2022-01-02T00:45:00,5.9445,5.9464,5.9251,5.9364,13554.0
2022-01-02T01:00:00,5.9394,5.94,5.9179,5.9197,18748.0
2022-01-02T01:15:00,5.9214,5.9334,5.9209,5.9333,18507.0
2022-01-02T01:30:00,5.9326,5.9385,5.9224,5.9259,10925.0
2022-01-02T01:45:00,5.9253,5.9274,5.9087,5.913,10436.0
2022-01-02T02:00:00,5.9135,5.9309,5.9063,5.9269,13639.0
2022-01-02T02:15:00,5.9269,5.9269,5.8946,5.8993,17014.0
2022-01-02T02:30:00,5.8995,5.9093,5.8868,5.8945,8423.0
2022-01-02T02:45:00,5.8945,5.8985,5.8894,5.8948,4059.0
2022-01-02T03:00:00,5.8942,5.9054,5.8936,5.8936,15721.0
2022-01-02T03:15:00,5.8946,5.9049,5.89,5.9014,10755.0
2022-01-02T03:30:00,5.9022,5.9209,5.8998,5.9172,7947.0
2022-01-02T03:45:00,5.9207,5.9242,5.9057,5.9098,6958.0
2022-01-02T04:00:00,5.9121,5.9199,5.8994,5.9142,8048.0
2022-01-02T04:15:00,5.9138,5.9138,5.8887,5.8938,10231.0
