Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,4.705,4.749,4.704,4.717,2194.8
2022-01-01T00:15:00,4.734,4.745,4.727,4.738,211.8
2022-01-01T00:30:00,4.745,4.788,4.745,4.776,3824.1
2022-01-01T00:45:00,4.78,4.801,4.78,4.798,528.5
2022-01-01T01:00:00,4.789,4.811,4.775,4.811,211.5
2022-01-01T01:15:00,4.811,4.827,4.81,4.819,3392.2
2022-01-01T01:30:00,4.827,4.849,4.825,4.827,1976.1
2022-01-01T01:45:00,4.826,4.832,4.813,4.813,1650.1
2022-01-01T02:00:00,4.811,4.842,4.81,4.842,1399.0
2022-01-01T02:15:00,4.843,4.845,4.837,4.837,223.2
2022-01-01T02:30:00,4.835,4.835,4.82,4.827,313.1
2022-01-01T02:45:00,4.833,4.833,4.81,4.81,2043.4
2022-01-01T03:00:00,4.809,4.824,4.808,4.824,1653.4
2022-01-01T03:15:00,4.821,4.831,4.818,4.818,947.9
2022-01-01T03:30:00,4.82,4.824,4.82,4.823,54.6
2022-01-01T03:45:00,4.827,4.828,4.819,4.819,713.4
2022-01-01T04:00:00,4.825,4.831,4.769,4.769,1663.1
2022-01-01T04:15:00,4.777,4.777,4.764,4.77,761.3
2022-01-01T04:30:00,4.78,4.791,4.774,4.791,254.3
2022-01-01T04:45:00,4.786,4.792,4.753,4.756,1567.4
2022-01-01T05:00:00,4.766,4.773,4.766,4.773,249.5
2022-01-01T05:15:00,4.774,4.847,4.774,4.836,1791.1
2022-01-01T05:30:00,4.849,4.864,4.831,4.848,3335.9
2022-01-01T05:45:00,4.84,4.854,4.84,4.845,1050.7
2022-01-01T06:00:00,4.857,4.876,4.856,4.874,1843.5
2022-01-01T06:15:00,4.866,4.883,4.863,4.87,1850.5
2022-01-01T06:30:00,4.87,4.89,4.863,4.863,526.2
2022-01-01T06:45:00,4.863,4.87,4.849,4.853,718.9
2022-01-01T07:00:00,4.857,4.863,4.836,4.837,2364.4
2022-01-01T07:15:00,4.844,4.855,4.844,4.845,358.0
2022-01-01T07:30:00,4.842,4.872,4.842,4.872,1283.8
2022-01-01T07:45:00,4.873,4.892,4.873,4.889,7676.6
2022-01-01T08:00:00,4.887,4.887,4.853,4.873,969.6
2022-01-01T08:15:00,4.876,4.907,4.872,4.884,12934.1
2022-01-01T08:30:00,4.877,4.877,4.853,4.854,3165.3
2022-01-01T08:45:00,4.862,4.866,4.845,4.855,710.0
2022-01-01T09:00:00,4.853,4.89,4.85,4.886,1612.4
2022-01-01T09:15:00,4.886,4.886,4.864,4.864,2524.5
2022-01-01T09:30:00,4.866,4.868,4.849,4.851,1236.1
2022-01-01T09:45:00,4.845,4.867,4.84,4.86,11865.9
2022-01-01T10:00:00,4.861,4.874,4.844,4.844,434.9
2022-01-01T10:15:00,4.843,4.843,4.8,4.808,2501.4
2022-01-01T10:30:00,4.797,4.836,4.784,4.836,1223.2
2022-01-01T10:45:00,4.838,4.842,4.813,4.813,1950.4
2022-01-01T11:00:00,4.815,4.831,4.815,4.831,238.8
2022-01-01T11:15:00,4.825,4.839,4.819,4.827,1052.8
2022-01-01T11:30:00,4.823,4.823,4.804,4.82,483.3
2022-01-01T11:45:00,4.817,4.825,4.791,4.791,2008.3
2022-01-01T12:00:00,4.801,4.808,4.786,4.808,224.0
2022-01-01T12:15:00,4.809,4.81,4.788,4.79,477.2
2022-01-01T12:30:00,4.794,4.837,4.794,4.837,3776.0
2022-01-01T12:45:00,4.837,4.844,4.835,4.844,721.5
2022-01-01T13:00:00,4.839,4.839,4.811,4.827,4012.7
2022-01-01T13:15:00,4.822,4.829,4.797,4.8,2848.5
2022-01-01T13:30:00,4.806,4.809,4.794,4.809,2474.2
2022-01-01T13:45:00,4.802,4.802,4.792,4.801,1009.6
2022-01-01T14:00:00,4.801,4.802,4.789,4.802,1332.1
2022-01-01T14:15:00,4.804,4.806,4.799,4.806,790.3
2022-01-01T14:30:00,4.805,4.805,4.783,4.784,2960.7
2022-01-01T14:45:00,4.79,4.79,4.785,4.79,1395.1
2022-01-01T15:00:00,4.786,4.8,4.778,4.788,527.9
2022-01-01T15:15:00,4.781,4.789,4.773,4.783,1454.5
2022-01-01T15:30:00,4.784,4.814,4.782,4.795,4823.4
2022-01-01T15:45:00,4.801,4.805,4.778,4.778,1792.8
2022-01-01T16:00:00,4.791,4.834,4.77,4.813,16283.6
2022-01-01T16:15:00,4.811,4.834,4.811,4.833,604.5
2022-01-01T16:30:00,4.832,4.834,4.816,4.825,2272.0
2022-01-01T16:45:00,4.829,4.829,4.806,4.806,1281.3
2022-01-01T17:00:00,4.814,4.821,4.813,4.816,871.7
2022-01-01T17:15:00,4.807,4.842,4.807,4.842,2238.8
2022-01-01T17:30:00,4.843,4.877,4.843,4.871,11013.7
2022-01-01T17:45:00,4.878,4.88,4.859,4.867,608.5
2022-01-01T18:00:00,4.866,4.866,4.857,4.864,1592.9
2022-01-01T18:15:00,4.864,4.869,4.851,4.869,287.7
2022-01-01T18:30:00,4.858,4.859,4.848,4.858,1947.3
2022-01-01T18:45:00,4.857,4.864,4.85,4.861,145.3
