Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,4.342,4.375,4.342,4.362,2698.0
2022-01-01T00:15:00,4.358,4.374,4.353,4.366,119.7
2022-01-01T00:30:00,4.364,4.4,4.363,4.386,6303.9
2022-01-01T00:45:00,4.386,4.423,4.386,4.415,15284.5
2022-01-01T01:00:00,4.412,4.442,4.397,4.426,15308.2
2022-01-01T01:15:00,4.429,4.467,4.426,4.453,16992.3
2022-01-01T01:30:00,4.456,4.479,4.444,4.476,9930.5
2022-01-01T01:45:00,4.479,4.492,4.46,4.476,10893.1
2022-01-01T02:00:00,4.476,4.537,4.476,4.521,25905.5
2022-01-01T02:15:00,4.522,4.557,4.521,4.532,3863.8
2022-01-01T02:30:00,4.534,4.544,4.501,4.526,16239.4
2022-01-01T02:45:00,4.529,4.681,4.526,4.669,67658.9
2022-01-01T03:00:00,4.672,4.698,4.638,4.677,29689.4
2022-01-01T03:15:00,4.673,4.739,4.654,4.692,46571.8
2022-01-01T03:30:00,4.69,4.69,4.648,4.653,10990.9
2022-01-01T03:45:00,4.658,4.663,4.625,4.642,7834.6
2022-01-01T04:00:00,4.643,4.645,4.581,4.584,17219.5
2022-01-01T04:15:00,4.586,4.613,4.581,4.605,15163.0
2022-01-01T04:30:00,4.608,4.628,4.6,4.609,2729.6
2022-01-01T04:45:00,4.614,4.617,4.577,4.586,9678.6
2022-01-01T05:00:00,4.577,4.601,4.575,4.597,3441.7
2022-01-01T05:15:00,4.594,4.673,4.584,4.625,15897.1
2022-01-01T05:30:00,4.632,4.643,4.61,4.623,2191.2
2022-01-01T05:45:00,4.619,4.624,4.588,4.6,1507.5
2022-01-01T06:00:00,4.607,4.608,4.58,4.598,2859.9
2022-01-01T06:15:00,4.599,4.599,4.577,4.579,3076.9
2022-01-01T06:30:00,4.578,4.583,4.566,4.573,1701.0
2022-01-01T06:45:00,4.58,4.58,4.558,4.565,4061.9
2022-01-01T07:00:00,4.57,4.576,4.555,4.568,759.4
2022-01-01T07:15:00,4.568,4.568,4.559,4.561,1351.5
2022-01-01T07:30:00,4.561,4.591,4.56,4.586,6397.1
2022-01-01T07:45:00,4.59,4.595,4.571,4.575,1357.4
2022-01-01T08:00:00,4.576,4.595,4.574,4.595,758.1
2022-01-01T08:15:00,4.597,4.621,4.597,4.621,3066.4
2022-01-01T08:30:00,4.611,4.619,4.589,4.593,5826.2
2022-01-01T08:45:00,4.593,4.6,4.586,4.592,1396.7
2022-01-01T09:00:00,4.593,4.613,4.592,4.607,1777.1
2022-01-01T09:15:00,4.612,4.625,4.612,4.624,1143.6
2022-01-01T09:30:00,4.626,4.632,4.592,4.602,2540.0
2022-01-01T09:45:00,4.598,4.627,4.598,4.627,883.8
2022-01-01T10:00:00,4.623,4.627,4.603,4.603,4453.7
2022-01-01T10:15:00,4.601,4.601,4.548,4.567,3511.3
2022-01-01T10:30:00,4.56,4.604,4.546,4.604,3693.8
2022-01-01T10:45:00,4.602,4.609,4.583,4.59,638.6
2022-01-01T11:00:00,4.587,4.611,4.587,4.596,4072.6
2022-01-01T11:15:00,4.602,4.603,4.589,4.593,9339.7
2022-01-01T11:30:00,4.593,4.593,4.571,4.573,953.8
2022-01-01T11:45:00,4.572,4.576,4.552,4.552,13102.1
2022-01-01T12:00:00,4.554,4.593,4.554,4.591,7974.4
2022-01-01T12:15:00,4.592,4.601,4.585,4.596,2581.5
2022-01-01T12:30:00,4.6,4.625,4.594,4.61,5938.6
2022-01-01T12:45:00,4.612,4.616,4.607,4.607,1504.7
2022-01-01T13:00:00,4.612,4.62,4.604,4.62,593.4
2022-01-01T13:15:00,4.621,4.63,4.613,4.628,1694.7
2022-01-01T13:30:00,4.629,4.63,4.604,4.609,1480.6
2022-01-01T13:45:00,4.605,4.609,4.595,4.597,167.0
2022-01-01T14:00:00,4.597,4.643,4.597,4.626,7567.3
2022-01-01T14:15:00,4.626,4.637,4.62,4.62,1963.0
2022-01-01T14:30:00,4.62,4.626,4.607,4.62,2270.3
2022-01-01T14:45:00,4.618,4.63,4.606,4.606,3387.2
2022-01-01T15:00:00,4.604,4.63,4.595,4.626,3179.5
2022-01-01T15:15:00,4.621,4.654,4.621,4.654,6205.2
2022-01-01T15:30:00,4.646,4.691,4.63,4.671,8364.6
2022-01-01T15:45:00,4.676,4.687,4.649,4.656,3953.6
2022-01-01T16:00:00,4.664,4.668,4.637,4.637,2865.9
2022-01-01T16:15:00,4.644,4.684,4.644,4.684,8543.2
2022-01-01T16:30:00,4.683,4.684,4.57,4.582,21398.4
2022-01-01T16:45:00,4.582,4.583,4.511,4.512,17407.1
2022-01-01T17:00:00,4.512,4.539,4.511,4.529,11102.9
2022-01-01T17:15:00,4.532,4.544,4.521,4.544,3532.0
2022-01-01T17:30:00,4.545,4.595,4.542,4.58,9374.9
2022-01-01T17:45:00,4.583,4.586,4.562,4.583,2909.4
2022-01-01T18:00:00,4.583,4.591,4.575,4.58,6481.7
2022-01-01T18:15:00,4.577,4.577,4.562,4.562,577.2
2022-01-01T18:30:00,4.569,4.632,4.555,4.604,30802.7
2022-01-01T18:45:00,4.603,4.633,4.595,4.595,10538.5
2022-01-01T19:00:00,4.601,4.647,4.601,4.625,14941.1
2022-01-01T19:15:00,4.622,4.623,4.602,4.613,1321.8
2022-01-01T19:30:00,4.611,4.63,4.611,4.629,1800.4
2022-01-01T19:45:00,4.631,4.631,4.605,4.615,1827.7
2022-01-01T20:00:00,4.618,4.776,4.618,4.697,74757.6
2022-01-01T20:15:00,4.694,4.73,4.676,4.73,28797.1
2022-01-01T20:30:00,4.732,4.745,4.709,4.741,8094.7
2022-01-01T20:45:00,4.741,4.745,4.716,4.721,9860.8
2022-01-01T21:00:00,4.724,4.738,4.693,4.736,4986.7
2022-01-01T21:15:00,4.733,4.75,4.714,4.729,9186.7
2022-01-01T21:30:00,4.733,4.739,4.716,4.72,4188.6
2022-01-01T21:45:00,4.715,4.729,4.694,4.716,10038.0
2022-01-01T22:00:00,4.712,4.713,4.698,4.708,1082.1
2022-01-01T22:15:00,4.711,4.724,4.706,4.717,1049.2
