Date,Open,High,Low,Close,Volume
2022-01-01T00:00:00,146.6,147.4,146.5,146.8,80.951
2022-01-01T00:15:00,146.7,147.3,146.7,147.3,1.7
2022-01-01T00:30:00,147.4,148.2,147.4,148.2,27.333
2022-01-01T00:45:00,148.2,148.5,147.7,148.5,65.791
2022-01-01T01:00:00,148.3,148.5,147.7,148.5,44.11
2022-01-01T01:15:00,148.6,148.9,148.5,148.6,18.761
2022-01-01T01:30:00,148.6,148.6,148.2,148.3,32.42
2022-01-01T01:45:00,148.2,148.2,147.8,148.0,19.036
2022-01-01T02:00:00,147.9,148.3,147.9,148.3,19.843
2022-01-01T02:15:00,148.1,148.4,148.1,148.4,11.487
2022-01-01T02:30:00,148.1,148.1,148.0,148.1,6.254
2022-01-01T02:45:00,148.2,148.2,148.1,148.1,82.715
2022-01-01T03:00:00,147.9,148.0,147.9,148.0,1.681
2022-01-01T03:15:00,148.0,148.3,148.0,148.0,74.011
2022-01-01T03:30:00,147.9,148.1,147.9,148.1,8.835
2022-01-01T03:45:00,148.0,148.1,147.8,147.8,362.468
2022-01-01T04:00:00,148.0,148.0,146.7,146.8,83.968
2022-01-01T04:15:00,146.9,146.9,146.6,146.7,76.652
2022-01-01T04:30:00,146.8,146.8,146.7,146.8,5.098
2022-01-01T04:45:00,146.8,147.0,146.8,146.8,8.125
2022-01-01T05:00:00,146.8,147.3,146.3,146.4,170.833
2022-01-01T05:15:00,146.4,148.6,146.4,148.3,87.255
2022-01-01T05:30:00,148.4,148.6,147.9,147.9,12.053
2022-01-01T05:45:00,147.8,147.8,147.5,147.5,8.786
2022-01-01T06:00:00,147.7,148.0,147.7,148.0,18.845
2022-01-01T06:15:00,148.1,148.1,147.7,147.8,4.594
2022-01-01T06:30:00,147.6,147.8,147.4,147.4,19.803
2022-01-01T06:45:00,147.6,147.9,147.1,147.1,71.079
2022-01-01T07:00:00,147.3,147.3,146.8,147.0,16.483
2022-01-01T07:15:00,147.1,147.3,147.1,147.1,16.249
2022-01-01T07:30:00,147.3,148.3,147.3,148.3,25.653
2022-01-01T07:45:00,148.3,148.4,147.8,147.8,58.899
2022-01-01T08:00:00,148.0,148.2,148.0,148.2,5.434
2022-01-01T08:15:00,148.3,148.6,148.3,148.5,7.327
2022-01-01T08:30:00,148.3,148.4,148.1,148.3,59.136
2022-01-01T08:45:00,148.3,148.3,148.0,148.0,2.798
2022-01-01T09:00:00,148.0,148.0,147.5,148.0,17.038
2022-01-01T09:15:00,147.8,147.8,147.5,147.5,1.967
2022-01-01T09:30:00,147.5,147.5,146.7,146.9,22.604
2022-01-01T09:45:00,146.7,147.5,146.7,147.5,12.588
2022-01-01T10:00:00,147.6,147.9,147.5,147.5,10.076
2022-01-01T10:15:00,147.4,147.4,146.4,146.4,73.561
2022-01-01T10:30:00,146.3,146.9,145.7,146.9,54.978
2022-01-01T10:45:00,147.0,147.2,146.4,146.4,38.314
2022-01-01T11:00:00,146.8,147.1,146.8,147.1,5.142
2022-01-01T11:15:00,147.0,147.1,146.7,146.9,26.357
2022-01-01T11:30:00,146.7,146.7,145.8,146.4,78.47
2022-01-01T11:45:00,146.4,146.4,145.9,145.9,2.549
2022-01-01T12:00:00,146.2,146.5,146.1,146.5,8.629
2022-01-01T12:15:00,146.5,147.0,146.5,146.6,24.089
2022-01-01T12:30:00,147.1,147.2,146.9,147.1,4.328
2022-01-01T12:45:00,147.3,147.3,147.1,147.1,9.383
2022-01-01T13:00:00,147.3,147.4,147.1,147.3,2.102
2022-01-01T13:15:00,147.3,147.3,146.6,146.9,2.48
2022-01-01T13:30:00,146.8,146.9,146.5,146.9,19.955
2022-01-01T13:45:00,146.8,146.8,146.3,146.6,35.994
2022-01-01T14:00:00,146.6,146.7,146.5,146.5,4.944
2022-01-01T14:15:00,146.7,146.7,146.6,146.6,0.598
2022-01-01T14:30:00,146.8,146.8,145.9,146.1,33.183
2022-01-01T14:45:00,146.1,146.5,146.1,146.3,11.3
2022-01-01T15:00:00,146.3,146.8,146.3,146.7,8.0
2022-01-01T15:15:00,146.5,147.0,146.4,147.0,34.621
2022-01-01T15:30:00,147.0,147.9,147.0,147.8,69.048
2022-01-01T15:45:00,147.6,147.8,147.3,147.3,8.132
2022-01-01T16:00:00,147.3,148.0,147.0,148.0,62.372
2022-01-01T16:15:00,148.0,148.8,148.0,148.7,102.028
2022-01-01T16:30:00,148.4,148.6,148.2,148.6,62.483
2022-01-01T16:45:00,148.5,148.5,148.0,148.2,29.412
